frame,patient,mother,therapist
1,0.00349207,NA,0.00369628
2,0.00261041,NA,0.0082387
3,0.00204569,NA,0.00708083
4,0.00243753,NA,0.00547762
5,0.00278328,NA,0.00547762
6,0.00348631,NA,0.00316188
7,0.00257583,NA,0.00302828
8,0.00385511,NA,0.00360721
9,0.00357275,NA,0.00249388
10,0.00334801,NA,0.00249388
11,0.00455813,NA,0.00293921
12,0.00450051,NA,0.00160321
13,0.00463881,NA,0.00160321
14,0.00483473,NA,0.00249388
15,0.00416628,NA,0.00142507
16,0.00389545,NA,0.00244934
17,0.00386087,NA,0.00236028
18,0.00543979,NA,0.00258294
19,0.0064367,NA,0.00178134
20,0.00614858,NA,0.00316188
21,0.00418933,NA,0.00258294
22,0.00360732,NA,0.00227121
23,0.00446017,NA,0.00302828
24,0.00477711,NA,0.00138054
25,0.00524963,NA,0.00133601
26,0.00391273,NA,0.00285014
27,0.00379172,NA,0.00164774
28,0.00305988,NA,0.00316188
29,0.00400493,NA,0.00249388
30,0.00561843,NA,0.00191494
31,0.00498456,NA,0.00155867
32,0.00545708,NA,0.00267201
33,0.00410866,NA,0.00209308
34,0.00304836,NA,0.00218214
35,0.00389545,NA,0.00267201
36,0.00368223,NA,0.00240481
37,0.00386663,NA,0.00160321
38,0.00317513,NA,0.00365175
39,0.00452356,NA,0.00204854
40,0.00518624,NA,0.00178134
41,0.00640789,NA,0.00267201
42,0.00672483,NA,0.00222668
43,0.00780242,NA,0.00209308
44,0.0073587,NA,0.00325095
45,0.00548589,NA,0.00311735
46,0.00477711,NA,0.00240481
47,0.00440254,NA,0.00342908
48,0.00432763,NA,0.00173681
49,0.00533031,NA,0.00155867
50,0.00587198,NA,0.00293921
51,0.00679974,NA,0.00173681
52,0.00815393,NA,0.00271654
53,0.0101881,NA,0.00325095
54,0.0126083,NA,0.00240481
55,0.0165384,NA,0.00204854
56,0.0214134,NA,0.00302828
57,0.0247038,NA,0.00195947
58,0.0271529,NA,0.00262748
59,0.0294348,NA,0.00258294
60,0.0319473,NA,0.00895124
61,0.0374504,NA,0.0130038
62,0.0380901,NA,0.0206635
63,0.0390812,NA,0.0216433
64,0.0425502,NA,0.0194166
65,0.0418991,NA,0.0142062
66,0.0401531,NA,0.0203073
67,0.0397324,NA,0.0178134
68,0.0350475,NA,0.0211534
69,0.0305873,NA,0.0287686
70,0.0329615,NA,0.0314852
71,0.0373525,NA,0.0185259
72,0.0405103,NA,0.0110888
73,0.045443,NA,0.00966377
74,0.0468433,NA,0.00654643
75,0.0460711,NA,0.00516589
76,0.0392138,NA,0.0086395
77,0.0276081,NA,0.00948564
78,0.0218859,NA,0.00578936
79,0.0235801,NA,0.0122467
80,0.0271586,NA,0.0128257
81,0.0250957,NA,0.0103763
82,0.0245367,NA,0.0176798
83,0.0218687,NA,0.0134491
84,0.019385,NA,0.0126921
85,0.0194254,NA,0.00636829
86,0.0209755,NA,0.00414162
87,0.0206758,NA,0.00231574
88,0.0188606,NA,0.00543309
89,0.0179098,NA,0.0122467
90,0.0168553,NA,0.0129593
91,0.013611,NA,0.0125139
92,0.0119053,NA,0.0111779
93,0.0108047,NA,0.0141171
94,0.00915084,NA,0.0194166
95,0.00885119,NA,0.0250278
96,0.00781394,NA,0.0208862
97,0.00610248,NA,0.0117123
98,0.00562996,NA,0.00583389
99,0.0064367,NA,0.00249388
100,0.00693228,NA,0.00458695
101,0.00608519,NA,0.00583389
102,0.00329615,NA,0.00209308
103,0.000939286,NA,0.00240481
104,0.00112945,NA,0.00498775
105,0.000564724,NA,0.00298375
106,0.000380325,NA,0.00173681
107,0.00123894,NA,0.00489869
108,0.000916236,NA,0.00142507
109,0.000697262,NA,0.00164774
110,0.000432187,NA,0.00476509
111,4.03375e-05,NA,0.00734803
112,4.03375e-05,NA,0.00271654
113,2.305e-05,NA,0.00463149
114,7.49124e-05,NA,0.00200401
115,0.00016135,NA,0.00151414
116,0.000455237,NA,0.00338455
117,0.000121012,NA,0.00249388
118,4.03375e-05,NA,0.00329548
119,1.72875e-05,NA,0.00489869
120,3.4575e-05,NA,0.00467602
121,0.000247787,NA,0.00365175
122,0.000172875,NA,0.00427522
123,8.06749e-05,NA,0.00262748
124,0.000288125,NA,0.00271654
125,0.000754887,NA,0.00316188
126,0.00422967,NA,0.00218214
127,0.00752005,NA,0.00187041
128,0.00902406,NA,0.00316188
129,0.0092488,NA,0.00191494
130,0.00914508,NA,0.00302828
131,0.00888,NA,0.00227121
132,0.00896068,NA,0.00311735
133,0.00761802,NA,0.00182587
134,0.00569334,NA,0.00280561
135,0.00339987,NA,0.00293921
136,0.00363613,NA,0.00302828
137,0.00470796,NA,0.00302828
138,0.00503642,NA,0.00222668
139,0.00527268,NA,0.00289468
140,0.00514014,NA,0.0073035
141,0.00595266,NA,0.00578936
142,0.0072204,NA,0.00258294
143,0.00705905,NA,0.00387442
144,0.00495574,NA,0.00209308
145,0.00274295,NA,0.00387442
