frame,father,mother,therapist
1,0.000271748,0.000869691,0.000238402
2,0.000839947,0.00139312,0.000238402
3,0.00212457,0.0019407,0
4,0.00289658,0.00261713,0.000286082
5,0.00262483,0.00270571,0
6,0.00209369,0.00350292,0
7,0.00202575,0.00483967,0
8,0.00224192,0.00728769,0
9,0.00135874,0.00726353,0
10,0.000636136,0.00466251,0
11,0.000549671,0.00305197,0
12,0.000277924,0.00107101,0
13,0.000240867,0.000193265,0.000143041
14,0.000222339,0.00029795,0.00133505
15,8.64651e-05,4.02635e-05,0
16,3.08804e-05,6.44216e-05,0
17,6.17608e-06,9.66324e-05,0.00152577
18,1.85282e-05,8.0527e-06,4.76804e-05
19,1.23522e-05,1.61054e-05,0
20,6.17608e-06,4.02635e-05,0.000810566
21,1.23522e-05,8.0527e-06,0.000190721
22,0,0.000128843,0
23,0,0.000338213,0.00119201
24,0,0.000756954,0.000381443
25,0,0.000909955,0.00143041
26,6.17608e-06,0.00100659,0.00247938
27,0,0.00102269,0.00247938
28,0,0.000901902,0.0024317
29,1.85282e-05,0.000620058,0.0031469
30,1.23522e-05,0.000652268,0.00214562
31,6.17608e-06,0.000330161,0.00152577
32,3.08804e-05,0.000338213,0.00281314
33,0,0.000217423,0.00238402
34,0,8.0527e-05,0.00271778
35,0,1.61054e-05,0.00576932
36,3.08804e-05,1.61054e-05,0.00348067
37,0,8.0527e-06,0.00357603
38,8.64651e-05,1.61054e-05,0.00452963
39,8.64651e-05,2.41581e-05,0.00495876
40,6.17608e-06,2.41581e-05,0.00328994
41,6.17608e-06,5.63689e-05,0.00252706
42,0,0,0.00133505
43,6.17608e-06,1.61054e-05,0.000572164
44,1.23522e-05,0,0.000333762
45,6.17608e-06,8.0527e-06,0.000286082
46,1.85282e-05,0,0.000476804
47,4.32326e-05,1.61054e-05,0.00233634
48,7.4113e-05,8.0527e-06,0.00171649
49,3.08804e-05,2.41581e-05,0.000476804
50,3.08804e-05,4.83162e-05,0.000190721
51,6.17608e-06,2.41581e-05,0
52,0,1.61054e-05,0
53,0,1.61054e-05,0.000429123
54,6.17608e-06,1.61054e-05,0
55,6.17608e-06,4.02635e-05,0.000190721
56,1.23522e-05,8.0527e-05,0.00128737
57,0,0.000104685,0.000238402
