frame,father,mother,therapist
1,0.00940728,2.34531e-05,0.00161509
2,0.00432055,1.75898e-05,0.00506351
3,0.00639441,3.51797e-05,0.00349208
4,0.00842795,2.34531e-05,0.0022262
5,0.00830122,6.44961e-05,0.00248811
6,0.00800166,4.1043e-05,0.00309922
7,0.00759265,4.1043e-05,0.00183334
8,0.00830122,2.93164e-05,0.00392859
9,0.00842795,1.17266e-05,0.00226985
10,0.00941304,2.93164e-05,0.00218255
11,0.00982205,2.93164e-05,0.00375398
12,0.00880816,1.75898e-05,0.00209525
13,0.00733917,3.51797e-05,0.0021389
14,0.00556487,2.34531e-05,0.00414684
15,0.00336427,1.17266e-05,0.00318652
16,0.00183767,2.34531e-05,0.00296827
17,0.000754656,3.51797e-05,0.00218255
18,0.000858349,2.93164e-05,0.00270636
19,0.00289189,2.34531e-05,0.0021389
20,0.00351405,5.86328e-05,0.00375398
21,0.00370991,2.34531e-05,0.00257541
22,0.00487358,3.51797e-05,0.00209525
23,0.00400947,1.75898e-05,0.00296827
24,0.00148627,4.69062e-05,0.00261906
25,0.000558791,5.86328e-06,0.0022262
26,0.000529987,2.34531e-05,0.00357938
27,2.88037e-05,1.17266e-05,0.00275001
28,0.000161301,2.93164e-05,0.00275001
29,0.000679767,3.51797e-05,0.00283731
30,0.00023619,2.34531e-05,0.00318652
31,0.000218908,4.1043e-05,0.00314287
32,0.000512705,0.000134855,0.00270636
33,0.000293797,0.00153618,0.00226985
34,8.6411e-05,0.00325412,0.00279366
35,7.48895e-05,0.00420397,0.00292461
36,1.72822e-05,0.00459681,0.00270636
37,4.03251e-05,0.00453232,0.00288096
38,4.60859e-05,0.0043916,0.00419049
39,2.88037e-05,0.0035121,0.00331747
40,5.18466e-05,0.00272643,0.00261906
41,2.30429e-05,0.00188211,0.0021389
42,8.6411e-05,0.000897082,0.00331747
43,0.00023619,0.000615644,0.00244445
44,0.00101389,0.000205215,0.00458335
45,0.00194137,9.38125e-05,0.00379763
46,0.00262113,2.93164e-05,0.00366668
47,0.00230429,2.93164e-05,0.00467065
48,0.00120975,1.17266e-05,0.00702781
