frame,patient,mother,therapist
1,0.00182808,1.91052e-05,0.00255218
2,0.0014416,2.54737e-05,0.00610701
3,0.00174833,3.18421e-05,0.00346368
4,0.00460699,4.45789e-05,0.00350925
5,0.00807298,3.82105e-05,0.0030535
6,0.00826928,6.36841e-05,0.00382827
7,0.00797482,1.27368e-05,0.00264333
8,0.00796256,3.82105e-05,0.00291678
9,0.00599339,6.36841e-06,0.0032358
10,0.00463767,6.36841e-06,0.00437517
11,0.00288321,2.54737e-05,0.00437517
12,0.00150908,2.54737e-05,0.00287121
13,0.000730003,6.36841e-06,0.00264333
14,0.000680927,3.18421e-05,0.00560569
15,0.000705465,6.36841e-06,0.0032358
16,0.00106127,2.54737e-05,0.003965
17,0.00147841,3.18421e-05,0.00273448
18,0.000687062,3.82105e-05,0.0043296
19,0.000116555,6.36841e-06,0.00268891
20,0.000472355,4.45789e-05,0.00300793
21,0.000276052,1.91052e-05,0.00369155
22,0.000257648,3.18421e-05,0.00437517
23,0.00041101,6.36841e-06,0.00437517
24,0.000803617,4.45789e-05,0.00205086
25,0.001049,3.82105e-05,0.00259776
26,0.00153362,3.18421e-05,0.00560569
27,0.00126984,1.91052e-05,0.00264333
28,0.00125757,5.09473e-05,0.00442075
29,0.00138639,3.18421e-05,0.00401057
30,0.00199371,5.73157e-05,0.00419287
31,0.00293228,6.36841e-06,0.00232431
32,0.00490145,2.54737e-05,0.00350925
33,0.00488305,2.54737e-05,0.00332695
34,0.00331875,7.00525e-05,0.00451189
35,0.00191396,1.91052e-05,0.00464862
36,0.000509162,3.18421e-05,0.00282563
37,0.000226976,6.36841e-06,0.00287121
38,0.000613448,7.00525e-05,0.00510437
39,0.000294455,1.91052e-05,0.0036004
40,0.000650255,3.18421e-05,0.00382827
41,0.00183421,4.45789e-05,0.00314465
42,0.00345371,3.18421e-05,0.00410172
43,0.00464994,1.91052e-05,0.00259776
44,0.00499347,8.91578e-05,0.00264333
45,0.00682768,2.54737e-05,0.00332695
46,0.00885205,3.18421e-05,0.00446632
47,0.0108948,1.91052e-05,0.00387385
48,0.00865575,3.82105e-05,0.00209644
49,0.00715894,3.82105e-05,0.0030535
50,0.00680314,2.54737e-05,0.00483092
51,0.00580322,6.36841e-06,0.00264333
52,0.00685221,5.09473e-05,0.00419287
53,0.00761289,4.45789e-05,0.0037827
54,0.00644734,6.36841e-05,0.00519552
55,0.00371136,1.27368e-05,0.00264333
56,0.00182808,2.54737e-05,0.0041473
57,0.00125757,5.09473e-05,0.00346368
58,0.00147841,4.45789e-05,0.00464862
59,0.00194463,1.27368e-05,0.00437517
60,0.00242312,3.18421e-05,0.00241546
61,0.00189555,6.36841e-06,0.00287121
62,0.00118395,5.09473e-05,0.00565126
63,0.000987651,1.27368e-05,0.00355483
64,0.00129438,3.18421e-05,0.00337253
65,0.00169925,3.18421e-05,0.00255218
66,0.00122076,3.18421e-05,0.00442075
67,0.00184648,6.36841e-06,0.00241546
68,0.00228203,2.54737e-05,0.00218759
69,0.00422052,2.54737e-05,0.0034181
70,0.00707919,1.91052e-05,0.00460304
71,0.00882752,6.36841e-06,0.00446632
72,0.00782146,1.91052e-05,0.00218759
73,0.00441683,0,0.00273448
74,0.00192009,3.82105e-05,0.00583356
75,0.00205505,1.27368e-05,0.00355483
76,0.00583389,3.82105e-05,0.0030535
77,0.00798709,1.91052e-05,0.00205086
78,0.00605473,5.09473e-05,0.00391942
79,0.00354573,1.27368e-05,0.00255218
80,0.00325127,7.6421e-05,0.00255218
81,0.00425119,4.45789e-05,0.00328138
82,0.00503641,0.000127368,0.00442075
83,0.0046622,7.6421e-05,0.0034181
84,0.00648415,0.000127368,0.00287121
85,0.00821407,2.54737e-05,0.0036004
86,0.00850852,6.36841e-05,0.00473977
87,0.00718961,1.27368e-05,0.00382827
88,0.00589524,7.6421e-05,0.00355483
89,0.00570507,2.54737e-05,0.00246103
90,0.00595045,7.00525e-05,0.00350925
91,0.00698104,1.91052e-05,0.00268891
92,0.0076497,5.73157e-05,0.0030535
93,0.0069749,1.91052e-05,0.0030535
94,0.0113549,3.82105e-05,0.00346368
95,0.0149129,5.73157e-05,0.0043296
96,0.0140112,3.82105e-05,0.00264333
97,0.0122567,1.91052e-05,0.00314465
98,0.0136554,3.18421e-05,0.00569684
99,0.0110605,2.54737e-05,0.00319023
100,0.0107292,5.09473e-05,0.00364598
101,0.0116187,6.36841e-06,0.00350925
102,0.0132137,5.09473e-05,0.00369155
103,0.0134897,3.82105e-05,0.00319023
104,0.0124469,6.36841e-05,0.00337253
105,0.0125266,4.45789e-05,0.00387385
106,0.0193297,4.45789e-05,0.00505879
107,0.0261268,5.09473e-05,0.00355483
108,0.0283781,3.18421e-05,0.00282563
109,0.0294762,5.09473e-05,0.0030535
110,0.0343654,1.91052e-05,0.00460304
111,0.0366965,0,0.00364598
112,0.0341261,2.54737e-05,0.00460304
113,0.0455178,2.54737e-05,0.0036004
114,0.0470944,6.36841e-05,0.00460304
115,0.0437941,0,0.00168626
116,0.0370952,1.91052e-05,0.00346368
117,0.0273291,1.91052e-05,0.00332695
118,0.0330833,5.73157e-05,0.00382827
119,0.0363713,1.91052e-05,0.0034181
120,0.0316294,2.54737e-05,0.00218759
121,0.0301816,6.36841e-06,0.0030535
122,0.0231761,4.45789e-05,0.00533224
123,0.0252925,1.91052e-05,0.00246103
124,0.0360769,4.45789e-05,0.00410172
125,0.0354328,3.18421e-05,0.0032358
126,0.0310527,3.18421e-05,0.00373713
127,0.0277831,1.91052e-05,0.00264333
128,0.0288627,5.73157e-05,0.00355483
129,0.0405244,1.91052e-05,0.00319023
130,0.0438063,2.54737e-05,0.00492207
131,0.0446406,1.27368e-05,0.00528666
132,0.0501985,3.18421e-05,0.00300793
133,0.0547993,1.27368e-05,0.00268891
134,0.0392239,6.36841e-06,0.00492207
135,0.0324575,6.36841e-06,0.00296236
136,0.0290406,1.91052e-05,0.00446632
137,0.0228141,3.18421e-05,0.00364598
138,0.0234092,7.00525e-05,0.00446632
139,0.0255992,6.36841e-06,0.0034181
140,0.024084,1.91052e-05,0.00405615
141,0.0215014,1.27368e-05,0.00455747
142,0.0189065,3.82105e-05,0.00560569
143,0.0166367,1.91052e-05,0.010391
144,0.0116371,1.91052e-05,0.00820345
145,0.00993172,2.54737e-05,0.00875034
146,0.00868642,5.73157e-05,0.0117583
147,0.011312,2.54737e-05,0.00893264
148,0.0192009,2.54737e-05,0.0112114
149,0.0237036,4.45789e-05,0.00820345
