frame,patient,None,therapist
1,0.00573235,NA,0.00186268
2,0.00777566,NA,0.00368204
3,0.0092251,NA,0.00472168
4,0.0086111,NA,0.00160277
5,0.00747369,NA,0.00446177
6,0.00569208,NA,0.00389864
7,0.00246103,NA,0.00160277
8,0.00531462,NA,0.00316223
9,0.00860104,NA,0.00454841
10,0.00900869,NA,0.00207927
11,0.00821854,NA,0.00229586
12,0.00607961,NA,0.00281568
13,0.00579777,NA,0.00177605
14,0.00589843,NA,0.00337882
15,0.00604941,NA,0.00359541
16,0.00625072,NA,0.00294564
17,0.00531966,NA,0.00329218
18,0.0031002,NA,0.002859
19,0.00570718,NA,0.0023825
20,0.00972838,NA,0.00311891
21,0.0113187,NA,0.004765
22,0.0102568,NA,0.0023825
23,0.00900869,NA,0.00342214
24,0.00785115,NA,0.00229586
25,0.00778069,NA,0.00246914
26,0.00695028,NA,0.00385532
27,0.00555117,NA,0.00519818
28,0.00412689,NA,0.00246914
29,0.00576254,NA,0.00363873
30,0.00981394,NA,0.00355209
31,0.0109161,NA,0.00294564
32,0.0121743,NA,0.00372536
33,0.0103172,NA,0.00402859
34,0.0101813,NA,0.00324886
35,0.00910935,NA,0.00420186
36,0.00706604,NA,0.00199264
37,0.00471572,NA,0.00281568
38,0.00417721,NA,0.00394195
39,0.00580784,NA,0.00407191
40,0.00661308,NA,0.0023825
41,0.00773036,NA,0.00480832
42,0.00517874,NA,0.00216591
43,0.0033921,NA,0.00125623
44,0.00461507,NA,0.00337882
45,0.00724218,NA,0.00454841
46,0.00825881,NA,0.00233918
47,0.00852051,NA,0.00259909
48,0.00829907,NA,0.00177605
49,0.0089181,NA,0.00342214
50,0.00760958,NA,0.00298895
51,0.00498749,NA,0.00363873
52,0.00736297,NA,0.00272904
53,0.00748376,NA,0.00342214
54,0.00585313,NA,0.00251245
55,0.00611484,NA,0.00255577
56,0.00514351,NA,0.00363873
57,0.00875202,NA,0.00415854
58,0.00918987,NA,0.00164609
59,0.00756931,NA,0.00225254
60,0.00684459,NA,0.00220923
61,0.00832423,NA,0.00216591
62,0.00939118,NA,0.0042885
63,0.00898353,NA,0.00485164
64,0.00541528,NA,0.002859
65,0.00683956,NA,0.00259909
66,0.00688989,NA,0.00359541
67,0.00520894,NA,0.00259909
68,0.00305994,NA,0.00329218
69,0.00117264,NA,0.00493827
70,0.00321092,NA,0.00168941
71,0.00543541,NA,0.00320554
72,0.00599908,NA,0.00264241
73,0.00815815,NA,0.00147282
74,0.00815815,NA,0.00320554
75,0.00686472,NA,0.00402859
76,0.00567699,NA,0.00225254
77,0.00677917,NA,0.00294564
78,0.0080424,NA,0.0033355
79,0.0083343,NA,0.00251245
80,0.00804743,NA,0.00350877
81,0.00750892,NA,0.00472168
82,0.00618026,NA,0.00151614
83,0.00605444,NA,0.00346545
84,0.00528946,NA,0.00164609
85,0.00513344,NA,0.00298895
86,0.0046654,NA,0.00489495
87,0.00422754,NA,0.00489495
88,0.00409669,NA,0.00376868
89,0.00461507,NA,0.003812
90,0.00363871,NA,0.00411523
91,0.00279823,NA,0.00298895
92,0.00357831,NA,0.00389864
93,0.00308007,NA,0.00454841
94,0.0033619,NA,0.00181936
95,0.00256672,NA,0.00446177
96,0.00332164,NA,0.00220923
97,0.00393564,NA,0.00311891
98,0.00513848,NA,0.00342214
99,0.00443389,NA,0.00519818
100,0.00699054,NA,0.00229586
101,0.0101662,NA,0.00281568
102,0.00978877,NA,0.00298895
103,0.01075,NA,0.0014295
104,0.0109966,NA,0.00251245
105,0.00837959,NA,0.00506823
106,0.00496233,NA,0.00251245
107,0.00267744,NA,0.0042885
108,0.00222953,NA,0.00251245
109,0.00587326,NA,0.00203595
110,0.00712643,NA,0.00459173
111,0.0061853,NA,0.00342214
112,0.00600915,NA,0.00255577
113,0.00598902,NA,0.00359541
114,0.0068144,NA,0.00311891
115,0.00972838,NA,0.00324886
116,0.0136338,NA,0.00355209
117,0.0119076,NA,0.00463504
118,0.00992466,NA,0.00147282
119,0.00991963,NA,0.00337882
120,0.00677917,NA,0.00242582
121,0.00487677,NA,0.00242582
122,0.00468049,NA,0.00402859
123,0.00504285,NA,0.00320554
124,0.0061702,NA,0.00229586
125,0.00581287,NA,0.00303227
126,0.00486671,NA,0.00385532
127,0.00614,NA,0.00407191
128,0.00747872,NA,0.00407191
129,0.00720192,NA,0.00480832
130,0.00681943,NA,0.00155945
131,0.00455971,NA,0.00437514
132,0.00465533,NA,0.00220923
133,0.00375446,NA,0.00199264
134,0.00373433,NA,0.00220923
135,0.00258182,NA,0.00346545
136,0.00303477,NA,0.00246914
137,0.00449931,NA,0.00511154
138,0.00591353,NA,0.00363873
139,0.00698048,NA,0.00255577
140,0.00783102,NA,0.0033355
141,0.00684459,NA,0.00363873
142,0.00550587,NA,0.00164609
143,0.00423258,NA,0.00363873
144,0.00197789,NA,0.00220923
145,0.000548574,NA,0.00177605
146,0.000130853,NA,0.00437514
147,0.000644197,NA,0.00385532
148,0.00159036,NA,0.00186268
149,0.00312536,NA,0.00324886
150,0.00411179,NA,0.00329218
151,0.0055411,NA,0.00173273
152,0.00826887,NA,0.001906
153,0.0104531,NA,0.00355209
154,0.011364,NA,0.00268573
155,0.00962269,NA,0.00216591
156,0.00817325,NA,0.00272904
157,0.00783605,NA,0.00121291
158,0.00601418,NA,0.00437514
159,0.00115251,NA,0.00346545
160,0.00166082,NA,0.00151614
161,0.00546058,NA,0.00311891
162,0.00783102,NA,0.002859
163,0.00894327,NA,0.00368204
164,0.0103877,NA,0.0033355
165,0.0108306,NA,0.00389864
166,0.0104229,NA,0.00229586
167,0.0103424,NA,0.00259909
168,0.0100102,NA,0.00264241
169,0.00867653,NA,0.00203595
170,0.00584307,NA,0.004765
171,0.00256672,NA,0.00498159
172,0.00236038,NA,0.00138618
173,0.00483651,NA,0.00337882
174,0.0067389,NA,0.00368204
175,0.00886274,NA,0.00259909
176,0.0110067,NA,0.00324886
177,0.0129745,NA,0.00424518
178,0.0128084,NA,0.00233918
179,0.0115402,NA,0.00346545
180,0.0120888,NA,0.00229586
181,0.0107198,NA,0.00155945
182,0.00908418,NA,0.00372536
183,0.00498246,NA,0.00398527
184,0.00307,NA,0.00138618
185,0.0103927,NA,0.00320554
186,0.0124662,NA,0.00251245
187,0.0142327,NA,0.00246914
188,0.0177557,NA,0.00368204
189,0.0218121,NA,0.00411523
190,0.0227734,NA,0.00138618
191,0.0218322,NA,0.00298895
192,0.0170763,NA,0.00129955
193,0.0121693,NA,0.00268573
194,0.00783102,NA,0.00402859
195,0.00714153,NA,0.00342214
196,0.00722708,NA,0.00177605
197,0.00846515,NA,0.00281568
198,0.0115603,NA,0.00259909
199,0.013664,NA,0.00259909
200,0.0137848,NA,0.00281568
201,0.0140817,NA,0.00480832
202,0.0144693,NA,0.0033355
203,0.0130651,NA,0.00242582
204,0.010136,NA,0.00290232
205,0.0118975,NA,0.00307559
206,0.0133218,NA,0.00411523
207,0.012129,NA,0.00489495
208,0.0118673,NA,0.00155945
209,0.0101662,NA,0.00307559
210,0.00508312,NA,0.00359541
211,0.00441376,NA,0.00246914
212,0.00885771,NA,0.00307559
213,0.0113036,NA,0.00502491
214,0.0120384,NA,0.00242582
215,0.0124863,NA,0.00229586
216,0.0111778,NA,0.00316223
217,0.0109715,NA,0.00177605
218,0.0148618,NA,0.00502491
219,0.0206747,NA,0.00368204
220,0.0237397,NA,0.00290232
221,0.0227935,NA,0.00541477
222,0.0181382,NA,0.00407191
223,0.0120535,NA,0.00398527
224,0.00614,NA,0.004765
225,0.0102518,NA,0.00745073
226,0.0124562,NA,0.00485164
227,0.0154305,NA,0.00216591
228,0.0182439,NA,0.00220923
229,0.019492,NA,0.00255577
230,0.0198594,NA,0.00615118
231,0.0215403,NA,0.00385532
232,0.0206193,NA,0.00207927
233,0.017343,NA,0.00220923
234,0.0142277,NA,0.00207927
235,0.0122548,NA,0.00350877
236,0.0123253,NA,0.00376868
237,0.0100404,NA,0.00459173
238,0.00919994,NA,0.00272904
239,0.0147813,NA,0.00437514
240,0.0200154,NA,0.002859
241,0.0208961,NA,0.00199264
242,0.0186867,NA,0.00372536
243,0.0145196,NA,0.00303227
244,0.0129343,NA,0.00203595
245,0.0138553,NA,0.00433182
246,0.0161905,NA,0.00303227
247,0.0150229,NA,0.00411523
248,0.012431,NA,0.00320554
249,0.00946668,NA,0.00368204
250,0.00559143,NA,0.00212259
251,0.00201312,NA,0.00389864
252,0.000382492,NA,0.00290232
253,0.00118271,NA,0.00229586
254,0.00322098,NA,0.00394195
255,0.00534985,NA,0.00346545
256,0.00787631,NA,0.00186268
257,0.011359,NA,0.003812
258,0.0113238,NA,0.00298895
259,0.0121139,NA,0.00151614
260,0.0131456,NA,0.00259909
261,0.0111476,NA,0.00485164
262,0.0102719,NA,0.00316223
263,0.00964282,NA,0.00298895
264,0.00873692,NA,0.00216591
265,0.00781592,NA,0.00138618
266,0.00569208,NA,0.00350877
267,0.00416715,NA,0.00320554
268,0.00317066,NA,0.00151614
269,0.00566692,NA,0.00402859
270,0.00875705,NA,0.00216591
271,0.0110319,NA,0.00272904
272,0.0117969,NA,0.00389864
273,0.0159137,NA,0.00467836
274,0.0141572,NA,0.00160277
275,0.0133168,NA,0.00459173
276,0.012119,NA,0.00290232
277,0.00967805,NA,0.00112627
278,0.00785115,NA,0.00407191
279,0.00409669,NA,0.00389864
280,0.00276803,NA,0.0014295
281,0.00287876,NA,0.00320554
282,0.00580281,NA,0.00294564
283,0.00938615,NA,0.00212259
284,0.0113842,NA,0.00376868
285,0.00929556,NA,0.00355209
286,0.00779579,NA,0.0023825
287,0.0104179,NA,0.00342214
288,0.0112483,NA,0.00272904
289,0.0118321,NA,0.00311891
290,0.0110419,NA,0.00394195
291,0.00749382,NA,0.00433182
292,0.00704087,NA,0.00229586
293,0.00753912,NA,0.00186268
294,0.00479625,NA,0.00363873
295,0.00221946,NA,0.00268573
296,0.00472579,NA,0.002859
297,0.00536999,NA,0.00498159
298,0.00588836,NA,0.0014295
299,0.00920497,NA,0.00359541
300,0.0113993,NA,0.00290232
301,0.0119327,NA,0.0014295
302,0.00967805,NA,0.00459173
303,0.0109161,NA,0.00515486
304,0.0117163,NA,0.000996318
305,0.0115502,NA,0.00242582
306,0.00879228,NA,0.00346545
307,0.00363367,NA,0.00294564
308,0.00585817,NA,0.00246914
309,0.0086564,NA,0.00394195
310,0.0123907,NA,0.00225254
311,0.0133369,NA,0.00463504
312,0.012582,NA,0.00311891
313,0.0115553,NA,0.00151614
314,0.0121391,NA,0.00368204
315,0.0127833,NA,0.00316223
316,0.0142529,NA,0.003812
317,0.0121894,NA,0.00233918
318,0.00855574,NA,0.00212259
319,0.00887784,NA,0.00320554
320,0.00898856,NA,0.0042885
321,0.00406146,NA,0.00424518
322,0.00405643,NA,0.00186268
323,0.00733781,NA,0.00320554
324,0.00910935,NA,0.0023825
325,0.00913954,NA,0.00259909
326,0.0118774,NA,0.00485164
327,0.0123253,NA,0.00320554
328,0.00957236,NA,0.00246914
329,0.00891307,NA,0.00290232
330,0.0106142,NA,0.00272904
331,0.0106997,NA,0.00220923
332,0.0105689,NA,0.00402859
333,0.00815815,NA,0.00415854
334,0.00555117,NA,0.00155945
335,0.00426277,NA,0.00329218
336,0.00329648,NA,0.00268573
337,0.00120284,NA,0.00151614
338,0.0028083,NA,0.00272904
339,0.00626582,NA,0.00415854
340,0.00864633,NA,0.00203595
341,0.00984917,NA,0.00268573
342,0.00969315,NA,0.00320554
343,0.0105185,NA,0.00225254
344,0.00912948,NA,0.00294564
345,0.0170561,NA,0.00463504
346,0.0199298,NA,0.00199264
347,0.0207804,NA,0.00294564
348,0.0208961,NA,0.00246914
349,0.0148065,NA,0.00134286
350,0.0076599,NA,0.00402859
351,0.00182187,NA,0.00411523
352,0.00644197,NA,0.00272904
353,0.0109111,NA,0.00294564
354,0.0153349,NA,0.00324886
355,0.0180124,NA,0.00307559
356,0.0175795,NA,0.00402859
357,0.017187,NA,0.005718
358,0.0170612,NA,0.00394195
359,0.0163566,NA,0.00459173
360,0.0137747,NA,0.0023825
361,0.0166887,NA,0.00229586
362,0.0192705,NA,0.00402859
363,0.014887,NA,0.00363873
364,0.00829404,NA,0.001906
365,0.00348772,NA,0.003812
366,0.000921,NA,0.00259909
367,0.00239057,NA,0.00290232
368,0.00612994,NA,0.002859
369,0.00745356,NA,0.00389864
370,0.00907915,NA,0.00251245
371,0.0115352,NA,0.00411523
372,0.0113892,NA,0.002859
373,0.0136087,NA,0.00125623
374,0.0150329,NA,0.00337882
375,0.0155211,NA,0.00402859
376,0.0165377,NA,0.00402859
377,0.0181482,NA,0.00693091
378,0.0150933,NA,0.00879359
379,0.0103172,NA,0.00836041
380,0.00519887,NA,0.00537145
381,0.00329144,NA,0.00628113
382,0.00655772,NA,0.00407191
383,0.0098542,NA,0.00515486
384,0.0113036,NA,0.00320554
385,0.0109362,NA,0.00255577
386,0.0110772,NA,0.0042885
387,0.0113489,NA,0.00467836
388,0.0119428,NA,0.00229586
389,0.0122095,NA,0.00316223
390,0.0109614,NA,0.00355209
391,0.00895836,NA,0.00324886
392,0.00884764,NA,0.00303227
393,0.00724722,NA,0.00433182
394,0.00443892,NA,0.00168941
395,0.00286869,NA,0.00376868
396,0.00159036,NA,0.00242582
397,0.00163062,NA,0.00129955
398,0.00304484,NA,0.00519818
399,0.00500762,NA,0.00511154
400,0.00742336,NA,0.00251245
401,0.00996492,NA,0.00281568
402,0.0124662,NA,0.00411523
403,0.0165981,NA,0.00363873
404,0.019185,NA,0.00411523
405,0.0177959,NA,0.00433182
406,0.015969,NA,0.00220923
407,0.0129796,NA,0.00454841
408,0.00620543,NA,0.00298895
409,0.00166585,NA,0.00207927
410,0.00376453,NA,0.00485164
411,0.00670367,NA,0.00415854
412,0.00922007,NA,0.00264241
413,0.0113036,NA,0.00281568
414,0.0128286,NA,0.00220923
415,0.014575,NA,0.0033355
416,0.0115955,NA,0.0042885
417,0.0095774,NA,0.00376868
418,0.00597392,NA,0.00164609
419,0.00683956,NA,0.00307559
420,0.00617523,NA,0.00294564
421,0.00787631,NA,0.00355209
422,0.00971831,NA,0.00411523
423,0.0128286,NA,0.00407191
424,0.0110218,NA,0.00212259
425,0.00649733,NA,0.00433182
426,0.00657282,NA,0.0033355
427,0.00272274,NA,0.0023825
428,0.00266235,NA,0.00489495
429,0.00194769,NA,0.00446177
430,0.00132866,NA,0.00225254
431,0.00349276,NA,0.00411523
432,0.00712643,NA,0.00268573
433,0.00899863,NA,0.00168941
434,0.00695028,NA,0.00450509
435,0.00425774,NA,0.00389864
436,0.0034072,NA,0.00199264
437,0.00442885,NA,0.00307559
438,0.0036538,NA,0.00372536
439,0.00483148,NA,0.00272904
440,0.00684963,NA,0.00402859
441,0.00673387,NA,0.00398527
442,0.00506802,NA,0.0014295
443,0.0055864,NA,0.0042885
444,0.00233018,NA,0.00225254
445,0.00232515,NA,0.00233918
446,0.00316059,NA,0.00454841
447,0.00317066,NA,0.00350877
448,0.00440872,NA,0.00138618
449,0.00486671,NA,0.00233918
450,0.00416715,NA,0.00212259
451,0.00650236,NA,0.0023825
452,0.00755422,NA,0.00433182
453,0.0061853,NA,0.00350877
454,0.00747872,NA,0.00160277
455,0.00851045,NA,0.00355209
456,0.00705597,NA,0.00216591
457,0.00614,NA,0.00125623
458,0.00448925,NA,0.00493827
459,0.00348772,NA,0.00459173
460,0.00467043,NA,0.00160277
461,0.0064923,NA,0.00303227
462,0.00808769,NA,0.00359541
463,0.0105437,NA,0.00281568
464,0.0113137,NA,0.00394195
465,0.011515,NA,0.00420186
466,0.0116761,NA,0.00337882
467,0.0116861,NA,0.00277236
468,0.00975354,NA,0.00307559
469,0.00847018,NA,0.00151614
470,0.0070912,NA,0.00389864
471,0.00394067,NA,0.00368204
472,0.00273784,NA,0.00199264
473,0.00324112,NA,0.00922677
474,0.00504789,NA,0.0112194
475,0.00774043,NA,0.014165
476,0.0100807,NA,0.0156379
477,0.0108507,NA,0.0193632
478,0.0115653,NA,0.0174572
479,0.0121542,NA,0.0172406
480,0.0120284,NA,0.017024
481,0.0120183,NA,0.0139918
482,0.0121139,NA,0.0160277
483,0.0114798,NA,0.017284
484,0.00898856,NA,0.0173273
485,0.00579274,NA,0.0157678
486,0.00105689,NA,0.0124323
487,0.00233018,NA,0.00987654
488,0.00624066,NA,0.00892354
489,0.00881241,NA,0.00710418
490,0.0100857,NA,0.00372536
491,0.0130601,NA,0.00277236
492,0.0146655,NA,0.00528482
493,0.0154356,NA,0.00745073
494,0.0154154,NA,0.0144683
495,0.0135986,NA,0.0161577
496,0.0117818,NA,0.0132987
497,0.0114144,NA,0.0123457
498,0.00984413,NA,0.0113927
499,0.00677413,NA,0.0112194
500,0.00399603,NA,0.00970327
501,0.0015048,NA,0.00901018
502,0.00267744,NA,0.00450509
503,0.0055713,NA,0.005718
504,0.00802227,NA,0.00246914
505,0.0123404,NA,0.00194932
506,0.0175695,NA,0.00346545
507,0.0193259,NA,0.00329218
508,0.0198292,NA,0.00255577
509,0.0159086,NA,0.00342214
510,0.0140666,NA,0.00303227
511,0.0116912,NA,0.00350877
512,0.00746363,NA,0.00298895
513,0.00281836,NA,0.00463504
514,0.00290895,NA,0.00125623
515,0.0070761,NA,0.0042885
516,0.0112885,NA,0.00268573
517,0.0133822,NA,0.00246914
518,0.0138653,NA,0.00350877
519,0.0141371,NA,0.0023825
520,0.0129947,NA,0.00264241
521,0.014122,NA,0.00272904
522,0.0142428,NA,0.00324886
523,0.0111577,NA,0.00307559
524,0.00942138,NA,0.003812
525,0.00592862,NA,0.00407191
526,0.00505292,NA,0.00129955
527,0.00549077,NA,0.00294564
528,0.00549077,NA,0.0023825
529,0.00614,NA,0.00160277
530,0.00850541,NA,0.00454841
531,0.00927543,NA,0.00294564
532,0.0111879,NA,0.0014295
533,0.0130903,NA,0.00298895
534,0.0154859,NA,0.00251245
535,0.0174235,NA,0.00255577
536,0.0200959,NA,0.00294564
537,0.0212686,NA,0.00394195
538,0.0186716,NA,0.00160277
539,0.0135332,NA,0.00298895
540,0.00730761,NA,0.00212259
541,0.00312033,NA,0.000736409
542,0.00226979,NA,0.00268573
543,0.00559143,NA,0.00420186
544,0.0106242,NA,0.00203595
545,0.0123354,NA,0.0033355
546,0.0141824,NA,0.00342214
547,0.0174034,NA,0.00186268
548,0.0204684,NA,0.00324886
549,0.0196228,NA,0.00454841
550,0.0179016,NA,0.00160277
551,0.0156872,NA,0.00420186
552,0.0146706,NA,0.00255577
553,0.0145951,NA,0.00125623
554,0.0110117,NA,0.00433182
555,0.00375446,NA,0.00316223
556,0.00170108,NA,0.00207927
557,0.0024258,NA,0.00420186
558,0.00444899,NA,0.00259909
559,0.00777063,NA,0.00329218
560,0.0132564,NA,0.00216591
561,0.0175997,NA,0.004765
562,0.019955,NA,0.00151614
563,0.0212132,NA,0.0042885
564,0.0214145,NA,0.00229586
565,0.0217265,NA,0.00246914
566,0.019794,NA,0.00415854
567,0.0139811,NA,0.004765
568,0.00754918,NA,0.00147282
569,0.00650236,NA,0.00294564
570,0.0116006,NA,0.00207927
571,0.0141774,NA,0.003812
572,0.017036,NA,0.00303227
573,0.0138301,NA,0.00632445
574,0.0112181,NA,0.00277236
575,0.00947674,NA,0.00389864
576,0.00935092,NA,0.00225254
577,0.0116559,NA,0.00173273
578,0.0121039,NA,0.00402859
579,0.0108155,NA,0.00415854
580,0.0103977,NA,0.00203595
581,0.0101511,NA,0.00264241
582,0.00723715,NA,0.00290232
583,0.00541528,NA,0.00246914
584,0.00648223,NA,0.00316223
585,0.00516867,NA,0.00398527
586,0.0040363,NA,0.00186268
587,0.0048818,NA,0.00437514
588,0.00520894,NA,0.00212259
589,0.00608464,NA,0.00125623
590,0.00698551,NA,0.00498159
591,0.00772533,NA,0.003812
592,0.00882751,NA,0.002859
593,0.00786122,NA,0.00355209
594,0.00551594,NA,0.00242582
595,0.00478618,NA,0.00346545
596,0.00525423,NA,0.00329218
597,0.00753912,NA,0.00450509
598,0.0101562,NA,0.00160277
599,0.0123756,NA,0.00467836
600,0.0142277,NA,0.0023825
601,0.0160093,NA,0.00181936
602,0.0160194,NA,0.00450509
603,0.013961,NA,0.00311891
604,0.011052,NA,0.00203595
605,0.00971831,NA,0.00229586
606,0.00857587,NA,0.00329218
607,0.00545554,NA,0.00346545
608,0.00622556,NA,0.00441845
609,0.00675904,NA,0.00498159
610,0.00809272,NA,0.00207927
611,0.00995486,NA,0.00233918
612,0.0101612,NA,0.00268573
613,0.0105185,NA,0.00177605
614,0.0121492,NA,0.00450509
615,0.0151638,NA,0.004765
616,0.0152091,NA,0.00207927
617,0.0110822,NA,0.00342214
618,0.00574241,NA,0.00420186
619,0.00544044,NA,0.00298895
620,0.00770017,NA,0.00368204
621,0.00860104,NA,0.00450509
622,0.00987433,NA,0.00134286
623,0.0110822,NA,0.00259909
624,0.0111325,NA,0.00242582
625,0.0107299,NA,0.00324886
626,0.012426,NA,0.00394195
627,0.0151235,NA,0.00459173
628,0.0174638,NA,0.00225254
629,0.0163364,NA,0.00355209
630,0.0127732,NA,0.00346545
631,0.0114496,NA,0.00125623
632,0.0070459,NA,0.00424518
633,0.00991963,NA,0.00480832
634,0.0105387,NA,0.00225254
635,0.0130047,NA,0.00277236
636,0.0141371,NA,0.00294564
637,0.014575,NA,0.00168941
638,0.0145951,NA,0.00433182
639,0.0128135,NA,0.00441845
640,0.013815,NA,0.00168941
641,0.0172071,NA,0.00376868
642,0.0160949,NA,0.00290232
643,0.014278,NA,0.00294564
644,0.00837959,NA,0.00320554
645,0.00301967,NA,0.00359541
646,0.00526933,NA,0.00151614
647,0.00843495,NA,0.00506823
648,0.00998002,NA,0.00216591
649,0.0112684,NA,0.00251245
650,0.0128588,NA,0.0042885
651,0.0120938,NA,0.00311891
652,0.0123454,NA,0.00277236
653,0.0121844,NA,0.00242582
654,0.0109815,NA,0.00394195
655,0.00990956,NA,0.00233918
656,0.00905399,NA,0.00398527
657,0.00516364,NA,0.00459173
658,0.00266235,NA,0.0014295
659,0.00147964,NA,0.00398527
660,0.00208357,NA,0.00181936
661,0.00500762,NA,0.002859
662,0.00822861,NA,0.00402859
663,0.0105437,NA,0.00324886
664,0.0150682,NA,0.00194932
665,0.0192957,NA,0.00376868
666,0.0210673,NA,0.00355209
667,0.0196933,NA,0.00294564
668,0.0177909,NA,0.00420186
669,0.0154205,NA,0.0042885
670,0.0117214,NA,0.00216591
671,0.00689492,NA,0.00298895
672,0.002763,NA,0.00272904
673,0.00438356,NA,0.00155945
674,0.00791154,NA,0.00424518
675,0.0109161,NA,0.00420186
676,0.0121341,NA,0.00272904
677,0.0125115,NA,0.00363873
678,0.0112231,NA,0.00272904
679,0.00955727,NA,0.00320554
680,0.0107953,NA,0.00329218
681,0.0111174,NA,0.00420186
682,0.0109312,NA,0.00203595
683,0.0103826,NA,0.00376868
684,0.00959753,NA,0.00320554
685,0.00882248,NA,0.00164609
686,0.00739317,NA,0.00407191
687,0.00378969,NA,0.00506823
688,0.00501769,NA,0.00203595
689,0.00738813,NA,0.00359541
690,0.00867149,NA,0.00246914
691,0.0101109,NA,0.00255577
692,0.0123052,NA,0.00329218
693,0.0133772,NA,0.00307559
694,0.0146404,NA,0.00125623
695,0.0158684,NA,0.00359541
696,0.0163666,NA,0.00229586
697,0.0158231,NA,0.00259909
698,0.0160898,NA,0.00398527
699,0.0123756,NA,0.00355209
700,0.00565685,NA,0.00168941
701,0.00675904,NA,0.00424518
702,0.00504285,NA,0.00368204
703,0.00651746,NA,0.00255577
704,0.00775553,NA,0.00350877
705,0.0086262,NA,0.003812
706,0.00862117,NA,0.00212259
707,0.0083494,NA,0.00376868
708,0.00775049,NA,0.00220923
709,0.00745859,NA,0.00233918
