frame,father,mother,therapist
1,0,0.00153001,0
2,0,0.00233528,0
3,0,0.00326939,0
4,0,0.00243191,0
5,0,0.00100659,0
6,0,0.000781112,0
7,0,0.0020776,0
8,0,0.00158638,9.53607e-05
9,0,0.00155417,0
10,0,0.00236749,0
11,0,0.00184407,0
12,0,0.0014978,0.00138273
13,0,0.00136091,0.0026701
14,0,0.00125622,0.0060554
15,0,0.000918007,0.00433891
16,0,0.000918007,0.00181185
17,0,0.000869691,0.0021933
18,6.17608e-06,0.000362371,0.00152577
19,0,0.000386529,0.00171649
20,0,0.000265739,0.00381443
21,0,2.41581e-05,0.00104897
22,0,2.41581e-05,0.000476804
23,1.23522e-05,0.000136896,0.000619845
24,6.17608e-06,0.000153001,0.00166881
25,0,8.85797e-05,0.00796262
26,0,0.000289897,0.0106327
27,0,0.000314055,0.00843942
28,0,2.41581e-05,0.00924999
29,0,0.000128843,0.00929767
30,0,0.000193265,0.0114433
31,0,0.000201317,0.0137796
32,0,2.41581e-05,0.0127783
33,0,5.63689e-05,0.00529252
34,1.23522e-05,0.000144949,4.76804e-05
35,6.17608e-06,0.000177159,0.00195489
36,1.85282e-05,0,0.000429123
37,1.85282e-05,1.61054e-05,4.76804e-05
38,6.17608e-06,0,0
39,1.23522e-05,0,0
40,0,1.61054e-05,0.00152577
41,0,7.24743e-05,0.000572164
42,0,1.61054e-05,0
43,6.17608e-06,0,0
44,6.17608e-06,5.63689e-05,0.000524484
45,0,0,0.000143041
46,0,0,0
47,0,0,0
48,0,0,0
49,6.17608e-06,8.0527e-06,0
50,6.17608e-06,0.000144949,0.000858246
51,6.17608e-06,2.41581e-05,0
52,0,1.61054e-05,0
53,0,0.000153001,0
54,0,3.22108e-05,0
55,0,1.61054e-05,0
56,0,8.0527e-05,0.000143041
57,0,4.83162e-05,0.00228866
58,6.17608e-06,0.000555636,0.00934535
59,0,0.00127233,0.0160206
60,0,0.000821375,0.0156868
61,0,0.000684479,0.0130644
62,0,0.000225476,0.013875
63,0,2.41581e-05,0.0125876
64,0,1.61054e-05,0.010442
65,6.17608e-06,1.61054e-05,0.00524484
66,6.17608e-06,0,0.00386211
67,2.47043e-05,0,0.00553092
68,0.000592904,0.000153001,0.0051018
69,0.000679369,3.22108e-05,0.00104897
70,0.00125992,0.000233528,0.00233634
71,0.00184047,0.000338213,0.005817
72,0.00175401,0.00012079,0.00696133
73,0.00221721,0.000265739,0.00524484
74,0.00241485,0.000909955,0.00696133
75,0.00119198,0.00168301,0.0048634
76,0.000549671,0.0014817,0.00619845
77,0.000450854,0.00127233,0.00939303
78,0.000234691,0.000499267,0.011491
79,0.000166754,7.24743e-05,0.0127307
80,0.000277924,5.63689e-05,0.0107281
81,0.000154402,1.61054e-05,0.00553092
82,0.000240867,1.61054e-05,0.00305154
83,0.000568199,0,0.00271778
84,0.000734954,6.44216e-05,0.000333762
85,0.000852299,0.000668374,0.000524484
86,0.000636136,0.00252855,0.00114433
87,0.000376741,0.0026896,0.000715205
88,1.85282e-05,0.00231112,0.00190721
89,4.32326e-05,0.00274597,0.00133505
90,1.23522e-05,0.00295534,0.00305154
91,0.000123522,0.00494436,0.00596004
92,3.70565e-05,0.00889823,0.0115863
93,0.000216163,0.0100739,0.0113956
94,0.00042615,0.00786748,0.0113002
95,0.00094494,0.00818154,0.0136366
96,0.00100052,0.00798828,0.0146855
97,0.000784362,0.00496046,0.0160683
98,0.000203811,0.00659516,0.0124923
99,6.17608e-06,0.00744874,0.00853478
100,3.08804e-05,0.00572547,0.00553092
101,8.64651e-05,0.00605563,0.00429123
102,1.23522e-05,0.0059751,0.00123969
103,4.94086e-05,0.00322913,0.000762886
104,0.000135874,0.00706222,0.00114433
105,0.000148226,0.0037445,0.00152577
106,0.000333508,0.00599121,0.00162113
107,0.000747306,0.00635358,0.00100129
108,0.000154402,0.00467862,0.00114433
109,3.08804e-05,0.00290702,0.0053402
110,0.000111169,0.00445314,0.00739045
111,3.70565e-05,0.00329355,0.00610308
112,0,0.000918007,0.0051018
113,5.55847e-05,0.000410688,0.00376675
114,1.23522e-05,0.000249634,0.00190721
115,0,0.000402635,0.00176417
116,0,0.000982429,0.00162113
117,0,0.00289092,0.000286082
118,6.17608e-06,0.00521815,0.000238402
119,0.000111169,0.00649853,0.000238402
120,6.17608e-05,0.00777891,0.000238402
121,6.17608e-06,0.00698974,9.53607e-05
122,2.47043e-05,0.00320497,0
123,0,0.00778696,0.000190721
124,6.17608e-06,0.00737627,0
125,3.08804e-05,0.0055161,0.000286082
126,6.17608e-06,0.000853586,0.000476804
127,0,0.00249634,0.000905927
128,0,0.00204538,0.00114433
129,0,0.000249634,0.000286082
130,6.17608e-06,5.63689e-05,4.76804e-05
131,6.17608e-06,0,0.00133505
132,4.32326e-05,2.41581e-05,9.53607e-05
133,0.000154402,5.63689e-05,0
134,0.000111169,0.000112738,0
135,4.32326e-05,3.22108e-05,0
136,1.23522e-05,1.61054e-05,0
137,1.85282e-05,1.61054e-05,0.000810566
138,1.23522e-05,0,0.000190721
139,6.79369e-05,7.24743e-05,0
140,1.23522e-05,0.000169107,0.000286082
141,3.70565e-05,0.000169107,0
142,6.17608e-06,3.22108e-05,0
143,6.17608e-05,8.0527e-06,9.53607e-05
144,3.70565e-05,7.24743e-05,0
