frame,patient,mother,therapist
159,0.000742272,0.00234994,0.0346823
160,0.000864962,0.00219073,0.0219214
161,0.00116555,0.00398026,0.0111202
162,0.00082202,0.00224805,0.00300793
163,0.000490758,0.00203789,0.00410172
164,0.000171765,0.00275115,0.012214
165,1.2269e-05,0.00233721,0.0221949
166,1.2269e-05,0.00175131,0.0321757
167,0.000251514,0.000573157,0.035685
168,0.00103673,0.000942525,0.0368699
169,0.00266236,0.00138195,0.036004
170,0.00385859,0.00189779,0.0298059
171,0.00199984,0.000872473,0.0168171
172,0.00228203,0.00137558,0.00501322
173,0.000503027,0.00149021,0.00428402
174,0.000251514,0.00166216,0.00469419
175,0.00187715,0.00289763,0.00255218
176,0.00234337,0.00226079,0.00410172
177,0.0012453,0.00142652,0.00401057
178,0.000699331,0.00138195,0.00405615
179,0.000717734,0.00191689,0.00428402
180,0.000785213,0.00124184,0.00241546
181,0.000472355,0.00080242,0.0030535
182,0.000392607,0.000974367,0.00492207
183,5.52103e-05,0.000827894,0.0043296
184,1.84034e-05,0.00106352,0.0043296
185,6.74793e-05,0.00152205,0.00300793
186,0.000134959,0.00113358,0.00373713
187,0.000116555,0.000566789,0.00309908
188,1.84034e-05,0.000757841,0.00350925
189,0,0.000917051,0.00300793
190,0,0.000980736,0.00346368
191,4.90758e-05,0.000866104,0.0043296
192,4.90758e-05,0.000165579,0.00355483
193,3.06724e-05,8.27894e-05,0.00469419
194,6.13448e-06,0.00015921,0.00902379
195,3.06724e-05,3.82105e-05,0.00824902
196,1.2269e-05,5.09473e-05,0.0104822
197,1.84034e-05,0.000299315,0.0134901
198,0,5.73157e-05,0.00925166
199,3.06724e-05,1.27368e-05,0.00464862
200,0.000171765,7.00525e-05,0.00519552
201,0.000521431,8.27894e-05,0.00428402
202,0.000349665,8.27894e-05,0.00373713
203,0.000914038,0.00015921,0.0073831
204,0.000656389,0.000108263,0.00793
205,0.000490758,5.09473e-05,0.00697293
206,0.000343531,3.82105e-05,0.00747425
207,0.000478489,1.27368e-05,0.00834017
208,0.000742272,1.91052e-05,0.0102087
209,0.00103059,6.36841e-06,0.0107101
210,0.000637986,1.91052e-05,0.00742868
211,0.000269917,6.36841e-06,0.00669948
212,0.000110421,4.45789e-05,0.00583356
213,1.84034e-05,1.27368e-05,0.00501322
214,9.20172e-05,0,0.00473977
215,0.000116555,3.82105e-05,0.00483092
216,0.000184034,6.36841e-06,0.00250661
217,0.000171765,3.18421e-05,0.00364598
218,3.68069e-05,1.27368e-05,0.0117127
219,0.000110421,1.91052e-05,0.014356
220,0.000184034,0,0.00975299
221,0.000441683,3.82105e-05,0.0043296
222,0.00115942,4.45789e-05,0.00624373
223,0.00399968,6.36841e-05,0.0036004
224,0.00532473,6.36841e-05,0.00592471
225,0.00576028,2.54737e-05,0.00802115
226,0.00607927,5.09473e-05,0.0106645
227,0.00573574,2.54737e-05,0.0102999
228,0.0053554,1.91052e-05,0.00633488
229,0.00488305,0,0.00442075
230,0.0031838,4.45789e-05,0.00487649
231,0.00580935,3.18421e-05,0.00405615
232,0.0129806,8.27894e-05,0.00373713
233,0.0176734,0.000407578,0.0032358
234,0.017882,0.00101895,0.00428402
235,0.0140112,0.00166852,0.00259776
236,0.0125573,0.002178,0.00419287
237,0.0104163,0.00198058,0.0043296
238,0.00673566,0.00200605,0.00437517
239,0.00453952,0.00210794,0.00496764
240,0.0035764,0.00101895,0.00195971
241,0.00326968,0.000509473,0.00241546
242,0.00374203,0.000891578,0.00446632
243,0.00385245,0.000312052,0.00387385
244,0.00334329,0.00015921,0.00309908
245,0.00225135,0.000114631,0.00291678
246,0.00328808,0.000165579,0.0036004
247,0.00155816,0.000171947,0.00337253
248,0.00166244,0.000203789,0.00259776
249,0.000453952,0.000254737,0.00273448
250,0.000460086,0.000133737,0.003965
251,0.00182194,0.000152842,0.00451189
