frame,father,mother,None
1,0,0,4.80492e-05
2,0,2.48724e-05,0
3,0,1.24362e-05,9.60984e-05
4,0,1.86543e-05,0
5,0,4.97447e-05,4.80492e-05
6,0,0.000124362,0
7,0,0.000136798,4.80492e-05
8,5.92768e-06,0.000174107,0
9,0,0.000174107,4.80492e-05
10,0,8.08352e-05,0
11,0,6.8399e-05,4.80492e-05
12,5.92768e-06,6.21809e-06,0
13,5.92768e-06,2.48724e-05,0
14,0,0.00029225,0
15,0,0.00055341,0
16,0,0.000547192,0
17,1.7783e-05,0.000771044,0.000192197
18,0,0.000690208,4.80492e-05
19,0,0.000739953,4.80492e-05
20,0,0.000696426,0
21,0,0.000416612,0
22,0,0.000373086,0
23,0,0.000472575,0
24,0,0.000180325,0
25,0,0.000118144,0
26,0,0.000192761,0
27,0,0.000124362,0.000192197
28,1.18554e-05,0.000118144,0
29,0,0.000310905,0.000192197
30,5.92768e-06,0.000105708,0
31,0,0.000192761,0
32,0,0.000640464,0
33,0,0.000677772,4.80492e-05
34,0,0.000938932,4.80492e-05
35,5.92768e-06,0.00146125,0.000384394
36,0,0.00146747,0
37,0,0.00198979,0
38,0,0.00272352,0
39,0,0.00321475,0
40,5.92768e-06,0.00315879,0
41,5.92768e-06,0.00334533,0.000192197
42,0,0.00385522,9.60984e-05
43,0,0.00449568,0
44,0,0.00438376,0
45,0,0.00341373,0
46,0,0.00155452,0
47,0,0.000739953,0
48,5.92768e-06,0.000223851,0
49,0,0.000416612,0
50,5.92768e-06,0.000410394,0
51,5.92768e-06,3.73086e-05,9.60984e-05
52,5.92768e-06,1.86543e-05,0
53,0,9.32714e-05,0
54,0,5.59628e-05,0
55,0,6.21809e-06,0
56,0,3.10905e-05,0
57,0,6.21809e-06,0
58,1.18554e-05,6.21809e-06,4.80492e-05
59,1.18554e-05,1.24362e-05,0.000192197
60,0,1.86543e-05,0
61,0,6.21809e-06,0
62,0,3.73086e-05,0
63,0,2.48724e-05,0
64,2.37107e-05,2.48724e-05,4.80492e-05
65,0,0,0
66,5.92768e-06,2.48724e-05,0
67,0,0,0
68,5.92768e-06,1.24362e-05,0
69,0.000136337,1.24362e-05,0
70,1.7783e-05,6.21809e-06,0
71,0.000100771,6.21809e-06,0
72,1.18554e-05,6.21809e-06,0
73,0,1.86543e-05,0
74,5.92768e-06,1.24362e-05,0
75,2.96384e-05,1.24362e-05,0
76,0,1.24362e-05,0
77,5.92768e-06,1.86543e-05,0
78,0,1.24362e-05,0
79,0,6.21809e-06,0
80,0,4.97447e-05,0
81,4.74215e-05,6.21809e-06,0
82,0.000195614,1.24362e-05,0
83,0.000450504,0,0
84,5.92768e-05,2.48724e-05,0
85,2.37107e-05,0,0
86,3.55661e-05,1.86543e-05,0
87,0,6.21809e-06,0.000192197
88,4.74215e-05,1.24362e-05,4.80492e-05
89,8.29876e-05,1.86543e-05,0
90,1.7783e-05,4.35267e-05,4.80492e-05
91,0,1.24362e-05,0
92,1.18554e-05,4.35267e-05,4.80492e-05
93,0,1.86543e-05,0
94,0,6.21809e-06,4.80492e-05
95,3.55661e-05,6.21809e-06,0
96,5.92768e-06,6.21809e-06,0
97,2.96384e-05,1.24362e-05,0
98,0.000100771,1.86543e-05,4.80492e-05
99,4.14938e-05,0,0
100,3.55661e-05,1.86543e-05,0
101,2.37107e-05,2.48724e-05,0.000192197
102,5.92768e-06,6.21809e-06,4.80492e-05
103,0,0,0
104,0,0,0
105,0,1.24362e-05,0.000192197
106,5.92768e-06,6.21809e-06,9.60984e-05
107,8.29876e-05,0,0
108,0.000266746,6.21809e-06,0
109,0.000367516,2.48724e-05,0
110,0.000444576,3.10905e-05,0
111,0.00025489,3.73086e-05,0
112,1.7783e-05,2.48724e-05,0
113,0,1.24362e-05,4.80492e-05
114,1.7783e-05,3.73086e-05,0
115,0.000248963,1.24362e-05,0
116,0.000468287,1.24362e-05,0
117,0.000444576,1.24362e-05,0
118,0.000278601,3.73086e-05,0
119,0.000124481,4.35267e-05,0
120,5.92768e-06,7.46171e-05,0
121,0,0.000659118,0
122,0,0.00296603,0
123,0,0.00294738,0
124,1.18554e-05,0.00521698,0
125,0,0.00696426,0.000192197
126,0,0.00584501,4.80492e-05
127,0,0.0048128,0
128,0,0.00298468,0
129,5.92768e-06,0.0054657,0
130,5.92768e-06,0.00623675,0
131,0,0.00555276,0
132,0,0.00403554,0
133,5.92768e-06,0.00437132,0
134,0,0.00489986,0
135,0,0.00299712,0
136,5.92768e-06,0.00192139,0
137,0,0.00248102,0
138,0,0.00215768,0
139,0,0.00366246,0
140,5.92768e-06,0.00413503,0
141,0,0.00397958,0.000192197
142,0,0.00291629,4.80492e-05
143,1.18554e-05,0.00174728,0
144,0,0.00126227,0
145,0,0.00154831,0
146,0,0.00101355,0
147,0,0.000254942,0
148,0,0.000304687,0
149,0,0.000540974,0.000192197
150,0,0.000155452,4.80492e-05
151,0,8.70533e-05,0
152,0,5.59628e-05,0
153,0,1.86543e-05,0
154,0,4.97447e-05,9.60984e-05
155,0,3.73086e-05,0
156,0,4.97447e-05,0
157,0,4.35267e-05,0
158,0,8.08352e-05,0
159,0,6.8399e-05,0
160,0,9.32714e-05,0
161,0,4.97447e-05,0
162,0,0.000304687,0
163,0,0.000478793,0
164,0,0.000833225,0
165,0,0.000739953,0
166,1.18554e-05,0.000453921,4.80492e-05
167,0,0.00235666,0
168,0,0.00474441,0
169,0,0.0050864,0
170,0,0.00544705,0
171,0,0.00652278,0
172,5.92768e-06,0.00664714,0
173,5.92768e-06,0.00640464,0
174,0,0.0050864,0
175,5.92768e-06,0.00302199,4.80492e-05
176,0,0.0029225,0
177,3.55661e-05,0.00460761,0
178,0.000201541,0.00542218,0
179,1.18554e-05,0.00628027,0
180,0,0.00592584,0
181,0,0.00345726,0
182,0,0.00261782,0
183,0,0.00349457,0
184,0,0.000895405,9.60984e-05
185,0,0.000385522,0
186,5.92768e-06,0.00026116,0
187,5.92768e-06,0.000205197,0
188,0,0.000198979,4.80492e-05
189,0,0.000136798,0
190,5.92768e-06,0.000136798,0
191,0,0.000111926,0
192,0,1.24362e-05,0
193,0,1.86543e-05,0
194,0,3.10905e-05,4.80492e-05
195,5.92768e-06,0,0.000192197
196,0,1.86543e-05,0
197,0,1.86543e-05,0.000192197
198,0,0,4.80492e-05
199,0,6.21809e-06,0
200,5.92768e-06,6.21809e-06,0
201,0,2.48724e-05,0
202,0,1.24362e-05,0
203,0,1.24362e-05,0
204,0,3.73086e-05,0
205,0,3.10905e-05,0
206,1.18554e-05,1.24362e-05,0
207,0,0,9.60984e-05
208,0,1.24362e-05,0.000192197
209,0,2.48724e-05,0.000192197
