frame,mother,patient,therapist
1,0.000952198,0.00462216,0.00311429
2,0.00109128,0.00549736,0.00400409
3,0.000668678,0.00499822,0.00444899
4,0.000379809,0.00531959,0.00449348
5,0.000748919,0.00724093,0.00436001
6,0.000337014,0.00793835,0.00342572
7,0.000235375,0.00536061,0.00324776
8,0.000534942,0.00488882,0.00418205
9,0.000256772,0.00842382,0.00404858
10,0.000144434,0.0087862,0.00640655
11,0.000251423,0.00978448,0.00742982
12,0.00018188,0.00706999,0.00436001
13,0.000197929,0.005723,0.00293633
14,0.000101639,0.00801357,0.00364817
15,2.13977e-05,0.00668709,0.00391511
16,6.41931e-05,0.00509395,0.0052943
17,0.000133736,0.00639307,0.00524981
18,3.20965e-05,0.0044649,0.00320327
19,1.60483e-05,0.00407516,0.00315878
20,0.000310267,0.00460848,0.00382613
21,0.000363761,0.00656401,0.00364817
22,0.000454701,0.00706315,0.00400409
23,0.000230025,0.00720674,0.00436001
24,0.000588437,0.00387687,0.00315878
25,0.000518894,0.000929902,0.00391511
26,6.95425e-05,0.00420507,0.00960982
27,0.000192579,0.00661188,0.00823064
28,8.02414e-05,0.00237262,0.00694043
29,1.06988e-05,0.000806827,0.00849758
30,9.62896e-05,0.000663239,0.00680696
31,1.60483e-05,0.00137434,0.00631757
32,0.000128386,0.000793152,0.0103217
33,0.000272821,0.000731614,0.00783023
34,2.67471e-05,0.000348713,0.00667349
35,0,0.00127861,0.008809
36,6.41931e-05,0.00170254,0.00524981
37,0.000144434,0.00336406,0.00338123
38,0.000267471,0.00487515,0.00369266
39,4.81448e-05,0.00357602,0.00373715
40,1.06988e-05,0.00291278,0.00382613
41,8.55908e-05,0.00363756,0.00342572
42,0,0.00255723,0.00338123
43,1.06988e-05,0.00198972,0.00378164
44,2.67471e-05,0.00203758,0.00436001
45,1.60483e-05,0.00179143,0.00422654
46,0.00046005,0.00122391,0.0057392
47,0.00126781,0.000888877,0.00587267
48,0.000385159,0.000649564,0.00320327
49,0.000417255,0.000635889,0.00258042
50,0.00112338,0.000553839,0.00489389
51,0.00223071,0.000574351,0.0039596
52,0.00349317,0.000437601,0.00533879
53,0.00462725,0.000307688,0.0169952
54,0.0046005,0.000123075,0.0224674
55,0.00345573,5.47001e-05,0.022067
