"","slidedFather","slidedMother","slidedChild"
"1",NA,0.007235772,0.0166349
"2",NA,0.006361506,0.01634894
"3",NA,0.0034378306,0.01220215
"4",NA,0.002281438,0.011070758
"5",NA,0.0016660934,0.010226324
"6",NA,0.0008550142,0.009386748
"7",NA,0.0004122036,0.00850273
"8",NA,0.000526979,0.00873002
"9",NA,0.0005148844,0.009015204
"10",NA,0.00046428462,0.008948342
"11",NA,0.00046996182,0.008162378
"12",NA,0.00043836782,0.006709552
"13",NA,0.00024263262,0.00490117
"14",NA,0.00017771662,0.00343353
"15",NA,0.0001984502,0.002412088
"16",NA,0.000188577,0.002458286
"17",NA,0.00015698288,0.003661014
"18",NA,0.00013106588,0.005389676
"19",NA,0.00010391482,0.007232564
"20",NA,9.947202e-05,0.009280522
"21",NA,4.68975e-05,0.010756164
"22",NA,4.41824e-05,0.01162868
"23",NA,6.26946e-05,0.01186182
"24",NA,6.861848e-05,0.011227118
"25",NA,4.566334e-05,0.009629452
"26",NA,8.071306e-05,0.008148548
"27",NA,9.256088e-05,0.006688704
"28",NA,0.00012637628,0.00537427
"29",NA,0.00022955066,0.004624368
"30",NA,0.000315447,0.00434893
"31",NA,0.0004001092,0.003885186
"32",NA,0.0005872052,0.00345653
"33",NA,0.0007404858,0.003257506
"34",NA,0.0008589638,0.003104874
"35",NA,0.0010606222,0.003028264
"36",NA,0.001222542,0.002763352
"37",NA,0.001351634,0.0022693954
"38",NA,0.001602412,0.0017865494
"39",NA,0.0021637,0.0014007794
"40",NA,0.003235184,0.0012265114
"41",NA,0.004819824,0.0013076034
"42",NA,0.006418778,0.0014039
"43",NA,0.00782027,0.0011822616
"44",NA,0.009148956,0.0011202736
"45",NA,0.009774666,0.0012945416
"46",NA,0.009732952,0.0017516556
"47",NA,0.009452308,0.0024113036
"48",NA,0.008857946,0.003326704
"49",NA,0.00792616,0.004113644
"50",NA,0.007115574,0.004452826
"51",NA,0.006252414,0.004563158
"52",NA,0.005404064,0.00465692
"53",NA,0.004887944,0.00485419
"54",NA,0.00423755,0.005089082
"55",NA,0.003497806,0.005312864
"56",NA,0.003212472,0.005100194
"57",NA,0.00333021,0.0045577
"58",NA,0.003854722,0.004132164
"59",NA,0.00467913,0.003947174
"60",NA,0.0057126,0.003990644
"61",NA,0.006685844,0.004472126
"62",NA,0.007277492,0.005150684
"63",NA,0.007382888,0.005269982
"64",NA,0.0071563,0.00537349
"65",NA,0.006772482,0.006051268
"66",NA,0.006246244,0.007178938
"67",NA,0.00582935,0.008675824
"68",NA,0.005431214,0.010390054
"69",NA,0.004988896,0.011627278
"70",NA,0.004300738,0.01204366
"71",NA,0.003458066,0.01206394
"72",NA,0.0025171562,0.01162066
"73",NA,0.0016293146,0.01100955
"74",NA,0.00095251158,0.010301762
"75",NA,0.00056104176,0.00974386
"76",NA,0.00039245736,0.008850296
"77",NA,0.00052130116,0.00785205
"78",NA,0.00072073876,0.007079144
"79",NA,0.00099298978,0.006882652
"80",NA,0.0013316376,0.007165302
"81",NA,0.001638446,0.007587914
"82",NA,0.00163746,0.008245808
"83",NA,0.00163351,0.00872534
"84",NA,0.001732242,0.008930798
"85",NA,0.00195118,0.00886764
"86",NA,0.002312784,0.008914034
"87",NA,0.002852104,0.008619688
"88",NA,0.003436842,0.008140546
"89",NA,0.003966042,0.007380118
"90",NA,0.004249648,0.006324562
"91",NA,0.004329866,0.005378168
"92",NA,0.004408358,0.004703704
"93",NA,0.004301974,0.004447954
"94",NA,0.00394901,0.00444308
"95",NA,0.00341981,0.00431423
"96",NA,0.0027158556,0.004203314
"97",NA,0.0018798466,0.004680702
"98",NA,0.0012158782,0.005208772
"99",NA,0.0008120666,0.005817738
"100",NA,0.0007456686,0.00686881
"101",NA,0.000961891,0.008002142
"102",NA,0.001353608,0.008671928
"103",NA,0.0017665524,0.009156334
"104",NA,0.00208669,0.009799992
"105",NA,0.002287116,0.010433136
"106",NA,0.0023545,0.011186932
"107",NA,0.002315254,0.01250818
"108",NA,0.002063242,0.01436588
"109",NA,0.0017376742,0.01617486
"110",NA,0.0013676776,0.01768656
"111",NA,0.0009527584,0.01811094
"112",NA,0.0005854778,0.01655246
"113",NA,0.0003608636,0.01346318
"114",NA,0.0002616384,0.009843876
"115",NA,0.000266575,0.006238214
"116",NA,0.000383078,0.003221442
"117",NA,0.0004489812,0.001669784
"118",NA,0.0006005338,0.001315204
