"","slidedFather","slidedMother","slidedChild"
"1",NA,0.0004147544,0.02797298
"2",NA,0.0009610116,0.02733072
"3",NA,0.0012396204,0.0227279
"4",NA,0.0014355742,0.0161778
"5",NA,0.0016716482,0.011828556
"6",NA,0.00178792,0.01037954
"7",NA,0.0012858686,0.009659706
"8",NA,0.0010763546,0.009589326
"9",NA,0.0007691434,0.007863178
"10",NA,0.0005061374,0.006817428
"11",NA,0.00031352694,0.00621721
"12",NA,0.00021378536,0.005279956
"13",NA,6.798048e-05,0.002897388
"14",NA,5.237834e-05,0.0019063194
"15",NA,6.798034e-05,0.0014830074
"16",NA,0.000137818,0.0012291954
"17",NA,0.00017459418,0.0010917214
"18",NA,0.00019502546,0.0010346404
"19",NA,0.0002148996,0.0009339868
"20",NA,0.0001861101,0.000883224
"21",NA,0.00011255768,0.000861002
"22",NA,8.525418e-05,0.0007514164
"23",NA,8.971178e-05,0.0008058834
"24",NA,0.00010549938,0.0010511996
"25",NA,0.00020914148,0.0011634004
"26",NA,0.0005841487,0.0011662324
"27",NA,0.001539589,0.001336384
"28",NA,0.003176133,0.001567974
"29",NA,0.0053514986,0.001589542
"30",NA,0.007652244,0.001640304
"31",NA,0.010011502,0.001852068
"32",NA,0.012108488,0.002006754
"33",NA,0.01382396,0.002108496
"34",NA,0.01578388,0.002453812
"35",NA,0.01851684,0.002922658
"36",NA,0.02194556,0.003313726
"37",NA,0.0268316,0.003748802
"38",NA,0.0328356,0.004207408
"39",NA,0.03849412,0.004779958
"40",NA,0.04331774,0.005508934
"41",NA,0.04651078,0.00593486
"42",NA,0.04736946,0.006231592
"43",NA,0.0464287,0.006484098
"44",NA,0.04437946,0.00642353
"45",NA,0.04065356,0.00613159
"46",NA,0.03628834,0.006197602
"47",NA,0.0319805,0.006292808
"48",NA,0.0278415,0.00629368
"49",NA,0.0238925,0.006262526
"50",NA,0.02189338,0.006138562
"51",NA,0.0220388,0.00586122
"52",NA,0.02317496,0.005689106
"53",NA,0.02476154,0.005687362
"54",NA,0.02645306,0.005869934
"55",NA,0.02703888,0.006210674
"56",NA,0.0266141,0.006565358
"57",NA,0.0258158,0.006662092
"58",NA,0.0249679,0.006589978
"59",NA,0.02411128,0.006513506
"60",NA,0.02327156,0.006756208
"61",NA,0.0238403,0.007841392
"62",NA,0.02695884,0.011536388
"63",NA,0.03208802,0.017593692
"64",NA,0.03918974,0.026177134
"65",NA,0.04736968,0.03538672
"66",NA,0.05347602,0.0439706
"67",NA,0.05430554,0.0507584
"68",NA,0.0516727,0.05342964
"69",NA,0.0484806,0.05209588
"70",NA,0.04581802,0.05102944
"71",NA,0.04429756,0.04975494
"72",NA,0.0444833,0.04654556
"73",NA,0.04508212,0.04563096
"74",NA,0.04359954,0.04690066
"75",NA,0.04201686,0.04615382
"76",NA,0.04123694,0.04539782
"77",NA,0.04112214,0.0452865
"78",NA,0.04084854,0.04346646
"79",NA,0.04104078,0.04092006
"80",NA,0.03994698,0.03936514
"81",NA,0.03643782,0.03900654
"82",NA,0.0320347,0.04211198
"83",NA,0.02843026,0.04781698
"84",NA,0.02590756,0.05263812
"85",NA,0.02456634,0.05632222
"86",NA,0.02471028,0.0567403
"87",NA,0.02523742,0.05099412
"88",NA,0.02611856,0.04124882
"89",NA,0.13701438,0.19720902
"90",NA,0.2038683,0.28736962
"91",NA,0.199028518,0.2782994637
"92",NA,0.195038288,0.2726297407
"93",NA,0.190944612,0.26950162789
"94",NA,0.076274028,0.10145623879
"95",NA,0.004972408,0.00010544663
"96",NA,0.00548059,0.00013703713
"97",NA,0.00736436,0.00014226593
"98",NA,0.010481976,0.00026666674
"99",NA,0.012688,0.00044684104
"100",NA,0.01429204,0.0006335512
"101",NA,0.01518674,0.000873639
"102",NA,0.01463602,0.0010871472
"103",NA,0.01285906,0.0012501112
"104",NA,0.01226766,0.001385188
"105",NA,0.01215808,0.00149521
"106",NA,0.0123401,0.001583444
"107",NA,0.0124209,0.001680394
"108",NA,0.011978476,0.001800872
"109",NA,0.011121852,0.001971242
"110",NA,0.010161576,0.002430066
"111",NA,0.00897917,0.00314205
"112",NA,0.007722456,0.004083226
"113",NA,0.006784476,0.00517059
"114",NA,0.005932678,0.00628998
"115",NA,0.005228542,0.006934206
"116",NA,0.004797628,0.006888454
"117",NA,0.004511218,0.006185404
"118",NA,0.004384916,0.005074076
"119",NA,0.004332724,0.00387168
"120",NA,0.00424097,0.003017868
"121",NA,0.0042458,0.002685624
"122",NA,0.004399592,0.002731594
"123",NA,0.004628792,0.002853162
"124",NA,0.004982624,0.00275229
"125",NA,0.00557643,0.002410896
"126",NA,0.006288738,0.001928542
"127",NA,0.06993019,0.083048742
"128",NA,0.260763116,0.267945988
"129",NA,0.277830638,0.286608074
"130",NA,0.283558638,0.287549468
"131",NA,0.28875634,0.28780437
"132",NA,0.23007652,0.206619464
"133",NA,0.0431456,0.022668406
"134",NA,0.02936416,0.007079306
"135",NA,0.02672648,0.010274068
"136",NA,0.02489808,0.014538116
"137",NA,0.02468504,0.016562942
"138",NA,0.02493968,0.016024596
"139",NA,0.02556712,0.015728516
"140",NA,0.02728594,0.015128736
"141",NA,0.02910488,0.01191872
"142",NA,0.03020872,0.009548578
"143",NA,0.03215434,0.009535724
"144",NA,0.03252804,0.007434416
"145",NA,0.02952428,0.004572548
"146",NA,0.0253147,0.00361503
"147",NA,0.020287504,0.00367407
"148",NA,0.014273278,0.003182568
"149",NA,0.009478432,0.003125488
"150",NA,0.006527602,0.003358604
"151",NA,0.004254342,0.004782352
"152",NA,0.002899752,0.007310454
"153",NA,0.002082316,0.009665574
"154",NA,0.00169208,0.012147062
"155",NA,0.00179145,0.017272554
"156",NA,0.001824882,0.0264146
"157",NA,0.001569862,0.03753748
"158",NA,0.001991118,0.04872658
"159",NA,0.003071002,0.05737298
"160",NA,0.00403963,0.06134836
"161",NA,0.004874526,0.05751698
"162",NA,0.005857454,0.04786688
"163",NA,0.00656809,0.03738846
"164",NA,0.006943282,0.02911808
"165",NA,0.007285598,0.02348648
"166",NA,0.007281512,0.02319238
"167",NA,0.00673284,0.02685512
"168",NA,0.005445486,0.0300904
"169",NA,0.003915,0.03390304
"170",NA,0.002610742,0.04122876
"171",NA,0.001871872,0.04717908
"172",NA,0.001867972,0.05177624
"173",NA,0.002066898,0.0565233
"174",NA,0.002078042,0.059805
"175",NA,0.002448962,0.05966316
"176",NA,0.003799468,0.05867688
"177",NA,0.004834404,0.05559562
"178",NA,0.006100026,0.05174182
"179",NA,0.006823664,0.0462549
"180",NA,0.006580904,0.03876864
"181",NA,0.005445112,0.0323109
"182",NA,0.004275702,0.02905294
"183",NA,0.00278515,0.0273355
"184",NA,0.0019591698,0.02720848
"185",NA,0.00163097,0.02767056
