"","slidedFather","slidedMother","slidedChild"
"1",NA,0.001788714,0.001470858
"2",NA,0.001695112,0.001364194
"3",NA,0.001986444,0.001163984
"4",NA,0.002854772,0.001013136
"5",NA,0.003842328,0.0008667758
"6",NA,0.005382064,0.0007335316
"7",NA,0.006539562,0.0007901416
"8",NA,0.00670249,0.0008502048
"9",NA,0.0057076496,0.0008688448
"10",NA,0.004180592,0.001063187
"11",NA,0.002553457,0.0010055402
"12",NA,0.0011914874,0.0009934602
"13",NA,0.000570792,0.001253389
"14",NA,0.0004245872,0.001257531
"15",NA,0.000362275,0.001457051
"16",NA,0.0003498664,0.001760128
"17",NA,0.000924974,0.0016596766
"18",NA,0.0016557274,0.0017035146
"19",NA,0.0021984646,0.0018491846
"20",NA,0.0028812024,0.0015833886
"21",NA,0.003592534,0.0016645086
"22",NA,0.003590916,0.0016444874
"23",NA,0.003265328,0.0013697174
"24",NA,0.00324294,0.0014035454
"25",NA,0.003407758,0.001342101
"26",NA,0.003418008,0.001363157
"27",NA,0.00336082,0.0015447276
"28",NA,0.0030541136,0.0014114832
"29",NA,0.002606597,0.0013769652
"30",NA,0.0018394268,0.0016130756
"31",NA,0.0011545312,0.0013348526
"32",NA,0.000687594,0.0014332326
"33",NA,0.0006093662,0.0015098648
"34",NA,0.0005864374,0.0012437228
"35",NA,0.0008632016,0.0012637428
"36",NA,0.0015354192,0.0013672998
"37",NA,0.0027789684,0.0012188678
"38",NA,0.0040327686,0.001408722
"39",NA,0.004999014,0.0013317444
"40",NA,0.005146836,0.0011111684
"41",NA,0.004384252,0.0012330204
"42",NA,0.0030864828,0.0013072364
"43",NA,0.0017978848,0.0011643282
"44",NA,0.0007779592,0.0013379598
"45",NA,0.0002735268,0.001314487
"46",NA,0.000289712,0.000971368
"47",NA,0.0003334116,0.000875058
"48",NA,0.0003358394,0.0017200842
"49",NA,0.0003174962,0.0022706622
"50",NA,0.0002853958,0.0022192288
"51",NA,0.0002611182,0.0024487798
"52",NA,0.0001877462,0.0026507178
"53",NA,0.00016212,0.0019869158
"54",NA,0.0001607714,0.0014843178
"55",NA,0.0001707522,0.001599266
"56",NA,0.0001621202,0.0015347162
"57",NA,0.00015133,0.001162255
"58",NA,0.00015133,0.0008036028
"59",NA,0.000159962,0.00054298466
"60",NA,0.000154567,0.000303422614
"61",NA,0.0001418886,0.000105973554
"62",NA,0.0001801932,3.0721944e-05
"63",NA,0.0001928714,1.0700906e-05
"64",NA,0.0001996152,6.213428e-06
"65",NA,0.0002001548,4.832664e-06
"66",NA,0.0002322552,3.451906e-06
"67",NA,0.0002406176,3.451906e-06
"68",NA,0.0003210032,2.761526e-06
"69",NA,0.0003962634,2.071144e-06
"70",NA,0.0004704448,1.725954e-06
"71",NA,0.0004704448,1.380762e-06
"72",NA,0.0004607338,1.380762e-06
"73",NA,0.000398961,1.03557e-06
"74",NA,0.0003423134,1.001053e-05
"75",NA,0.0003034692,1.380763e-05
"76",NA,0.0003800784,1.691434e-05
"77",NA,0.0007963042,1.691434e-05
"78",NA,0.0018313376,1.898549e-05
"79",NA,0.0033125366,1.1391292e-05
"80",NA,0.0050157408,1.3462432e-05
"81",NA,0.006610776,1.1046104e-05
"82",NA,0.007907466,1.6914354e-05
"83",NA,0.008350126,2.0711454e-05
"84",NA,0.007701376,1.9330692e-05
"85",NA,0.00622665,1.3462452e-05
"86",NA,0.004651846,1.242688e-05
"87",NA,0.003012572,6.21344e-06
"88",NA,0.001642509,0
"89",NA,0.0008232778,8.62976e-06
"90",NA,0.0006339134,1.967586e-05
"91",NA,0.0005270922,5.108826e-05
"92",NA,0.000426745,0.00010010526
"93",NA,0.0003245096,0.00013635026
"94",NA,0.000357689,0.0001618943
"95",NA,0.0002862052,0.0001781182
"96",NA,0.0002743362,0.00015188366
"97",NA,0.00025140742,0.000103902232
"98",NA,0.0002004246,6.8002422e-05
"99",NA,0.0001251642,3.3828622e-05
"100",NA,0.000121118,6.558622e-06
"101",NA,0.00010520272,2.071144e-06
"102",NA,0.0002832381,1.380762e-06
"103",NA,0.00270748132,1.8295112e-05
"104",NA,0.00922951752,7.2144912e-05
"105",NA,0.01842880792,0.000120471512
"106",NA,0.0271819434,0.00018295093
"107",NA,0.03301232,0.00023611034
"108",NA,0.0343921,0.0002564766
"109",NA,0.03029862,0.00022023152
"110",NA,0.021966848,0.000172595302
"111",NA,0.0132838476,0.000109770692
"112",NA,0.00727516588,5.6266092e-05
"113",NA,0.00347599816,1.8640292e-05
"114",NA,0.00102208542,1.380762e-06
"115",NA,0.00012732218,6.9038e-07
"116",NA,5.55686e-05,3.4519e-07
"117",NA,5.098284e-05,3.4519e-07
"118",NA,3.3718814e-05,3.4519e-07
"119",NA,3.8034814e-05,0
"120",NA,4.5048334e-05,0
"121",NA,4.3969334e-05,0
"122",NA,3.7225566e-05,0
"123",NA,3.6146564e-05,0
"124",NA,3.6146564e-05,0
"125",NA,3.1830544e-05,0
"126",NA,1.8882526e-05,0
"127",NA,8.4162174e-05,0
"128",NA,0.001371410922,3.4519e-07
"129",NA,0.003774347662,3.4519e-07
"130",NA,0.005912665402,1.035572e-06
"131",NA,0.0072951364,1.035572e-06
"132",NA,0.0073871212,1.380762e-06
"133",NA,0.0061192944,1.725954e-06
"134",NA,0.00372040392,1.725954e-06
"135",NA,0.00161823272,1.380762e-06
"136",NA,0.00025545352,1.380762e-06
"137",NA,0.00012300612,1.725954e-06
"138",NA,0.0001192297,1.035572e-06
"139",NA,0.000109518682,1.380762e-06
