"","slidedFather","slidedMother","slidedChild"
"1",NA,0.0013731748,0.0018531942
"2",NA,0.0011374548,0.0021366322
"3",NA,0.000985123,0.0023293482
"4",NA,0.0006526638,0.0023563422
"5",NA,0.0006016676,0.0024238274
"6",NA,0.000589192,0.0020218208
"7",NA,0.0004458328,0.0012248126
"8",NA,0.0005305344,0.0009622186
"9",NA,0.0005401646,0.0007385774
"10",NA,0.00044430072,0.0006934734
"11",NA,0.00041606692,0.00082349
"12",NA,0.00041869332,0.0009056682
"13",NA,0.00059663212,0.0008120438
"14",NA,0.00066491892,0.0007679648
"15",NA,0.000782013,0.0008424554
"16",NA,0.0008638694,0.0009492354
"17",NA,0.0009680502,0.0014277814
"18",NA,0.0010072282,0.0019456238
"19",NA,0.0012370384,0.002412552
"20",NA,0.0013075128,0.003216564
"21",NA,0.0013160486,0.00403937
"22",NA,0.0012420716,0.00468364
"23",NA,0.0010019738,0.005592212
"24",NA,0.0007240126,0.007004444
"25",NA,0.0005716818,0.00913834
"26",NA,0.0004348896,0.0122734
"27",NA,0.00034012,0.016149088
"28",NA,0.0003145124,0.02144864
"29",NA,0.000265705,0.02807108
"30",NA,0.0002956898,0.03449858
"31",NA,0.0003079464,0.03998778
"32",NA,0.0002825578,0.0443135
"33",NA,0.0002317806,0.04652256
"34",NA,0.00019807504,0.04673014
"35",NA,0.00013810538,0.04569342
"36",NA,0.00010768284,0.04384826
"37",NA,9.695824e-05,0.04189392
"38",NA,0.00013438464,0.03981948
"39",NA,0.0001842864,0.03706658
"40",NA,0.00022477686,0.0341567
"41",NA,0.0002886862,0.03110996
"42",NA,0.000305758,0.0266814
"43",NA,0.0002948146,0.02229076
"44",NA,0.000297441,0.01976598
"45",NA,0.00025125998,0.01963152
"46",NA,0.000176845,0.02215888
"47",NA,0.0001330714,0.02783088
"48",NA,9.476958e-05,0.03459238
"49",NA,4.246028e-05,0.0410214
"50",NA,3.676972e-05,0.04619076
"51",NA,5.16527e-05,0.05022824
"52",NA,8.31697e-05,0.05286562
"53",NA,9.345652e-05,0.05407148
"54",NA,9.476972e-05,0.0534255
"55",NA,0.0001698413,0.05197466
"56",NA,0.0002333129,0.04945432
"57",NA,0.0003729503,0.04692458
"58",NA,0.0005265953,0.04601686
"59",NA,0.0007962394,0.04657452
"60",NA,0.0008651826,0.04806396
"61",NA,0.0008389184,0.05106628
"62",NA,0.0007161338,0.05534586
"63",NA,0.0005865642,0.060227
"64",NA,0.0003525956,0.06590292
"65",NA,0.000234626,0.07140852
"66",NA,0.00018144128,0.07597648
"67",NA,0.00014029412,0.07915938
"68",NA,0.00011862612,0.08142414
"69",NA,8.689024e-05,0.08316354
"70",NA,7.332044e-05,0.08416556
"71",NA,9.476936e-05,0.08455528
"72",NA,0.00011599952,0.08472836
"73",NA,0.00012037692,0.08388078
"74",NA,0.0001464222,0.0817445
"75",NA,0.0001521128,0.0790938
"76",NA,0.00013482236,0.07669526
"77",NA,0.0001210337,0.07466916
"78",NA,0.00010593188,0.07267878
"79",NA,0.00010768268,0.0704492
"80",NA,0.00014116948,0.06804246
"81",NA,0.00022455792,0.06481666
"82",NA,0.00039549338,0.06066078
"83",NA,0.000691183,0.05793456
"84",NA,0.0009247154,0.0583974
"85",NA,0.0012650534,0.06316714
"86",NA,0.00189189,0.07241804
"87",NA,0.002481082,0.08525996
"88",NA,0.002900652,0.09888428
"89",NA,0.003281042,0.11140628
"90",NA,0.003375374,0.1214288
"91",NA,0.003080122,0.1292826
"92",NA,0.002555058,0.1356436
"93",NA,0.0019590812,0.140599
"94",NA,0.00145897,0.1437908
"95",NA,0.001185606,0.1447496
"96",NA,0.00111119,0.1451568
"97",NA,0.001253016,0.1450034
"98",NA,0.0015114988,0.1414924
"99",NA,0.001697318,0.1333846
"100",NA,0.00174525,0.12209882
"101",NA,0.001640194,0.11021262
"102",NA,0.0013585118,0.098745
"103",NA,0.0010247386,0.08919262
"104",NA,0.00071898,0.08202278
"105",NA,0.0004773496,0.07540412
"106",NA,0.0002783994,0.06405278
"107",NA,0.0001930412,0.0516145
"108",NA,0.00014926766,0.04076888
"109",NA,0.00017181106,0.03223484
"110",NA,0.00022171286,0.02767096
"111",NA,0.00021098846,0.02699388
"112",NA,0.00019588658,0.02521792
"113",NA,0.00020967532,0.02303482
"114",NA,0.00019063372,0.02137776
"115",NA,0.00022871652,0.0188938
"116",NA,0.00036791612,0.01627778
"117",NA,0.0006115164,0.014153618
"118",NA,0.0009599524,0.01186322
"119",NA,0.0011536492,0.009883768
"120",NA,0.0012341926,0.009070528
"121",NA,0.0012871576,0.010360588
"122",NA,0.0012632996,0.01412849
"123",NA,0.0011190676,0.019660728
"124",NA,0.001047499,0.02689412
"125",NA,0.0009901556,0.03583548
"126",NA,0.000855553,0.04389544
"127",NA,0.0006533202,0.04947312
"128",NA,0.0004572142,0.05197042
"129",NA,0.0003210786,0.0518175
"130",NA,0.0002022336,0.0488584
"131",NA,0.0002020148,0.04327678
"132",NA,0.0004867616,0.03693984
"133",NA,0.0012714016,0.03185796
