"","video","frame_index","slidedPatient","slidedTherapist"
"1","F1044F1",1,-5.00646636315039,-5.14865523550682
"2","F1044F1",2,-5.01690349969086,-5.17967849445777
"3","F1044F1",3,-5.07875618060193,-5.37889307290345
"4","F1044F1",4,-5.10416839107771,-5.51316226924966
"5","F1044F1",5,-5.1764237061681,-5.66953119344785
"6","F1044F1",6,-5.26790058159112,-5.82590011764605
"7","F1044F1",7,-5.34099386365814,-5.84039600197264
"8","F1044F1",8,-5.46840275793889,-5.96625883139589
"9","F1044F1",9,-5.63318957771072,-6.12686771203283
"10","F1044F1",10,-5.65940946768526,-6.12686771203283
"11","F1044F1",11,-5.69602333333167,-6.23742643974574
"12","F1044F1",12,-6.03479563825046,-6.27358078669893
"13","F1044F1",13,-6.23063221319959,-6.19713498212224
"14","F1044F1",14,-6.26522358378589,-6.10282589665986
"15","F1044F1",15,-6.30801374812201,-6.1693914898573
"16","F1044F1",16,-6.23022003240719,-6.01175355014242
"17","F1044F1",17,-5.95749748427033,-6.00122779930173
"18","F1044F1",18,-5.67621464504465,-6.00884568395609
"19","F1044F1",19,-5.39842715634851,-5.9772919399952
"20","F1044F1",20,-5.18440435731771,-6.02753195647858
"21","F1044F1",21,-5.03189312285111,-6.19786508612589
"22","F1044F1",22,-4.77352629218485,-6.17834254797803
"23","F1044F1",23,-4.61792096749465,-6.24176751179354
"24","F1044F1",24,-4.61792096749465,-6.23319677531533
"25","F1044F1",25,-4.61991432897446,-6.11639116563453
"26","F1044F1",26,-4.55472790454278,-6.04541656892715
"27","F1044F1",27,-4.45800419393444,-6.16480243499858
"28","F1044F1",28,-4.3290336652142,-6.06917456830944
"29","F1044F1",29,-4.23812995627626,-6.15094499272193
"30","F1044F1",30,-4.21767611286993,-6.17739100129855
"31","F1044F1",31,-4.24237062342834,-6.11143521146412
"32","F1044F1",32,-4.32722638088491,-6.02573275169875
"33","F1044F1",33,-4.48301201567073,-6.12676357449471
"34","F1044F1",34,-4.53896840276253,-6.0163789023678
"35","F1044F1",35,-4.46126981176209,-6.02887874816319
"36","F1044F1",36,-4.40212491589792,-6.10912081025708
"37","F1044F1",37,-4.26455700458003,-6.0882382047653
"38","F1044F1",38,-4.08830641036249,-6.02333043040313
"39","F1044F1",39,-3.96694556487341,-6.13371510253004
"40","F1044F1",40,-3.96180063151901,-6.04217348660281
"41","F1044F1",41,-4.06017256597537,-5.93134476790384
"42","F1044F1",42,-4.23521356981376,-5.95222737339562
"43","F1044F1",43,-4.37616186719238,-5.86658902784994
"44","F1044F1",44,-4.48271119613615,-5.90346126375696
"45","F1044F1",45,-4.5154254003073,-6.04896562167287
"46","F1044F1",46,-4.41782710302821,-6.06064541949902
"47","F1044F1",47,-4.26968194054901,-6.12500273122125
"48","F1044F1",48,-4.08468174530155,-6.17124038516806
"49","F1044F1",49,-3.87695840921253,-6.04708117529529
"50","F1044F1",50,-3.68334486128779,-5.96137871552992
"51","F1044F1",51,-3.52591123731511,-6.03290789757731
"52","F1044F1",52,-3.37427181232662,-5.92283597373601
"53","F1044F1",53,-3.29511463206517,-5.98752576760336
"54","F1044F1",54,-3.28900105877382,-6.02977731436931
"55","F1044F1",55,-3.33442226161853,-6.01561644621112
"56","F1044F1",56,-3.3617116331356,-5.72240192883475
"57","F1044F1",57,-3.35006808935708,-5.43211151304998
"58","F1044F1",58,-3.30547061005031,-4.96308233051508
"59","F1044F1",59,-3.22664656484789,-4.54287768788954
"60","F1044F1",60,-3.06434220665028,-4.14097274797505
"61","F1044F1",61,-2.88607734562211,-4.04878501303343
"62","F1044F1",62,-2.72145620559207,-3.95976419254682
"63","F1044F1",63,-2.54878474032393,-3.98941222022974
"64","F1044F1",64,-2.38421644508993,-3.99398636483209
"65","F1044F1",65,-2.28042912180495,-3.91543201413212
"66","F1044F1",66,-2.2170298485464,-3.75644154891353
"67","F1044F1",67,-2.18227414408073,-3.77478194496683
"68","F1044F1",68,-2.17976858130139,-3.86942880736194
"69","F1044F1",69,-2.19032629472782,-4.02585427073293
"70","F1044F1",70,-2.23013185597172,-4.32138601160333
"71","F1044F1",71,-2.35382476901639,-4.68213219189783
"72","F1044F1",72,-2.55925081467511,-4.83441383627269
"73","F1044F1",73,-2.87293320214023,-4.86557523999268
"74","F1044F1",74,-3.19651875773675,-4.96773035613764
"75","F1044F1",75,-3.36084495626203,-4.84278895611079
"76","F1044F1",76,-3.38352279040553,-4.66144397846311
"77","F1044F1",77,-3.30853600965629,-4.62489688329936
"78","F1044F1",78,-3.10831945352478,-4.50059231747631
"79","F1044F1",79,-2.88306555252953,-4.33246512912462
"80","F1044F1",80,-2.78086718208961,-4.32533362792774
"81","F1044F1",81,-2.76940439056658,-4.46499521124372
"82","F1044F1",82,-2.78837819756261,-4.64801841741957
"83","F1044F1",83,-2.81861105383955,-5.05284184149534
"84","F1044F1",84,-2.84929411194099,-5.23361992367265
"85","F1044F1",85,-2.89191540293996,-5.24075142486953
"86","F1044F1",86,-2.93241299751142,-5.09902098822301
