"","video","frame_index","slidedFather","slidedMother","slidedPatient","slidedTherapist"
"1","F1044E1",1,-11.7420053515079,-11.3049106165721,NA,NA
"2","F1044E1",2,-11.7420053515079,-11.3049106165721,NA,NA
"3","F1044E1",3,-11.7420053515079,-11.3049106165721,NA,NA
"4","F1044E1",4,-11.7420053515079,-11.3049106165721,NA,NA
"5","F1044E1",5,-11.7420053515079,-11.3049106165721,NA,NA
"6","F1044E1",6,-11.7420053515079,-11.499202587399,NA,NA
"7","F1044E1",7,-11.7420053515079,-11.3049106165721,NA,NA
"8","F1044E1",8,-11.7420053515079,-11.3049106165721,NA,NA
"9","F1044E1",9,-11.7420053515079,-11.3049106165721,NA,NA
"10","F1044E1",10,-11.7420053515079,-11.0851878565449,NA,NA
"11","F1044E1",11,-11.7420053515079,-11.0851878565449,NA,NA
"12","F1044E1",12,-11.7420053515079,-11.2794798273718,NA,NA
"13","F1044E1",13,-11.7420053515079,-10.5721978455325,NA,NA
"14","F1044E1",14,-11.7420053515079,-10.3779058747056,NA,NA
"15","F1044E1",15,-11.7420053515079,-10.4589987451806,NA,NA
"16","F1044E1",16,-11.7420053515079,-10.4589987451806,NA,NA
"17","F1044E1",17,-11.7420053515079,-10.2647067743538,NA,NA
"18","F1044E1",18,-11.7420053515079,-10.7776967853663,NA,NA
"19","F1044E1",19,-11.7420053515079,-10.9719887561931,NA,NA
"20","F1044E1",20,-11.7420053515079,-11.3049106165721,NA,NA
"21","F1044E1",21,-11.7420053515079,-11.3049106165721,NA,NA
"22","F1044E1",22,-11.7420053515079,-11.3049106165721,NA,NA
"23","F1044E1",23,-11.7420053515079,-11.16628072702,NA,NA
"24","F1044E1",24,-11.7420053515079,-11.16628072702,NA,NA
"25","F1044E1",25,-11.7420053515079,-11.16628072702,NA,NA
"26","F1044E1",26,-11.7420053515079,-11.16628072702,NA,NA
"27","F1044E1",27,-11.7420053515079,-11.0276508374678,NA,NA
"28","F1044E1",28,-11.7420053515079,-11.3605726978468,NA,NA
"29","F1044E1",29,-11.7420053515079,-11.0276508374678,NA,NA
"30","F1044E1",30,-11.7420053515079,-10.8333588666409,NA,NA
"31","F1044E1",31,-11.7420053515079,-10.8333588666409,NA,NA
"32","F1044E1",32,-11.7420053515079,-11.16628072702,NA,NA
"33","F1044E1",33,-11.7420053515079,-11.16628072702,NA,NA
"34","F1044E1",34,-11.7420053515079,-10.8654650965182,NA,NA
"35","F1044E1",35,-11.7420053515079,-11.059757067345,NA,NA
"36","F1044E1",36,-11.7420053515079,-11.059757067345,NA,NA
"37","F1044E1",37,-11.7420053515079,-10.726835206966,NA,NA
"38","F1044E1",38,-11.7420053515079,-10.5325432361392,NA,NA
"39","F1044E1",39,-11.7420053515079,-11.16628072702,NA,NA
"40","F1044E1",40,-11.7420053515079,-10.9719887561931,NA,NA
"41","F1044E1",41,-11.7420053515079,-10.9719887561931,NA,NA
"42","F1044E1",42,-11.7420053515079,-11.1106186457453,NA,NA
"43","F1044E1",43,-11.7420053515079,-11.3049106165721,NA,NA
"44","F1044E1",44,-11.7420053515079,-11.3049106165721,NA,NA
"45","F1044E1",45,-11.7420053515079,-11.499202587399,NA,NA
"46","F1044E1",46,-11.7420053515079,-11.16628072702,NA,NA
"47","F1044E1",47,-11.7420053515079,-11.3605726978468,NA,NA
"48","F1044E1",48,-11.7420053515079,-11.3605726978468,NA,NA
"49","F1044E1",49,-11.7420053515079,-11.16628072702,NA,NA
"50","F1044E1",50,-11.7420053515079,-11.16628072702,NA,NA
"51","F1044E1",51,-11.7420053515079,-11.499202587399,NA,NA
"52","F1044E1",52,-11.7420053515079,-11.3049106165721,NA,NA
"53","F1044E1",53,-11.7420053515079,-11.3049106165721,NA,NA
"54","F1044E1",54,-11.378115115357,-11.499202587399,NA,NA
"55","F1044E1",55,-11.0142248792061,-11.499202587399,NA,NA
"56","F1044E1",56,-11.0142248792061,-11.499202587399,NA,NA
"57","F1044E1",57,-11.0142248792061,-11.499202587399,NA,NA
"58","F1044E1",58,-11.0142248792061,-11.16628072702,NA,NA
"59","F1044E1",59,-11.378115115357,-10.8333588666409,NA,NA
"60","F1044E1",60,-11.239485679245,-10.8333588666409,NA,NA
"61","F1044E1",61,-11.239485679245,-10.8333588666409,NA,NA
"62","F1044E1",62,-11.0142252869064,-10.8333588666409,NA,NA
"63","F1044E1",63,-11.0142252869064,-11.16628072702,NA,NA
"64","F1044E1",64,-10.7889648945677,-11.3049106165721,NA,NA
