"","video","frame_index","slidedMother","slidedPatient","slidedTherapist"
"1","F1044O1",1,-5.78289223285807,-7.67425973407028,-5.67524863239706
"2","F1044O1",2,-6.13652964872894,-7.12711063655328,-5.61300188288512
"3","F1044O1",3,-6.52749530559029,-6.67841510445407,-5.6686935059458
"4","F1044O1",4,-6.64820337717115,-6.50171322774787,-5.65603367097607
"5","F1044O1",5,-6.50399259137295,-6.62292219209937,-5.69704218294889
"6","F1044O1",6,-6.50244209390552,-6.81609301746212,-5.74138587491153
"7","F1044O1",7,-6.3604608190205,-6.82094753010366,-5.71740979374861
"8","F1044O1",8,-6.29141367834489,-6.83822830382231,-5.72636432915548
"9","F1044O1",9,-6.31660951194543,-7.26228861469107,-5.76111057403266
"10","F1044O1",10,-6.35505911007046,-7.62044485230882,-5.76438844560857
"11","F1044O1",11,-6.82290656752782,-7.81035316744649,-5.72678572695531
"12","F1044O1",12,-7.48669760052209,-8.0870573220951,-5.72678572695531
"13","F1044O1",13,-7.8316437444794,-8.16562325511655,-5.62958596711268
"14","F1044O1",14,-8.05416645076698,-7.79706165075237,-5.573894344052
"15","F1044O1",15,-8.23551675321429,-8.02177576900903,-5.52960796050326
"16","F1044O1",16,-7.92324312609707,-8.20980628759942,-5.56176937657795
"17","F1044O1",17,-7.51849242115114,-8.744465709618,-5.58574545774086
"18","F1044O1",18,-7.38906459255719,-9.22358045350734,-5.67991560685547
"19","F1044O1",19,-7.30388061594584,-9.17064910553898,-5.64180693344095
"20","F1044O1",20,-7.3738641313009,-8.42863956648303,-5.6123116425166
"21","F1044O1",21,-7.55140990270351,-7.91303707363319,-5.71090005739182
"22","F1044O1",22,-7.70256249127961,-7.16134217226069,-5.64990173122867
"23","F1044O1",23,-8.31373811733787,-6.71092265704197,-5.55201111023488
"24","F1044O1",24,-8.95980237538193,-7.11221462076781,-5.6773638815252
"25","F1044O1",25,-9.49453869739903,-7.62951004156711,-5.72925505396041
"26","F1044O1",26,-10.0554189788317,-7.81488119085686,-5.58739327176363
"27","F1044O1",27,-10.7951871714952,-7.93334537939599,-5.64586044223116
"28","F1044O1",28,-11.0197640181779,-8.29142935356605,-5.78353966760658
"29","F1044O1",29,-11.2443408648605,-8.42235588218023,-5.78698704403077
"30","F1044O1",30,-11.4689177115432,-8.57762080613509,-5.75176894549523
"31","F1044O1",31,-11.4689177115432,-9.4583413968076,-5.69888893399948
"32","F1044O1",32,-11.4689177115432,-10.091572109641,-5.71457990129248
"33","F1044O1",33,-11.2443408648605,-10.2533568449914,-5.7506655534306
"34","F1044O1",34,-11.0197640181779,-10.4151415803419,-5.63901609714605
"35","F1044O1",35,-11.0197640181779,-10.8393649089241,-5.62234302324639
"36","F1044O1",36,-11.2443408648605,-10.591875031085,-5.7809991648008
"37","F1044O1",37,-11.2443408648605,-10.591875031085,-5.78373832037799
"38","F1044O1",38,-11.4689177115432,-10.9466491653654,-5.62728922396389
"39","F1044O1",39,-11.4689177115432,-11.3014232996458,-5.70986375368797
"40","F1044O1",40,-11.4689177115432,-11.3014232996458,-5.8120031233163
"41","F1044O1",41,-11.4689177115432,-11.1941390432046,-5.81570579670861
"42","F1044O1",42,-11.4689177115432,-11.0174055924615,-5.82705372780665
"43","F1044O1",43,-11.4689177115432,-10.7699157146223,-5.83111410725303
"44","F1044O1",44,-11.6934945582258,-10.2942426204738,-5.80050588479574
"45","F1044O1",45,-11.6934945582258,-9.46826681346671,-5.73596923382067
"46","F1044O1",46,-11.4689177115432,-8.65660169628767,-5.68365511636441
"47","F1044O1",47,-11.4689177115432,-7.74732511178983,-5.68075720136092
"48","F1044O1",48,-11.1412188428966,-6.57762715045124,-5.70937221311162
"49","F1044O1",49,-10.9166419962139,-5.57607470785213,-5.64025521441487
"50","F1044O1",50,-10.9166419962139,-4.89950275857041,-5.60962862149448
"51","F1044O1",51,-11.1412188428966,-4.54896253062965,-5.59044012659051
"52","F1044O1",52,-10.6550487666029,-4.35017225359266,-5.53327544059581
"53","F1044O1",53,-10.5368557784434,-4.24938874555184,-5.5531635547068
"54","F1044O1",54,-10.7614326251261,-4.21163478138291,-5.68904201165033
"55","F1044O1",55,-10.7614326251261,-4.20688168744925,-5.64465782679383
"56","F1044O1",56,-10.7614326251261,-4.26273412123959,-5.64206093892283
"57","F1044O1",57,-11.2476027014197,-4.37218415166118,-5.7515397423738
"58","F1044O1",58,-11.6934945582258,-4.53154283412468,-5.68351204083625
"59","F1044O1",59,-11.6934945582258,-4.75821031117052,-5.5879640988945
"60","F1044O1",60,-11.6934945582258,-5.16470430936769,-5.65223639786198
"61","F1044O1",61,-11.6934945582258,-5.70706499806608,-5.6373256889282
"62","F1044O1",62,-11.6934945582258,-6.01749064928383,-5.56582307656798
"63","F1044O1",63,-11.6934945582258,-6.21846253353389,-5.67109149158068
"64","F1044O1",64,-11.6934945582258,-6.29325668185218,-5.70777203937747
"65","F1044O1",65,-11.6934945582258,-6.05994227263265,-5.7418884981399
"66","F1044O1",66,-11.6934945582258,-5.6032620195819,-5.77858458984864
"67","F1044O1",67,-11.6934945582258,-5.35433841117968,-5.72008101503898
"68","F1044O1",68,-11.6934945582258,-5.1933290528033,-5.72008101503898
"69","F1044O1",69,-11.6934945582258,-5.13142158331669,-5.71741488988864
"70","F1044O1",70,-11.6934945582258,-5.23466100219722,-5.64969321797298
"71","F1044O1",71,-11.6934945582258,-5.48672234042576,-5.62790783519802
"72","F1044O1",72,-11.6934945582258,-5.91041596715087,-5.69714988881709
"73","F1044O1",73,-11.4689177115432,-6.35442326223128,-5.64971800939774
"74","F1044O1",74,-11.4689177115432,-6.93171019018141,-5.65238413454808
"75","F1044O1",75,-11.2443408648605,-7.46445361545674,-5.76902994516765
"76","F1044O1",76,-11.2443408648605,-7.82631670103981,-5.69450800793684
"77","F1044O1",77,-11.0197640181779,-8.33973786261242,-5.64151584781749
"78","F1044O1",78,-11.2443408648605,-8.96689082857422,-5.69862444839091
"79","F1044O1",79,-11.2443408648605,-8.90350705951253,-5.68313610621589
"80","F1044O1",80,-11.4689177115432,-8.84012329045084,-5.64373507180285
"81","F1044O1",81,-11.4689177115432,-8.57182472466945,-5.78144800026161
