,Interval,Time_min,video,SSI_mo_th
0,1,0.0,F1044G.VOB,0.0121195806928
1,2,0.166666666667,F1044G.VOB,0.0320023170156
2,3,0.333333333333,F1044G.VOB,0.0225055699636
3,4,0.5,F1044G.VOB,0.00483793250966
4,5,0.666666666667,F1044G.VOB,0.0303233873215
5,6,0.833333333333,F1044G.VOB,0.00851818470635
6,7,1.0,F1044G.VOB,0.029367124948
7,8,1.16666666667,F1044G.VOB,0.0066868378267
8,9,1.33333333333,F1044G.VOB,0.0150464130513
9,10,1.5,F1044G.VOB,0.0035861207812
10,11,1.66666666667,F1044G.VOB,0.0060441726163
11,12,1.83333333333,F1044G.VOB,0.000563525114964
12,13,2.0,F1044G.VOB,0.00336365201939
13,14,2.16666666667,F1044G.VOB,0.00982319053399
14,15,2.33333333333,F1044G.VOB,0.00388479402924
15,16,2.5,F1044G.VOB,0.0157318281565
16,17,2.66666666667,F1044G.VOB,0.104958701738
17,18,2.83333333333,F1044G.VOB,0.00218875768424
18,19,3.0,F1044G.VOB,0.0135536845573
19,20,3.16666666667,F1044G.VOB,0.0162079633331
20,21,3.33333333333,F1044G.VOB,0.0137717969269
21,22,3.5,F1044G.VOB,0.0157623171909
22,23,3.66666666667,F1044G.VOB,0.0202118053476
23,24,3.83333333333,F1044G.VOB,0.00887092018382
24,25,4.0,F1044G.VOB,0.073501319419
25,26,4.16666666667,F1044G.VOB,0.037949855488
26,27,4.33333333333,F1044G.VOB,0.012880526125
27,28,4.5,F1044G.VOB,0.00824236262716
28,29,4.66666666667,F1044G.VOB,0.00122875282795
29,30,4.83333333333,F1044G.VOB,0.0150111982572
30,31,5.0,F1044G.VOB,0.00478811211424
31,32,5.16666666667,F1044G.VOB,0.00694146286617
32,33,5.33333333333,F1044G.VOB,0.0150665630648
33,34,5.5,F1044G.VOB,0.0152146664982
34,35,5.66666666667,F1044G.VOB,0.000162286010198
35,36,5.83333333333,F1044G.VOB,0.00563149473392
