,Interval,Time_min,video,SSI_fa_mo,SSI_fa_mo_th,SSI_fa_th,SSI_mo_th
0,1,0.0,F1044M2,0.00375960290392,0.00287399069176,0.000598095584172,0.00255849566804
1,2,0.166666666667,F1044M2,0.00118687970525,0.0806677962988,0.00541307745206,0.18598776008
2,3,0.333333333333,F1044M2,0.00346319616949,0.00896826725028,0.000267500304399,0.017408631033
3,4,0.5,F1044M2,0.00588959387,0.0553463090046,0.125552741626,0.000537823641685
4,5,0.666666666667,F1044M2,0.00149239141168,0.00318696577397,0.000540670992728,0.0056177132126
5,6,0.833333333333,F1044M2,0.000918410370932,0.00484180490624,0.00061346038994,0.00988349229667
6,7,1.0,F1044M2,0.000677617863446,0.0013928730848,0.000195355137939,0.00245873167761
7,8,1.16666666667,F1044M2,0.00514014417052,0.0192765241165,0.0188751759494,0.0198620794087
8,9,1.33333333333,F1044M2,0.00642227373207,0.00527245166082,0.00600069709816,0.000195980973274
9,10,1.5,F1044M2,0.0177515847147,0.0266545006104,0.0296463001099,0.0191647584877
10,11,1.66666666667,F1044M2,0.00106387481104,0.0619920719305,0.0307909849844,0.116146418149
11,12,1.83333333333,F1044M2,0.0284887097076,0.0128202094974,0.0018754204877,0.000215604433037
12,13,2.0,F1044M2,0.0149685058781,0.0095090345952,0.00063670413947,0.00664861737271
13,14,2.16666666667,F1044M2,0.00120796058223,0.0696376188066,0.155551395586,0.00968218168474
14,15,2.33333333333,F1044M2,0.000990567157024,0.00548731918406,0.00883290329968,0.00301188290708
15,16,2.5,F1044M2,4.6829355788e-05,0.00215692047725,0.00480161774372,0.000269605268021
16,17,2.66666666667,F1044M2,3.59031463504e-06,0.00352978229016,0.00565485634626,0.00271747306135
17,18,2.83333333333,F1044M2,2.01722796245e-08,0.000245542321751,0.000573232014051,1.0521069929e-05
18,19,3.0,F1044M2,0.144446602698,0.127765452471,0.0932041903441,0.0972539595534
19,20,3.16666666667,F1044M2,0.00640353626343,0.0103999568335,0.0118798382836,0.00723015691315
20,21,3.33333333333,F1044M2,0.0147391213303,0.0109222631461,0.00126758472397,0.0104003772276
21,22,3.5,F1044M2,0.00320210079814,0.00819847000083,0.00259813889559,0.0132558749502
22,23,3.66666666667,F1044M2,0.0111494106475,0.00715092896341,0.00457280430523,0.0015809032416
23,24,3.83333333333,F1044M2,0.000255977190956,0.0503448834859,0.00850598034099,0.111066630993
24,25,4.0,F1044M2,0.000526076856525,0.0150137321418,0.0256667203845,0.00981136568224
25,26,4.16666666667,F1044M2,0.000769489265557,0.00167248960973,6.78530114973e-05,0.00312260386308
26,27,4.33333333333,F1044M2,0.00287675065262,0.00813260373261,0.00963065625003,0.00730749416102
27,28,4.5,F1044M2,0.00403640028148,0.021908064823,0.030461352592,0.0155916047448
28,29,4.66666666667,F1044M2,0.00393855624729,0.0141268446742,0.025540802085,0.00331906075095
29,30,4.83333333333,F1044M2,0.0299037901059,0.0761847656433,0.00379201888153,0.13969143358
30,31,5.0,F1044M2,0.0580784367031,0.0255063184436,0.00147182082442,0.00143501405361
31,32,5.16666666667,F1044M2,1.21162123106e-05,0.00145352938612,0.00220509808054,0.00123043013227
