,Interval,Time_min,video,SSI_fa_pa,SSI_fa_pa_th,SSI_fa_th,SSI_pa_th
25,26,4.16666666667,F1069D2,0.242242746855,0.116547855641,0.0315503335175,0.00966410304928
26,27,4.33333333333,F1069D2,0.0128165152835,0.00973931051259,0.00524196851866,0.0057582584086
27,28,4.5,F1069D2,0.0468104799704,0.0211949424745,0.00350591516707,1.00582398077e-07
28,29,4.66666666667,F1069D2,0.002659221524,0.00323305947441,0.00501418543769,1.50922453201e-06
29,30,4.83333333333,F1069D2,0.00261339291831,0.0191206677536,0.00334290501184,0.0386854356856
30,31,5.0,F1069D2,0.0254633567602,0.0303246724492,0.0107360686776,0.0390977649676
31,32,5.16666666667,F1069D2,0.00178513715034,0.0102408172028,0.00309671600704,0.0198123935228
32,33,5.33333333333,F1069D2,0.0313751052257,0.0180622544236,0.0113776575552,0.000538253621312
33,34,5.5,F1069D2,0.0373829656587,0.0315976760005,0.0262367235864,0.0153293582767
34,35,5.66666666667,F1069D2,0.106552201762,0.0591306732556,0.033347451911,0.00259974349361
35,36,5.83333333333,F1069D2,1.96520196871e-05,0.0216546675968,0.0255297290186,0.0254854192852
36,37,6.0,F1069D2,0.0295541984648,0.0217192283675,0.0204999904465,0.00280963891872
37,38,6.16666666667,F1069D2,0.000158145398425,0.00149206108797,0.00113382910647,0.00227771458048
38,39,6.33333333333,F1069D2,1.02891924646e-05,0.000235086826087,0.000360637221153,0.000188931338869
39,40,6.5,F1069D2,0.0551926320726,0.0348309323545,5.84042270232e-05,0.0264830591628
40,41,6.66666666667,F1069D2,0.128417733608,0.0675397358736,0.0117288044523,0.0259129939989
41,42,6.83333333333,F1069D2,0.00363664701856,0.00443435852423,0.00182260807125,0.00485526490934
42,43,7.0,F1069D2,0.00659478165727,0.00972674669286,0.0067361997359,0.00896398541237
43,44,7.16666666667,F1069D2,0.00501804179163,0.00729182995832,0.00976689979538,0.0029607064674
44,45,7.33333333333,F1069D2,0.000998134754328,0.00742279058701,0.00414706169999,0.0127427172086
45,46,7.5,F1069D2,0.0172541883071,0.0241652287049,0.0370900969258,0.00154839684162
46,47,7.66666666667,F1069D2,0.00182151112955,0.00534171152736,0.00467767582091,0.00591235890749
47,48,7.83333333333,F1069D2,0.188953274957,0.084037358086,0.00280005180419,0.00506709597435
48,49,8.0,F1069D2,0.00926403965677,0.00715975523871,0.00237393896038,0.00495425809614
49,50,8.16666666667,F1069D2,0.00662766757305,0.0242258080432,0.0507501254467,0.000577819409464
50,51,8.33333333333,F1069D2,0.00992829935973,0.0130320020395,0.00605718530839,0.0137743267009
51,52,8.5,F1069D2,0.00616611549398,0.017530144904,1.54288082161e-05,0.0354615204635
52,53,8.66666666667,F1069D2,0.00291417422672,0.00722353600323,0.0014504889674,0.0125079848711
53,54,8.83333333333,F1069D2,0.00346756545771,0.00658016034609,0.0053574429836,0.0063751641241
54,55,9.0,F1069D2,0.00137694907868,0.0739882620463,0.128679017614,0.0396176564198
55,56,9.16666666667,F1069D2,0.00114641384314,0.0114382098206,0.0240872755683,0.00221672748499
56,57,9.33333333333,F1069D2,0.0186471510909,0.00935238506107,0.000301261602293,0.00309885448421
57,58,9.5,F1069D2,0.0145185816681,0.0641267221487,0.13355940147,0.00784158212374
58,59,9.66666666667,F1069D2,0.000280159051872,0.00477781315287,0.000584749654228,0.0105390026967
59,60,9.83333333333,F1069D2,0.00343628619098,0.0113696885872,0.0232711709083,0.000524063912965
60,61,10.0,F1069D2,0.000781810204554,0.00361910224325,0.000553109502227,0.00719860850843
61,62,10.1666666667,F1069D2,0.0169575875703,0.0109928372823,0.00821513946886,0.00140988824159
62,63,10.3333333333,F1069D2,0.00521658397531,0.00631593964326,0.00102868726561,0.00900286190646
63,64,10.5,F1069D2,0.00375948908265,0.0178019315358,0.0326890597593,0.00480572438775
64,65,10.6666666667,F1069D2,0.0181118194955,0.054000019059,0.00716714600165,0.106420602452
