,Interval,Time_min,video,SSI_fa_pa,SSI_fa_pa_th,SSI_fa_th,SSI_pa_th
0,1,0.0,F1069D2,0.00677170407178,0.0259327108985,0.0504412899164,0.00584112177064
1,2,0.166666666667,F1069D2,0.00933776029302,0.0146239680159,0.0165237685349,0.0074538950876
2,3,0.333333333333,F1069D2,0.000889663306565,0.0150837016428,0.0349483919065,5.79841714957e-05
3,4,0.5,F1069D2,0.0169995673807,0.0241579702108,0.00163565697765,0.037215012257
4,5,0.666666666667,F1069D2,0.00563405537208,0.00483755724986,0.00238485985953,0.00321740852155
5,6,0.833333333333,F1069D2,3.66216269571e-05,0.0144660708281,0.02896727802,0.00540486402847
6,7,1.0,F1069D2,0.0007540683535,0.00112890152041,0.00168543341462,0.000265158372938
7,8,1.16666666667,F1069D2,0.00506476874779,0.00588972603202,0.00106555431237,0.00760741090721
8,9,1.33333333333,F1069D2,0.00513644980262,0.00313577095743,0.000148084966812,0.0022133211579
9,10,1.5,F1069D2,0.00139863087251,0.00295435630808,0.00544532678439,0.000137614369628
10,11,1.66666666667,F1069D2,0.036183817949,0.0188140094268,0.00323030719364,0.00617069698552
11,12,1.83333333333,F1069D2,0.027116474137,0.0117031362519,0.000205400924475,0.000558634157983
12,13,2.0,F1069D2,0.0349729499807,0.0202591019242,0.0127010550945,6.77870657821e-05
13,14,2.16666666667,F1069D2,0.00583746709523,0.00648061089656,0.00276942814747,0.00638553450963
14,15,2.33333333333,F1069D2,0.0179161522074,0.0085362013027,0.000305868807979,0.0021814206021
15,16,2.5,F1069D2,3.065500736e-05,0.00121427745642,4.75958235925e-05,0.00281091145085
16,17,2.66666666667,F1069D2,0.00354977634722,0.00245323199878,0.00227922099229,1.01333287317e-08
17,18,2.83333333333,F1069D2,0.0301226897583,0.0564576033612,0.00520341330848,0.102115923732
18,19,3.0,F1069D2,0.0225081402335,0.0449130920681,0.0802734969069,0.00119757857486
19,20,3.16666666667,F1069D2,0.0301055074442,0.0162870118277,0.00251696430105,0.00682390853423
20,21,3.33333333333,F1069D2,0.0245657453993,0.0167488568245,0.0128456608222,0.00345611712269
21,22,3.5,F1069D2,5.02518255563e-07,0.0318199487174,0.0115096092356,0.0638080737531
22,23,3.66666666667,F1069D2,0.00919743624816,0.0146758946507,0.0255282055711,0.000429001406913
23,24,3.83333333333,F1069D2,0.00150200097329,0.00391272101194,0.00315130167009,0.00481507225361
24,25,4.0,F1069D2,0.0195136983779,0.036023460926,0.0657265019081,3.33063180386e-05
