,Interval,Time_min,video,SSI_fa_mo,SSI_fa_mo_th,SSI_fa_th,SSI_mo_th
0,1,0.0,F1044R2,0.0216779760317,0.0180689278435,0.00928072396964,0.0137077313098
1,2,0.166666666667,F1044R2,0.00255038722789,0.00386634144791,0.00586255871693,0.000906370873316
2,3,0.333333333333,F1044R2,0.0312567527941,0.0207913466499,0.014354826967,0.00536992947
3,4,0.5,F1044R2,0.0416622987046,0.0359991886089,0.0259978106014,0.0228050292182
4,5,0.666666666667,F1044R2,0.000219872617939,0.00281996292471,0.00208166150437,0.00434520507285
5,6,0.833333333333,F1044R2,0.0187595810817,0.0144862110737,0.00891872716446,0.00796584921363
6,7,1.0,F1044R2,0.0021001058319,0.204001857192,0.00303136166096,0.48114498695
7,8,1.16666666667,F1044R2,0.00396645205893,0.0126545093596,0.00943589818044,0.0175253875212
8,9,1.33333333333,F1044R2,9.76148854235e-05,0.00485330234955,0.00749694020699,0.00386683916235
9,10,1.5,F1044R2,0.00026314652663,0.0162296592651,0.0140906965755,0.0237114246574
10,11,1.66666666667,F1044R2,5.51537426841e-08,0.00644412378402,0.000323978977672,0.0149948564415
11,12,1.83333333333,F1044R2,0.0114652117504,0.008694168684,0.000513720332985,0.00837657572661
12,13,2.0,F1044R2,0.0221968146227,0.0140672354384,0.0026684772758,0.00765281189479
13,14,2.16666666667,F1044R2,0.000877154317708,0.0105420803142,0.0141870660644,0.0103487527571
14,15,2.33333333333,F1044R2,0.00591317874553,0.00819655437984,1.44455761728e-05,0.0134814074956
15,16,2.5,F1044R2,0.00279456833545,0.0159683935494,0.010514543134,0.0234929740277
16,17,2.66666666667,F1044R2,0.0247096953726,0.0333648250171,0.0254848855939,0.0336877352567
17,18,2.83333333333,F1044R2,0.00125094149972,0.0214863255995,0.018249828361,0.0323125734865
18,19,3.0,F1044R2,0.000864127855671,0.0237361304148,0.00851742803912,0.0475529623872
19,20,3.16666666667,F1044R2,0.00438665373632,0.0179758812054,0.0377166252063,0.00103349697032
20,21,3.33333333333,F1044R2,0.00124498788922,0.0123498742748,0.00968046987808,0.0189045770721
21,22,3.5,F1044R2,0.00375181478549,0.00370017569189,0.00449937230374,0.000434869330419
22,23,3.66666666667,F1044R2,0.00410223716079,0.002666230139,0.00115894659455,0.00116036462581
23,24,3.83333333333,F1044R2,0.00283468052783,0.0188815323448,0.0396997122798,0.00293767363427
24,25,4.0,F1044R2,0.00194137689494,0.0183602458447,0.030257391075,0.0122616357043
25,26,4.16666666667,F1044R2,0.00720593960243,0.00719480485768,0.00041825384064,0.00964808231698
26,27,4.33333333333,F1044R2,5.85513904372e-06,0.00134572289459,0.000846653284533,0.00234192621217
27,28,4.5,F1044R2,0.0306338827304,0.024257853592,0.0121063355474,0.017499389451
28,29,4.66666666667,F1044R2,0.0130791468124,0.015717036098,0.00424685435638,0.0186371937561
29,30,4.83333333333,F1044R2,0.0375564397964,0.0197626020967,0.00657466273215,0.00383307055307
30,31,5.0,F1044R2,0.00169693275083,0.00160956439381,0.00147426596133,0.000607400593011
31,32,5.16666666667,F1044R2,0.0062044053454,0.00461248001327,0.00404411676045,0.000562294445586
32,33,5.33333333333,F1044R2,0.00197219695001,0.00434275546156,0.0068632582041,0.00131921083232
33,34,5.5,F1044R2,0.00277531910011,0.00601192819028,0.00606941240432,0.00578726535745
34,35,5.66666666667,F1044R2,0.00134455400111,0.00163532773859,0.00102889840751,0.00156702774386
