,Interval,Time_min,video,SSI_mo_th
0,1,0.0,F1073A1,0.0896023126621
1,2,0.166666666667,F1073A1,0.00353702501509
2,3,0.333333333333,F1073A1,0.00206214472024
3,4,0.5,F1073A1,0.00325360132942
4,5,0.666666666667,F1073A1,3.00301994404e-05
5,6,0.833333333333,F1073A1,0.00405776698607
6,7,1.0,F1073A1,0.00518228600288
7,8,1.16666666667,F1073A1,0.00421590987365
8,9,1.33333333333,F1073A1,0.00370130417716
9,10,1.5,F1073A1,0.00795421182637
10,11,1.66666666667,F1073A1,0.0182085554954
11,12,1.83333333333,F1073A1,0.00109331761959
12,13,2.0,F1073A1,0.00675249989102
13,14,2.16666666667,F1073A1,0.0102884089681
14,15,2.33333333333,F1073A1,0.0392156902635
15,16,2.5,F1073A1,0.0552057955446
16,17,2.66666666667,F1073A1,0.0221581546424
17,18,2.83333333333,F1073A1,0.00507570610592
18,19,3.0,F1073A1,0.00384252793068
19,20,3.16666666667,F1073A1,0.00208556645307
20,21,3.33333333333,F1073A1,0.00740468218275
21,22,3.5,F1073A1,0.0130762551055
22,23,3.66666666667,F1073A1,0.000179477089706
23,24,3.83333333333,F1073A1,0.0183951468926
24,25,4.0,F1073A1,0.01818629195
25,26,4.16666666667,F1073A1,0.105652956906
26,27,4.33333333333,F1073A1,0.0205425224593
27,28,4.5,F1073A1,0.00848968340289
28,29,4.66666666667,F1073A1,0.00209354589154
29,30,4.83333333333,F1073A1,4.38610985048e-05
30,31,5.0,F1073A1,0.0313958487996
31,32,5.16666666667,F1073A1,0.000894162108971
32,33,5.33333333333,F1073A1,0.00599291186151
33,34,5.5,F1073A1,0.0274336651152
34,35,5.66666666667,F1073A1,0.00317307236369
35,36,5.83333333333,F1073A1,0.0211929104581
36,37,6.0,F1073A1,0.0313846111725
37,38,6.16666666667,F1073A1,0.000187212691639
38,39,6.33333333333,F1073A1,7.17491882598e-05
39,40,6.5,F1073A1,0.00123012524648
40,41,6.66666666667,F1073A1,0.0118753045497
41,42,6.83333333333,F1073A1,0.0239256530737
42,43,7.0,F1073A1,0.0109013552498
43,44,7.16666666667,F1073A1,0.00178507831696
44,45,7.33333333333,F1073A1,0.00919905818244
45,46,7.5,F1073A1,0.00923529795198
46,47,7.66666666667,F1073A1,0.00575845375065
47,48,7.83333333333,F1073A1,0.00752197906448
48,49,8.0,F1073A1,6.01265797865e-05
49,50,8.16666666667,F1073A1,4.6893460168e-05
50,51,8.33333333333,F1073A1,0.00236350289817
51,52,8.5,F1073A1,0.00477477893519
52,53,8.66666666667,F1073A1,0.00793135300654
53,54,8.83333333333,F1073A1,0.0201133855771
54,55,9.0,F1073A1,0.000487724539674
55,56,9.16666666667,F1073A1,0.0085099280903
56,57,9.33333333333,F1073A1,0.00402885177651
57,58,9.5,F1073A1,0.000551715860519
58,59,9.66666666667,F1073A1,0.0308234258318
59,60,9.83333333333,F1073A1,0.001026315145
60,61,10.0,F1073A1,0.00239015433417
61,62,10.1666666667,F1073A1,0.0186160213503
62,63,10.3333333333,F1073A1,0.00178562893087
63,64,10.5,F1073A1,0.164690910346
64,65,10.6666666667,F1073A1,0.00659716315
