,Interval,Time_min,video,SSI_mo_pa,SSI_mo_pa_th,SSI_mo_th,SSI_pa_th
0,1,0.0,F1044N,0.00468580803195,0.0109371063446,0.0186211317094,0.00325600763252
1,2,0.166666666667,F1044N,0.057167658035,0.0315807809773,0.00715319033843,0.0129963942574
2,3,0.333333333333,F1044N,0.00291818830516,0.134805984364,0.31744775247,0.000262968567293
3,4,0.5,F1044N,0.167255086947,0.0758867704972,0.0128763218866,0.000557687574437
4,5,0.666666666667,F1044N,0.00335436715735,0.0151659915849,0.0012809206176,0.0309130543167
5,6,0.833333333333,F1044N,0.00499680674825,0.00400678362552,0.00437026382451,9.44918043584e-05
6,7,1.0,F1044N,0.0782184371295,0.0369024131753,0.00940891567005,0.000142170989156
7,8,1.16666666667,F1044N,0.0321574369698,0.0169570731828,0.00806234813657,0.000305248653895
8,9,1.33333333333,F1044N,0.0253294080896,0.0253056724733,0.013046755114,0.0246572875475
9,10,1.5,F1044N,0.0031934869197,0.0241583631269,0.0199750273375,0.0356779383596
10,11,1.66666666667,F1044N,0.0748707935466,0.0335364227164,0.0047123609263,1.13109190669e-06
11,12,1.83333333333,F1044N,0.0413292231564,0.0403007812591,0.0114899177813,0.0366172378777
12,13,2.0,F1044N,0.0241840756219,0.0375356348097,0.00178618751057,0.0645021900254
13,14,2.16666666667,F1044N,0.000682626108277,0.00768105281241,0.00645947088399,0.0113454141235
14,15,2.33333333333,F1044N,0.00971867812485,0.0197354543702,0.00206832623634,0.0339336975926
15,16,2.5,F1044N,0.0331425207035,0.0183959234795,0.00371682237853,0.00570508136301
16,17,2.66666666667,F1044N,0.0114825218747,0.0229723600708,0.000273409456881,0.0430632367005
17,18,2.83333333333,F1044N,0.00277950006667,0.0235050358445,0.00915949307557,0.0424241210298
18,19,3.0,F1044N,0.00835986892483,0.00362106634344,1.56781255193e-05,0.000225955055221
19,20,3.16666666667,F1044N,0.0308455917753,0.0417819520189,0.00197998957485,0.0679276349508
20,21,3.33333333333,F1044N,0.0357210095463,0.0209517014615,0.00733841097404,0.00511811996702
21,22,3.5,F1044N,0.000741112379015,0.0181453200752,0.00900843690043,0.0326717003268
22,23,3.66666666667,F1044N,0.0105307775147,0.0134592623435,0.000516141424799,0.0204428974155
23,24,3.83333333333,F1044N,6.99961401522e-05,0.0895180300914,0.00146219214764,0.210922242066
24,25,4.0,F1044N,0.0127311541923,0.0087886016005,0.00315415322372,0.00550996523167
25,26,4.16666666667,F1044N,0.0073564339982,0.0128914362789,0.00641568993905,0.0157200347249
26,27,4.33333333333,F1044N,0.000332206974802,0.00670800135669,0.00604381482461,0.00970796915685
27,28,4.5,F1044N,0.00702315717612,0.00524099974239,0.00339386206986,0.00177921421687
28,29,4.66666666667,F1044N,0.00277966698533,0.00754842828677,0.014311482251,0.00107353240125
29,30,4.83333333333,F1044N,5.21919048023e-05,0.0473878825426,0.0116304005699,0.100707208974
30,31,5.0,F1044N,0.0398961400586,0.0220367775805,0.0104301809313,0.00318851461028
31,32,5.16666666667,F1044N,0.00545998928935,0.0108505421619,0.00224736166485,0.0185870300599
32,33,5.33333333333,F1044N,0.126463979506,0.057117869741,0.000271192722951,0.00917381984703
33,34,5.5,F1044N,0.00233734347701,0.00471260031233,0.00875049089452,0.000176979569602
34,35,5.66666666667,F1044N,0.0222775834252,0.0259595748795,0.0134075647161,0.0289858586464
35,36,5.83333333333,F1044N,0.0274018926544,0.0324385078345,0.0241188055215,0.0300212532627
36,37,6.0,F1044N,0.00168378831769,0.0369033664192,0.0812369261551,0.00560798738017
37,38,6.16666666667,F1044N,0.0125504372868,0.0195176508767,0.00492033728575,0.0303055777349
38,39,6.33333333333,F1044N,0.0366045042278,0.0324100769278,0.0380391267509,0.000593360496682
39,40,6.5,F1044N,0.00121178761415,0.0153084283064,0.0155214966305,0.02023480401
40,41,6.66666666667,F1044N,0.0262135240138,0.0295613552966,0.00012071089431,0.0438447523885
41,42,6.83333333333,F1044N,0.00459705309191,0.00219217407524,0.000238590601074,0.000351637544047
42,43,7.0,F1044N,0.0181563141674,0.011778203921,0.00416796873891,0.00486500226555
43,44,7.16666666667,F1044N,4.91300624731e-05,0.0400213749326,0.0607460854511,0.032978272759
44,45,7.33333333333,F1044N,0.00325600745164,0.0203966363614,0.00495572978501,0.0391565342044
45,46,7.5,F1044N,0.00245922899262,0.00521855947717,0.000862936661852,0.00923541890809
46,47,7.66666666667,F1044N,0.00855078560419,0.0239712473861,0.0481189285712,0.000801006662128
47,48,7.83333333333,F1044N,0.00234058396032,0.00313908178421,0.00427089173039,0.000959756006636
48,49,8.0,F1044N,0.000178175459505,0.0146911303017,0.000850815861628,0.0337958428253
49,50,8.16666666667,F1044N,0.0231621723005,0.0218549260201,0.00281359900216,0.0272318241678
50,51,8.33333333333,F1044N,0.0233998613247,0.0486771486138,0.0730729834594,0.0255225456392
51,52,8.5,F1044N,0.0772459230917,0.0841716235368,0.0755759178953,0.0649767837295
52,53,8.66666666667,F1044N,0.0302051247212,0.0586813723783,0.0916120580466,0.0254974576121
53,54,8.83333333333,F1044N,0.00114718333728,0.00160445290687,0.00165066294765,0.000964105139848
54,55,9.0,F1044N,0.00787628262416,0.00956416742836,0.000910597941043,0.013520846166
55,56,9.16666666667,F1044N,0.000511598993556,0.0285717385332,0.0425021508077,0.0235389471906
56,57,9.33333333333,F1044N,0.0589854382739,0.0332001906491,0.00609652922694,0.0161383939824
57,58,9.5,F1044N,0.0282736909089,0.0135690715452,0.00241715210728,0.00194607874251
58,59,9.66666666667,F1044N,0.136982956239,0.080032154766,0.0128066169858,0.0479663234238
59,60,9.83333333333,F1044N,2.40463524647e-05,0.0073842015123,1.93516022525e-05,0.0175083754957
60,61,10.0,F1044N,8.9202363359e-05,0.0025535767601,0.00472639570876,0.0012797789666
61,62,10.1666666667,F1044N,0.0589976676704,0.0640305579386,0.00014945170646,0.0892468461258
62,63,10.3333333333,F1044N,0.102687562197,0.0543256219817,0.00367685962178,0.0251859364824
