,Interval,Time_min,video,SSI_mo_th
0,1,0.0,F1044G,0.0104597975289
1,2,0.166666666667,F1044G,0.00552718799011
2,3,0.333333333333,F1044G,0.00540002923131
3,4,0.5,F1044G,0.00262919958671
4,5,0.666666666667,F1044G,3.99376990758e-05
5,6,0.833333333333,F1044G,8.93660595179e-05
6,7,1.0,F1044G,0.00249838928925
7,8,1.16666666667,F1044G,0.0095757530496
8,9,1.33333333333,F1044G,0.000109239793899
9,10,1.5,F1044G,0.0141301437563
10,11,1.66666666667,F1044G,8.45136244121e-06
11,12,1.83333333333,F1044G,0.0287662349754
12,13,2.0,F1044G,0.0111263539254
13,14,2.16666666667,F1044G,0.0317808037978
14,15,2.33333333333,F1044G,0.00194507448578
15,16,2.5,F1044G,0.0165743714428
16,17,2.66666666667,F1044G,0.00650586882113
17,18,2.83333333333,F1044G,0.00161423144516
18,19,3.0,F1044G,0.0336588918198
19,20,3.16666666667,F1044G,0.0581435028692
20,21,3.33333333333,F1044G,0.000400416672135
21,22,3.5,F1044G,0.00370320400368
22,23,3.66666666667,F1044G,0.0225718327464
23,24,3.83333333333,F1044G,6.23334333837e-05
24,25,4.0,F1044G,0.0363547683698
25,26,4.16666666667,F1044G,2.77456984354e-05
26,27,4.33333333333,F1044G,8.36456538367e-06
27,28,4.5,F1044G,0.137385667046
28,29,4.66666666667,F1044G,0.00426611172685
29,30,4.83333333333,F1044G,0.00200635170874
30,31,5.0,F1044G,0.0169195977519
31,32,5.16666666667,F1044G,0.00156823965882
32,33,5.33333333333,F1044G,0.0131939217064
33,34,5.5,F1044G,0.191398705023
34,35,5.66666666667,F1044G,0.00555720577939
35,36,5.83333333333,F1044G,0.0170561935106
36,37,6.0,F1044G,0.0339866547567
37,38,6.16666666667,F1044G,0.0340156728046
38,39,6.33333333333,F1044G,0.0112833315058
39,40,6.5,F1044G,0.00425064023739
40,41,6.66666666667,F1044G,0.00745267984607
41,42,6.83333333333,F1044G,9.49637563001e-05
42,43,7.0,F1044G,0.0224671831377
43,44,7.16666666667,F1044G,0.000580783414962
44,45,7.33333333333,F1044G,0.0517828752102
45,46,7.5,F1044G,0.011610642496
46,47,7.66666666667,F1044G,0.00345894955228
47,48,7.83333333333,F1044G,0.0059298304403
48,49,8.0,F1044G,0.00379897696828
49,50,8.16666666667,F1044G,0.00568240966165
50,51,8.33333333333,F1044G,0.00601376403157
51,52,8.5,F1044G,0.0180802259106
52,53,8.66666666667,F1044G,0.0411305710706
53,54,8.83333333333,F1044G,0.00636940226831
54,55,9.0,F1044G,0.0288767690128
55,56,9.16666666667,F1044G,0.0032759893624
56,57,9.33333333333,F1044G,0.00770167663542
57,58,9.5,F1044G,0.00141237615014
58,59,9.66666666667,F1044G,0.131880243961
59,60,9.83333333333,F1044G,0.00130402839742
60,61,10.0,F1044G,1.02233992934e-05
61,62,10.1666666667,F1044G,0.00846536614952
62,63,10.3333333333,F1044G,0.0059357240648
63,64,10.5,F1044G,0.0172073179049
64,65,10.6666666667,F1044G,0.00156621965026
