,Interval,Time_min,video,SSI_mo_th
0,1,0.0,F1044Q2,0.000243764579286
1,2,0.166666666667,F1044Q2,0.0033108615273
2,3,0.333333333333,F1044Q2,0.00167380238097
3,4,0.5,F1044Q2,0.168725532205
4,5,0.666666666667,F1044Q2,0.00314453335838
5,6,0.833333333333,F1044Q2,0.00653599147349
6,7,1.0,F1044Q2,0.000731058563722
7,8,1.16666666667,F1044Q2,0.141036685216
