,Interval,Time_min,video,SSI_fa_mo
0,1,0.0,F1044E1,0.0453756397871
1,2,0.166666666667,F1044E1,0.0144006479579
2,3,0.333333333333,F1044E1,0.00351045682397
3,4,0.5,F1044E1,2.0971372412e-06
4,5,0.666666666667,F1044E1,0.000352876068988
5,6,0.833333333333,F1044E1,3.01864047092e-08
6,7,1.0,F1044E1,0.00811790974491
7,8,1.16666666667,F1044E1,0.017888845205
8,9,1.33333333333,F1044E1,0.000145101524636
9,10,1.5,F1044E1,0.000798314396181
10,11,1.66666666667,F1044E1,0.0121344154356
11,12,1.83333333333,F1044E1,0.00776326648563
12,13,2.0,F1044E1,0.0313822221277
13,14,2.16666666667,F1044E1,0.000456529059634
14,15,2.33333333333,F1044E1,0.0003940627597
15,16,2.5,F1044E1,0.0319545658312
16,17,2.66666666667,F1044E1,0.00376885215214
17,18,2.83333333333,F1044E1,0.008898311795
18,19,3.0,F1044E1,0.0351687545778
19,20,3.16666666667,F1044E1,5.9823668016e-06
