"","x"
"1","F1002A1"
"2","F1002A2"
"3","F1002B2"
"4","F1002C1"
"5","F1044C1"
"6","F1044C2"
"7","F1044D1"
"8","F1044D2"
"9","F1044E1"
"10","F1044E2"
"11","F1044F1"
"12","F1044F2"
"13","F1044G"
"14","F1044H1"
"15","F1044H2"
"16","F1044I1"
"17","F1044I2"
"18","F1044L1"
"19","F1044L2"
"20","F1044M1"
"21","F1044M2"
"22","F1044N"
"23","F1044O1"
"24","F1044O2"
"25","F1044P"
"26","F1044Q1"
"27","F1044Q2"
"28","F1044R1"
"29","F1044R2"
"30","F1069A1"
"31","F1069B1"
"32","F1069B2"
"33","F1069C1"
"34","F1069D2"
"35","F1073A1"
"36","F1073A2"
"37","F1073B1"
"38","F1073B2"
"39","F1101A2"
"40","F1101C2"
"41","F1101C3"
