"","video","frame_index","slidedFather","slidedMother","slidedTherapist"
"1","F1044R1.VOB",1,0,0.00385178,0
"2","F1044R1.VOB",2,0,0.00363075,0
"3","F1044R1.VOB",3,0,0.003721762,0
"4","F1044R1.VOB",4,0,0.003087924,1.907214e-05
"5","F1044R1.VOB",5,0,0.002645864,1.907214e-05
"6","F1044R1.VOB",6,0,0.003110678,1.907214e-05
"7","F1044R1.VOB",7,0,0.003474728,1.907214e-05
"8","F1044R1.VOB",8,0,0.003221194,0.00029561814
"9","F1044R1.VOB",9,0,0.00318219,0.000810566
"10","F1044R1.VOB",10,0,0.00317894,0.002021646
"11","F1044R1.VOB",11,0,0.00268162,0.002889428
"12","F1044R1.VOB",12,0,0.002372826,0.003251798
"13","F1044R1.VOB",13,0,0.002145294,0.003413912
"14","F1044R1.VOB",14,2.0737e-06,0.0017357372,0.003185046
"15","F1044R1.VOB",15,2.0737e-06,0.0013814382,0.002317264
"16","F1044R1.VOB",16,2.0737e-06,0.001118153,0.002212368
"17","F1044R1.VOB",17,2.0737e-06,0.00075735434,0.002059792
"18","F1044R1.VOB",18,2.0737e-06,0.00041280678,0.0017164928
"19","F1044R1.VOB",19,4.1474e-06,0.00032829518,0.0015353078
"20","F1044R1.VOB",20,6.2211e-06,0.00023728258,0.0015257718
"21","F1044R1.VOB",21,6.2211e-06,0.00016577278,0.0023554098
"22","F1044R1.VOB",22,6.2211e-06,0.00026978704,0.0042721558
"23","F1044R1.VOB",23,6.2211e-06,0.000393304,0.005864679
"24","F1044R1.VOB",24,2.0737e-06,0.00034779774,0.007590708
"25","F1044R1.VOB",25,0,0.00033804654,0.00911648
"26","F1044R1.VOB",26,0,0.00038030234,0.009812616
"27","F1044R1.VOB",27,0,0.00034779794,0.010441996
"28","F1044R1.VOB",28,0,0.00023078188,0.011309772
"29","F1044R1.VOB",29,0,0.00024378374,0.010518278
"30","F1044R1.VOB",30,4.1474e-06,0.00025028454,0.00866828008
"31","F1044R1.VOB",31,6.2211e-06,0.00024378354,0.00677059808
"32","F1044R1.VOB",32,1.24422e-05,0.00016252234,0.00410050268
"33","F1044R1.VOB",33,1.86633e-05,0.0001592719,0.00155437876
"34","F1044R1.VOB",34,2.0737e-05,0.0001365187,0.00049587476
"35","F1044R1.VOB",35,2.0737e-05,7.80107e-05,0.00048633868
"36","F1044R1.VOB",36,1.86633e-05,1.30018e-05,0.00040051468
"37","F1044R1.VOB",37,1.24422e-05,4.22558e-05,0.00042912288
"38","F1044R1.VOB",38,6.2211e-06,4.22558e-05,0.0004195868
"39","F1044R1.VOB",39,6.2211e-06,4.22558e-05,0.0004195868
"40","F1044R1.VOB",40,4.1474e-06,6.5009e-05,0.0005244836
"41","F1044R1.VOB",41,4.1474e-06,5.85081e-05,0.0002479378
"42","F1044R1.VOB",42,4.1474e-06,2.92541e-05,0.000133505
"43","F1044R1.VOB",43,4.1474e-06,2.27532e-05,0.000133505
"44","F1044R1.VOB",44,2.0737e-06,2.27532e-05,0.000133505
"45","F1044R1.VOB",45,2.0737e-06,0,2.86082e-05
"46","F1044R1.VOB",46,4.1474e-06,5.8508e-05,0.0001716492
"47","F1044R1.VOB",47,6.2211e-06,6.825934e-05,0.0001716492
"48","F1044R1.VOB",48,6.2211e-06,7.476024e-05,0.0001716492
"49","F1044R1.VOB",49,6.2211e-06,0.00013651864,0.0001716492
"50","F1044R1.VOB",50,4.1474e-06,0.00014952042,0.0001716492
