"","video","frame_index","slidedMother","slidedTherapist","slidedPatient"
"1","F1044N.VOB",1,3.74532e-05,0.004084172,0.005186032
"2","F1044N.VOB",2,1.997504e-05,0.004146458,0.005352142
"3","F1044N.VOB",3,2.49688e-05,0.003995192,0.005301464
"4","F1044N.VOB",4,4.74408e-05,0.003941804,0.0056731
"5","F1044N.VOB",5,8.489388e-05,0.003852824,0.006526176
"6","F1044N.VOB",6,0.00013233456,0.004262132,0.007249742
"7","F1044N.VOB",7,0.00023970036,0.005062952,0.008851722
"8","F1044N.VOB",8,0.000267166,0.005285402,0.010217216
"9","F1044N.VOB",9,0.00025218464,0.005036258,0.010946414
"10","F1044N.VOB",10,0.00020474404,0.004956176,0.011329304
"11","F1044N.VOB",11,0.00014731584,0.004457888,0.011056208
"12","F1044N.VOB",12,6.991264e-05,0.004030784,0.009915958
"13","F1044N.VOB",13,9.488144e-05,0.004208744,0.009124812
"14","F1044N.VOB",14,9.98752e-05,0.004262132,0.008195718
"15","F1044N.VOB",15,9.98752e-05,0.004164254,0.006641608
"16","F1044N.VOB",16,0.0002172286,0.004146458,0.004983316
"17","F1044N.VOB",17,0.00035206,0.003817232,0.00370511
"18","F1044N.VOB",18,0.0004843946,0.003568088,0.0023002082
"19","F1044N.VOB",19,0.0005493134,0.003799436,0.001348592
"20","F1044N.VOB",20,0.0007890134,0.003799436,0.0006841496
"21","F1044N.VOB",21,0.0008039946,0.003817232,0.00047299304
"22","F1044N.VOB",22,0.0006666662,0.005009562,0.00028717424
"23","F1044N.VOB",23,0.0005642942,0.005854872,0.00028717424
"24","F1044N.VOB",24,0.0005243442,0.006370956,0.00025620464
"25","F1044N.VOB",25,0.00028963796,0.007438716,0.00027872804
"26","F1044N.VOB",26,0.00020224716,0.008017086,0.0002928052
"27","F1044N.VOB",27,0.0001822722,0.007358636,0.0003491138
"28","F1044N.VOB",28,0.00011485644,0.007776848,0.0004983316
"29","F1044N.VOB",29,0.00014731584,0.007954808,0.0006222106
"30","F1044N.VOB",30,0.00014731584,0.00758999,0.0005912408
"31","F1044N.VOB",31,0.00010237204,0.007990398,0.0007967682
"32","F1044N.VOB",32,9.48814e-05,0.007776846,0.0008671542
"33","F1044N.VOB",33,7.740324e-05,0.006388752,0.0011008362
"34","F1044N.VOB",34,7.240944e-05,0.005561238,0.001804695
"35","F1044N.VOB",35,8.489384e-05,0.00497397,0.0029027138
"36","F1044N.VOB",36,8.739072e-05,0.003977396,0.0038346218
"37","F1044N.VOB",37,0.00012734072,0.003612578,0.005126906
"38","F1044N.VOB",38,0.00012484384,0.003612578,0.005718146
"39","F1044N.VOB",39,6.242192e-05,0.003630374,0.005639314
"40","F1044N.VOB",40,5.493128e-05,0.003754946,0.0052902
"41","F1044N.VOB",41,5.992504e-05,0.003835028,0.004805946
"42","F1044N.VOB",42,3.74532e-05,0.004297724,0.003826174
"43","F1044N.VOB",43,6.74158e-05,0.004796012,0.003136394
"44","F1044N.VOB",44,8.988772e-05,0.004680338,0.00259583
"45","F1044N.VOB",45,0.0002197254,0.00432442,0.002027114
"46","F1044N.VOB",46,0.00070911276,0.00445789,0.0015569358
"47","F1044N.VOB",47,0.0017078646,0.00410197,0.001227531
"48","F1044N.VOB",48,0.003121098,0.003995194,0.0009009396
"49","F1044N.VOB",49,0.0048489372,0.00675358,0.0006728896
"50","F1044N.VOB",50,0.00640699,0.010730976,0.0004194996
"51","F1044N.VOB",51,0.007033708,0.014165598,0.00023931184
"52","F1044N.VOB",52,0.006644194,0.017653618,9.572464e-05
"53","F1044N.VOB",53,0.0052584262,0.02004718,6.193948e-05
"54","F1044N.VOB",54,0.00351560572,0.01914848,3.378522e-05
"55","F1044N.VOB",55,0.0018202246,0.01713754,4.223152e-05
"56","F1044N.VOB",56,0.000709113,0.014201206,3.378522e-05
"57","F1044N.VOB",57,9.48814e-05,0.011069106,5.349326e-05
"58","F1044N.VOB",58,6.2422e-05,0.008639952,0.00012106362
"59","F1044N.VOB",59,6.491888e-05,0.006860348,0.00013795628
"60","F1044N.VOB",60,7.240952e-05,0.005178626,0.00021678838
"61","F1044N.VOB",61,7.740328e-05,0.004787114,0.00040260704
"62","F1044N.VOB",62,9.238448e-05,0.004600256,0.000585611
"63","F1044N.VOB",63,0.00017727828,0.004253234,0.0007826912
"64","F1044N.VOB",64,0.00029463168,0.004306622,0.0013851948
"65","F1044N.VOB",65,0.00039450676,0.00413756,0.0019342044
"66","F1044N.VOB",66,0.0004544318,0.003950702,0.002379042
"67","F1044N.VOB",67,0.000494382,0.004306622,0.002722524
"68","F1044N.VOB",68,0.0004893884,0.004457888,0.002770386
"69","F1044N.VOB",69,0.0004169788,0.004244338,0.002418456
"70","F1044N.VOB",70,0.0003370788,0.004431196,0.002035558
"71","F1044N.VOB",71,0.00027216,0.00423544,0.0015372272
"72","F1044N.VOB",72,0.0002421974,0.003986296,0.0011120968
"73","F1044N.VOB",73,0.0001797754,0.00419095,0.000850262
"74","F1044N.VOB",74,0.0002147318,0.004484582,0.00061095
"75","F1044N.VOB",75,0.0002471912,0.004244336,0.0003744526
"76","F1044N.VOB",76,0.00024968808,0.004431194,0.0002533888
"77","F1044N.VOB",77,0.0002222224,0.004368908,0.0001576642
"78","F1044N.VOB",78,0.00019975044,0.003843928,0.00010698644
"79","F1044N.VOB",79,0.00013483144,0.003585886,7.038588e-05
"80","F1044N.VOB",80,8.239696e-05,0.00370156,5.912414e-05
"81","F1044N.VOB",81,0.00012484388,0.003292254,3.660074e-05
"82","F1044N.VOB",82,0.00015730336,0.00317658,1.126174e-05
"83","F1044N.VOB",83,0.00021722852,0.003407926,8.4463e-06
"84","F1044N.VOB",84,0.00027215992,0.003648172,1.126172e-05
"85","F1044N.VOB",85,0.0003370788,0.00379054,8.4463e-06
"86","F1044N.VOB",86,0.00028714124,0.004253234,1.126174e-05
"87","F1044N.VOB",87,0.00025218488,0.00392401,4.786234e-05
"88","F1044N.VOB",88,0.00019475668,0.004110868,8.164754e-05
"89","F1044N.VOB",89,0.00011985032,0.004084174,9.572472e-05
"90","F1044N.VOB",90,4.993768e-05,0.004039684,0.00010135558
"91","F1044N.VOB",91,5.243456e-05,0.004066378,9.854014e-05
"92","F1044N.VOB",92,5.99252e-05,0.004368908,6.193954e-05
"93","F1044N.VOB",93,4.744072e-05,0.003977398,2.815434e-05
"94","F1044N.VOB",94,5.992512e-05,0.003941806,1.126174e-05
"95","F1044N.VOB",95,7.740336e-05,0.003932908,2.81544e-06
"96","F1044N.VOB",96,0.00013732844,0.003523602,2.81544e-06
"97","F1044N.VOB",97,0.00022721616,0.003541398,2.81544e-06
"98","F1044N.VOB",98,0.00068164864,0.003870622,2.81544e-06
"99","F1044N.VOB",99,0.0020049936,0.00362148,0
"100","F1044N.VOB",100,0.0026691636,0.003808338,0
"101","F1044N.VOB",101,0.002883895,0.004110868,0
"102","F1044N.VOB",102,0.003358302,0.003781644,0
"103","F1044N.VOB",103,0.003081148,0.003470216,2.81544e-06
"104","F1044N.VOB",104,0.001820225,0.00362148,8.4463e-06
"105","F1044N.VOB",105,0.0012309612,0.003283356,8.4463e-06
"106","F1044N.VOB",106,0.0011036206,0.003425724,8.4463e-06
"107","F1044N.VOB",107,0.0006142322,0.003559192,8.4463e-06
"108","F1044N.VOB",108,0.0005243444,0.003986294,5.63086e-06
"109","F1044N.VOB",109,0.0005043694,0.004306622,1.68926e-05
"110","F1044N.VOB",110,0.000451935,0.004440092,7.32012e-05
"111","F1044N.VOB",111,0.0004069912,0.004110866,7.32012e-05
"112","F1044N.VOB",112,0.0005368296,0.004306622,7.601664e-05
"113","F1044N.VOB",113,0.0005767798,0.004164254,7.601664e-05
"114","F1044N.VOB",114,0.0005767798,0.003924008,5.912404e-05
"115","F1044N.VOB",115,0.000751562,0.004101968,2.81544e-06
"116","F1044N.VOB",116,0.0011810244,0.004164254,2.81544e-06
"117","F1044N.VOB",117,0.0018651684,0.003941804,2.81544e-06
"118","F1044N.VOB",118,0.002993758,0.003835028,2.81544e-06
"119","F1044N.VOB",119,0.00426467,0.003746048,8.4463e-06
"120","F1044N.VOB",120,0.004956304,0.00355919,1.68926e-05
"121","F1044N.VOB",121,0.004716604,0.003772742,1.970804e-05
"122","F1044N.VOB",122,0.0040099874,0.004021886,1.970804e-05
"123","F1044N.VOB",123,0.0029013728,0.003843928,6.757044e-05
"124","F1044N.VOB",124,0.001730336,0.00414646,0.00014358718
"125","F1044N.VOB",125,0.0008539324,0.004288828,0.00016611068
"126","F1044N.VOB",126,0.000599251,0.004199848,0.00017174154
"127","F1044N.VOB",127,0.0004669164,0.004271032,0.00017455696
"128","F1044N.VOB",128,0.0003645444,0.004422296,0.00012669456
"129","F1044N.VOB",129,0.000247191,0.00392401,5.912414e-05
"130","F1044N.VOB",130,0.000224719,0.003861724,2.815434e-05
"131","F1044N.VOB",131,0.000224719,0.003754948,1.970804e-05
"132","F1044N.VOB",132,0.0001598002,0.003407926,1.407718e-05
"133","F1044N.VOB",133,0.00011485632,0.003461314,3.096978e-05
"134","F1044N.VOB",134,7.490628e-05,0.003585884,1.970804e-05
"135","F1044N.VOB",135,8.489388e-05,0.003399026,2.53389e-05
"136","F1044N.VOB",136,0.00013483148,0.003612578,3.660064e-05
"137","F1044N.VOB",137,0.00022721608,0.003924008,4.786238e-05
"138","F1044N.VOB",138,0.0002247192,0.00382613,5.349318e-05
"139","F1044N.VOB",139,0.00024719104,0.003906212,0.00012669454
"140","F1044N.VOB",140,0.00023720344,0.00404858,0.00014640268
"141","F1044N.VOB",141,0.00014232212,0.003772742,0.00013795638
"142","F1044N.VOB",142,7.990012e-05,0.003639272,0.0001323255
"143","F1044N.VOB",143,9.737828e-05,0.003683762,0.00011261754
"144","F1044N.VOB",144,6.991268e-05,0.003932906,3.660074e-05
"145","F1044N.VOB",145,0.00012983768,0.00422654,5.630874e-05
"146","F1044N.VOB",146,0.000227216,0.004217642,0.0004673613
"147","F1044N.VOB",147,0.0008339574,0.00400409,0.00138519244
"148","F1044N.VOB",148,0.0018377026,0.004128662,0.002601461
"149","F1044N.VOB",149,0.0029188506,0.003941804,0.003705111
"150","F1044N.VOB",150,0.0037078652,0.00339013,0.004541294
"151","F1044N.VOB",151,0.004259676,0.003603682,0.004808762
"152","F1044N.VOB",152,0.004244694,0.00370156,0.0040654878
"153","F1044N.VOB",153,0.004149812,0.003585886,0.002905528
"154","F1044N.VOB",154,0.00485643,0.003532498,0.0018891564
"155","F1044N.VOB",155,0.006159806,0.003710456,0.0011036512
"156","F1044N.VOB",156,0.00763796,0.00364817,0.0004758084
"157","F1044N.VOB",157,0.008916362,0.00404858,0.0004166842
"158","F1044N.VOB",158,0.00995007,0.00400409,0.00037726804
"159","F1044N.VOB",159,0.010187264,0.00387952,0.00034911384
"160","F1044N.VOB",160,0.010619224,0.003870622,0.00036037544
"161","F1044N.VOB",161,0.010826464,0.003737152,0.00039134524
"162","F1044N.VOB",162,0.010659174,0.003443518,0.00032377484
"163","F1044N.VOB",163,0.010746574,0.0035236,0.0003547446
