,Interval,Time_min,video,SSI_mo_pa
0,1,0.0,DOMA,0.00131743609178
1,2,0.166666666667,DOMA,0.0178339277255
2,3,0.333333333333,DOMA,0.0107651415125
3,4,0.5,DOMA,0.00172199095249
4,5,0.666666666667,DOMA,0.0264853300218
5,6,0.833333333333,DOMA,0.0182640930605
6,7,1.0,DOMA,0.0115996912332
7,8,1.16666666667,DOMA,0.0425219516306
8,9,1.33333333333,DOMA,0.000899083776983
9,10,1.5,DOMA,0.0922458147914
10,11,1.66666666667,DOMA,0.0217239921427
11,12,1.83333333333,DOMA,0.0124277450101
12,13,2.0,DOMA,0.0328369580205
13,14,2.16666666667,DOMA,0.00483635238146
14,15,2.33333333333,DOMA,0.000260718281198
15,16,2.5,DOMA,0.063572883614
16,17,2.66666666667,DOMA,0.00914687940593
17,18,2.83333333333,DOMA,0.0356675933674
18,19,3.0,DOMA,5.19777030106e-06
19,20,3.16666666667,DOMA,4.74948614321e-05
20,21,3.33333333333,DOMA,0.0164606886517
21,22,3.5,DOMA,0.00277080820692
22,23,3.66666666667,DOMA,0.00728476148861
23,24,3.83333333333,DOMA,0.00530516278046
24,25,4.0,DOMA,0.0148864998112
25,26,4.16666666667,DOMA,0.140628161454
26,27,4.33333333333,DOMA,0.000145651363332
27,28,4.5,DOMA,0.0239118285862
28,29,4.66666666667,DOMA,0.0725274045365
29,30,4.83333333333,DOMA,0.0630841266041
30,31,5.0,DOMA,0.012623083362
31,32,5.16666666667,DOMA,0.0391255830204
32,33,5.33333333333,DOMA,0.00629762000334
33,34,5.5,DOMA,0.0197013066869
34,35,5.66666666667,DOMA,0.00177039435589
35,36,5.83333333333,DOMA,0.000806802320259
36,37,6.0,DOMA,4.16066685074e-05
37,38,6.16666666667,DOMA,0.0255223302728
38,39,6.33333333333,DOMA,0.148111309471
39,40,6.5,DOMA,0.000235994670089
40,41,6.66666666667,DOMA,0.0341985917493
41,42,6.83333333333,DOMA,0.00010535102517
42,43,7.0,DOMA,0.00054241387021
43,44,7.16666666667,DOMA,0.0442425112946
44,45,7.33333333333,DOMA,0.000247563537886
45,46,7.5,DOMA,0.0133430601738
46,47,7.66666666667,DOMA,0.00188403929617
47,48,7.83333333333,DOMA,0.00355282212486
48,49,8.0,DOMA,0.0212424260385
