,Interval,Time_min,video,SSI_fa_pa
0,1,0.0,LACL,0.193231611195
1,2,0.166666666667,LACL,0.0961558701386
2,3,0.333333333333,LACL,0.0538527325997
3,4,0.5,LACL,0.0876089411925
4,5,0.666666666667,LACL,0.00185604100844
5,6,0.833333333333,LACL,0.0132523897193
6,7,1.0,LACL,0.000253597570994
7,8,1.16666666667,LACL,0.020103209598
8,9,1.33333333333,LACL,0.0535793687863
9,10,1.5,LACL,0.0221684383115
10,11,1.66666666667,LACL,0.0221847576984
11,12,1.83333333333,LACL,0.00125474872223
12,13,2.0,LACL,0.0243158090292
13,14,2.16666666667,LACL,0.0868359983424
14,15,2.33333333333,LACL,0.0277257142677
15,16,2.5,LACL,0.0221948747207
16,17,2.66666666667,LACL,0.00952477034527
17,18,2.83333333333,LACL,0.055476027699
18,19,3.0,LACL,0.00457359840692
19,20,3.16666666667,LACL,0.0262384883683
20,21,3.33333333333,LACL,0.0153271039513
21,22,3.5,LACL,0.00124841047076
22,23,3.66666666667,LACL,0.0513544860359
23,24,3.83333333333,LACL,0.0262349897824
24,25,4.0,LACL,0.000741552582567
25,26,4.16666666667,LACL,0.0575929697071
26,27,4.33333333333,LACL,3.60319109151e-05
27,28,4.5,LACL,0.0215297408908
28,29,4.66666666667,LACL,0.0397622550428
29,30,4.83333333333,LACL,0.0301182147234
30,31,5.0,LACL,0.0440515308873
31,32,5.16666666667,LACL,0.0381857734565
32,33,5.33333333333,LACL,0.00687344825463
33,34,5.5,LACL,0.0499702609161
34,35,5.66666666667,LACL,0.142659899752
35,36,5.83333333333,LACL,0.0494918635674
36,37,6.0,LACL,0.0112421940049
37,38,6.16666666667,LACL,0.00725839366066
38,39,6.33333333333,LACL,0.0195821071571
39,40,6.5,LACL,0.014399946724
40,41,6.66666666667,LACL,0.00802266535405
41,42,6.83333333333,LACL,0.00718549622687
42,43,7.0,LACL,0.032437001864
43,44,7.16666666667,LACL,0.0111584065636
44,45,7.33333333333,LACL,0.0460814235816
45,46,7.5,LACL,0.0793645939341
46,47,7.66666666667,LACL,0.192974855454
