,Interval,Time_min,video,SSI_fa_mo
0,1,0.0,F1044E1,0.0153267876232
1,2,0.166666666667,F1044E1,0.114480047075
2,3,0.333333333333,F1044E1,0.000294790881611
3,4,0.5,F1044E1,0.00659775712117
4,5,0.666666666667,F1044E1,1.51800846246e-05
5,6,0.833333333333,F1044E1,0.00283536128759
6,7,1.0,F1044E1,0.00140710801469
7,8,1.16666666667,F1044E1,0.0106094995212
8,9,1.33333333333,F1044E1,0.000444894821398
9,10,1.5,F1044E1,0.0436336491252
10,11,1.66666666667,F1044E1,0.00855267490123
11,12,1.83333333333,F1044E1,0.00150643190962
12,13,2.0,F1044E1,0.00760690939224
13,14,2.16666666667,F1044E1,0.00074687902404
14,15,2.33333333333,F1044E1,0.0192661923731
15,16,2.5,F1044E1,0.318742212205
16,17,2.66666666667,F1044E1,0.00362275017985
17,18,2.83333333333,F1044E1,0.00827366201417
18,19,3.0,F1044E1,0.160613344342
19,20,3.16666666667,F1044E1,0.00121518059748
