,Interval,Time_min,video,SSI_fa_pa,SSI_fa_pa_th,SSI_fa_th,SSI_pa_th
0,1,0.0,F1069D2,0.0217910276037,0.0523902884701,0.0947822900191,0.00339311865521
1,2,0.166666666667,F1069D2,0.00542476541624,0.0196900225515,0.0103371288677,0.0292543214334
2,3,0.333333333333,F1069D2,0.030537522521,0.04260090661,0.0575758328345,0.00745367130343
3,4,0.5,F1069D2,0.0242572717414,0.0400563115142,0.0207116518318,0.0432572975448
4,5,0.666666666667,F1069D2,0.00256492487225,0.00219213507791,0.000342406506866,0.00224843040099
5,6,0.833333333333,F1069D2,0.132476300312,0.0963182417815,0.0472311646157,0.0673511650796
6,7,1.0,F1069D2,0.00135212890703,0.00270812028398,9.99050423287e-05,0.00501368577325
7,8,1.16666666667,F1069D2,0.0096736922223,0.0192580983062,0.00256803568988,0.0322612103161
8,9,1.33333333333,F1069D2,7.60521553134e-05,0.0329652051796,0.0642389555381,0.0139425465748
9,10,1.5,F1069D2,0.0610225427082,0.0259947916499,0.000621371526058,0.000250688064473
10,11,1.66666666667,F1069D2,0.0836445359478,0.0356126275674,1.5094149844e-05,0.00100984452961
11,12,1.83333333333,F1069D2,0.0387247690565,0.0203133889767,0.00851557930082,0.000430565304554
12,13,2.0,F1069D2,0.0106481799987,0.0183810605508,0.0189781413258,0.0159207707706
13,14,2.16666666667,F1069D2,0.00512385041414,0.00325839195922,0.00143706749485,0.00107386799723
14,15,2.33333333333,F1069D2,0.000369071692527,0.00491864932686,0.0110928698465,0.000195395128315
15,16,2.5,F1069D2,0.0137761413087,0.00628360548309,0.000993238837107,0.000115209689526
16,17,2.66666666667,F1069D2,0.109329635496,0.0464162367822,0.00100907993717,3.66032820902e-05
17,18,2.83333333333,F1069D2,0.0116238723493,0.0287235139706,0.0154350960984,0.0440146332892
18,19,3.0,F1069D2,0.114252173706,0.0702847815909,0.0318662035678,0.0103385253893
19,20,3.16666666667,F1069D2,0.0837661165159,0.0647110972674,0.0414114391244,0.0395304696638
20,21,3.33333333333,F1069D2,7.64646059765e-05,0.0057583470407,0.000616027401992,0.0130228246222
21,22,3.5,F1069D2,0.00374382352543,0.00567262661794,0.000359804457051,0.00949816384507
22,23,3.66666666667,F1069D2,0.0147460741399,0.0124446787029,0.00881647190472,0.00703017092354
23,24,3.83333333333,F1069D2,0.0115566732775,0.012646187805,0.00105859519168,0.0168016048922
24,25,4.0,F1069D2,0.000432532182832,0.0462970080039,0.0898891222833,0.0199436094846
25,26,4.16666666667,F1069D2,0.0508768113461,0.148119018112,0.238007563912,0.0898961211935
26,27,4.33333333333,F1069D2,0.0108303022797,0.022210252723,0.0293965144757,0.0147757094607
27,28,4.5,F1069D2,0.0342718713968,0.0191763799837,0.00064858833968,0.00992699745354
28,29,4.66666666667,F1069D2,6.92085858705e-05,0.00273971015933,0.0047770621838,0.0016359190735
29,30,4.83333333333,F1069D2,0.00143509760853,0.0265595045634,0.0104321100904,0.0520515042007
30,31,5.0,F1069D2,0.000691055738374,0.0749484699898,0.00253820077577,0.175391260188
31,32,5.16666666667,F1069D2,0.0223439548306,0.0211336315027,0.000282023072359,0.027822848087
32,33,5.33333333333,F1069D2,0.0160968486891,0.00877380134727,0.00474146800831,7.40741399217e-05
33,34,5.5,F1069D2,0.12094941442,0.0719281906201,0.00303953037574,0.0492442738771
34,35,5.66666666667,F1069D2,0.145064363483,0.148495096443,0.200576850203,0.0256798962641
35,36,5.83333333333,F1069D2,0.0208693768169,0.0591815312679,0.0817028920897,0.0271476080908
36,37,6.0,F1069D2,0.0126404173531,0.0150892745457,0.0217553649746,0.000779087498898
37,38,6.16666666667,F1069D2,0.110733400387,0.0663245137844,0.0368237154065,0.0177342730607
38,39,6.33333333333,F1069D2,0.000616371201296,0.00292028800717,0.00458800950731,0.00181748926348
39,40,6.5,F1069D2,0.221149279591,0.111842503969,0.020556959391,0.0345795731851
40,41,6.66666666667,F1069D2,0.144454771844,0.0813643739583,0.00269834973504,0.0481239781021
41,42,6.83333333333,F1069D2,0.0135264630179,0.0107162981898,0.00345998041491,0.00917910187749
42,43,7.0,F1069D2,0.0236676417794,0.0179187618094,0.00761683596491,0.00950948262588
43,44,7.16666666667,F1069D2,0.0115439062233,0.0092143079997,0.008159139906,0.00167087428358
44,45,7.33333333333,F1069D2,0.181976038521,0.0955405954511,0.0072645802192,0.0430725744165
45,46,7.5,F1069D2,0.0224798735778,0.0578168091815,0.114563785597,0.00160827083282
46,47,7.66666666667,F1069D2,0.00284582080112,0.0100335356046,0.0102107515511,0.0100763166988
47,48,7.83333333333,F1069D2,0.296361064624,0.130496224792,0.00325402018067,0.0129643977995
48,49,8.0,F1069D2,0.0131403589625,0.0169448656908,0.0238665530669,0.00211201371357
49,50,8.16666666667,F1069D2,0.00292599470602,0.00791192317474,0.0149612292543,0.00116113778374
50,51,8.33333333333,F1069D2,0.0523424504325,0.0280052624883,0.0086494986868,0.00368198396483
51,52,8.5,F1069D2,0.0518830501002,0.0759450040513,9.42779463788e-05,0.126206538979
52,53,8.66666666667,F1069D2,0.00124804696998,0.0112590312846,0.000171414342222,0.0252434368804
53,54,8.83333333333,F1069D2,0.0266871198929,0.0211529960185,0.0153951166917,0.00598988877119
54,55,9.0,F1069D2,0.016091942276,0.047628122251,0.0769974529802,0.0137061095774
55,56,9.16666666667,F1069D2,0.00600799337644,0.0468878226027,0.0845256553527,0.0163313485748
56,57,9.33333333333,F1069D2,0.0361311517041,0.0209677319647,0.00403235886254,0.00814071800973
57,58,9.5,F1069D2,0.0059955869143,0.0447592778554,0.0849096247991,0.0182634825441
58,59,9.66666666667,F1069D2,0.0246796962588,0.0123615252735,0.00424780539509,0.000224997794215
59,60,9.83333333333,F1069D2,0.0522108936448,0.0279012407392,0.0012784494188,0.0136292236945
60,61,10.0,F1069D2,0.000336929237446,0.000391848673646,0.000305625950407,0.00028255697517
61,62,10.1666666667,F1069D2,0.136577979494,0.0610482286393,0.00691652757183,0.00315805543301
62,63,10.3333333333,F1069D2,0.00417190979329,0.0031690149721,0.000193678585762,0.00310269338829
63,64,10.5,F1069D2,0.0395276987844,0.0234165634824,0.0101945048446,0.00409642322638
64,65,10.6666666667,F1069D2,0.0650890288218,0.0808371498017,0.0222628063536,0.115975057868
