,Interval,Time_min,video,SSI_fa_mo,SSI_fa_mo_th,SSI_fa_th,SSI_mo_th
0,1,0.0,F1044R1,0.0174331504253,0.0486534167242,0.0713511101868,0.0192484888731
1,2,0.166666666667,F1044R1,0.0380226849082,0.0220743690906,2.43193925322e-05,0.0143129743346
2,3,0.333333333333,F1044R1,0.00737161152135,0.0567331857281,0.127382662867,0.000471378536291
3,4,0.5,F1044R1,0.0225914777524,0.0505317792895,0.00379384868373,0.096078184159
4,5,0.666666666667,F1044R1,0.184907345143,0.200860503633,0.0872494885432,0.254925184426
5,6,0.833333333333,F1044R1,0.037446900106,0.0165701098925,0.00124043014383,0.000917084286231
6,7,1.0,F1044R1,0.0573155193163,0.0356472389918,0.00302305310045,0.021320652523
7,8,1.16666666667,F1044R1,4.4269088908e-06,0.00824580422598,0.0195886280144,1.1942793419e-05
8,9,1.33333333333,F1044R1,0.0207095110483,0.023949995231,0.00161229152266,0.0355488522114
9,10,1.5,F1044R1,3.10850340458e-05,0.00169840434595,0.000315083909978,0.00369819704408
10,11,1.66666666667,F1044R1,0.0397253889155,0.0301152975786,0.0261154440266,0.00866321855283
11,12,1.83333333333,F1044R1,0.0123473155746,0.0118308071619,0.01572578949,0.000190214203335
12,13,2.0,F1044R1,0.00624648401845,0.0120394445393,0.00545418608433,0.0159366300719
13,14,2.16666666667,F1044R1,0.134205402029,0.120640731899,0.129033173479,0.00310405157261
14,15,2.33333333333,F1044R1,0.000414726399269,0.034738591074,0.0257686636836,0.0547574666611
15,16,2.5,F1044R1,0.162919052421,0.0783428497385,0.000161138983303,0.0222789813552
16,17,2.66666666667,F1044R1,0.0510525464052,0.0617428599213,0.0876645441372,0.0154150432624
17,18,2.83333333333,F1044R1,0.388570610805,0.189251886583,0.000715901423396,0.0533515941958
18,19,3.0,F1044R1,0.00338357415899,0.0148145549377,0.00583970641105,0.0250339128172
19,20,3.16666666667,F1044R1,0.0360445544587,0.0161274407599,0.000505934071679,0.00197744851897
20,21,3.33333333333,F1044R1,0.0037100381243,0.00834117801062,0.0134199454466,0.00225980608504
21,22,3.5,F1044R1,0.00149913545477,0.00621545197365,9.85963743982e-06,0.0132751807498
22,23,3.66666666667,F1044R1,0.0259865706761,0.0201732511127,0.0217617127262,0.00067775812047
23,24,3.83333333333,F1044R1,0.0432134576168,0.0280509369878,0.0232797915145,0.000103109650959
24,25,4.0,F1044R1,0.00841074473166,0.0278264374066,0.0124825649343,0.0422108444134
25,26,4.16666666667,F1044R1,0.0773310156567,0.0684916939442,0.0542379798107,0.0438000650005
26,27,4.33333333333,F1044R1,0.0968851458945,0.0796686695504,0.084721688097,0.0178515001573
27,28,4.5,F1044R1,0.00740674634667,0.0494790116053,0.00575680113276,0.106444834853
28,29,4.66666666667,F1044R1,0.0138709484121,0.0214435970097,0.0306437448747,0.00449214970434
29,30,4.83333333333,F1044R1,0.00587571332633,0.0101512960969,0.0153738904198,0.00227785815562
30,31,5.0,F1044R1,0.00079511705639,0.0556623171102,0.00664269762952,0.123402382465
31,32,5.16666666667,F1044R1,0.268781439253,0.17507025856,0.0836023705477,0.102528989259
32,33,5.33333333333,F1044R1,0.000855089782335,0.0620383343558,0.122925511639,0.0241933377983
33,34,5.5,F1044R1,0.0188485590886,0.0111189490324,0.00753045437682,0.000175617842473
34,35,5.66666666667,F1044R1,0.00848773085483,0.0149754840166,0.0182065996362,0.0102180069008
35,36,5.83333333333,F1044R1,0.217448660405,0.0918522182372,0.000578469809443,0.00010860531891
36,37,6.0,F1044R1,0.0683504673982,0.082935722874,0.0838596183385,0.0621121077763
37,38,6.16666666667,F1044R1,0.0150428525283,0.0226523550057,0.0296917068185,0.0114065773236
38,39,6.33333333333,F1044R1,0.0110518008381,0.044069275752,0.0900374732113,0.0059455423862
39,40,6.5,F1044R1,0.00271996884529,0.015333510559,0.0110833893841,0.0234960555394
40,41,6.66666666667,F1044R1,0.00889359738093,0.0231226511306,0.00907893460984,0.0346310633874
41,42,6.83333333333,F1044R1,0.0262940652474,0.0289201609203,0.0227939100661,0.023420004474
42,43,7.0,F1044R1,0.23150910875,0.128457740675,0.049972540643,0.00529499282867
43,44,7.16666666667,F1044R1,0.0120235635044,0.0055723839625,0.00111510816624,6.71109173628e-05
44,45,7.33333333333,F1044R1,0.000850914591059,0.00593221900303,0.000150035418393,0.0131450055422
45,46,7.5,F1044R1,0.0272696992514,0.0183825262403,0.00771255132021,0.0102230430795
46,47,7.66666666667,F1044R1,0.0263395561355,0.0220165031289,0.00731795999534,0.0206861035712
47,48,7.83333333333,F1044R1,0.029942090314,0.0425366399776,0.00649520317322,0.0679243582761
48,49,8.0,F1044R1,0.00701167377257,0.042619076323,0.0530850116324,0.0448294075671
49,50,8.16666666667,F1044R1,0.000583517202069,0.00662325496238,0.00992499753511,0.00541913698474
50,51,8.33333333333,F1044R1,0.000107751421904,0.00877561236962,1.44761183565e-05,0.020746889611
51,52,8.5,F1044R1,0.000712701843736,0.0311572938194,0.023679157061,0.0502147897992
52,53,8.66666666667,F1044R1,0.00260938547048,0.00230824887705,0.0013809419907,0.0014089661214
53,54,8.83333333333,F1044R1,0.0656907806848,0.0466020241482,0.000414362398011,0.0419575591516
54,55,9.0,F1044R1,6.81302644941e-05,0.00281318748728,3.24083468061e-05,0.00659185722305
55,56,9.16666666667,F1044R1,0.0353673299917,0.0398663846519,0.0517862411447,0.0120730819416
56,57,9.33333333333,F1044R1,0.0425100538972,0.0280965896414,0.0107486172067,0.0162398568239
57,58,9.5,F1044R1,0.0364319482991,0.0396919355002,0.040817614419,0.0227758627651
58,59,9.66666666667,F1044R1,0.00369451940171,0.0265832925782,0.0594247650121,0.000259267097462
59,60,9.83333333333,F1044R1,0.0294984821195,0.0456481029894,0.072215744865,0.0113724889493
60,61,10.0,F1044R1,0.0343193120042,0.0931799762009,0.0803032626597,0.122815399716
61,62,10.1666666667,F1044R1,0.0307740601577,0.0258007686369,1.8382733879e-05,0.0299458690897
62,63,10.3333333333,F1044R1,0.0295973513166,0.0225123232039,0.0147547395141,0.011434520441
63,64,10.5,F1044R1,0.00013322638322,0.0961346613117,0.21350285618,0.014142737963
