,Interval,Time_min,video,SSI_mo_th
0,1,0.0,F1044I2,0.101799323434
1,2,0.166666666667,F1044I2,0.00526817522424
2,3,0.333333333333,F1044I2,0.00606301930156
3,4,0.5,F1044I2,0.0530038647084
4,5,0.666666666667,F1044I2,0.0373244968213
5,6,0.833333333333,F1044I2,0.031277307055
6,7,1.0,F1044I2,0.019426179636
7,8,1.16666666667,F1044I2,0.0400826654784
8,9,1.33333333333,F1044I2,0.0799425487057
9,10,1.5,F1044I2,0.036820000643
10,11,1.66666666667,F1044I2,0.00207053817605
11,12,1.83333333333,F1044I2,0.0020200396557
12,13,2.0,F1044I2,0.000309820036364
13,14,2.16666666667,F1044I2,0.00274061709407
14,15,2.33333333333,F1044I2,0.00971095886548
15,16,2.5,F1044I2,0.0150972985088
16,17,2.66666666667,F1044I2,5.53113952428e-06
17,18,2.83333333333,F1044I2,0.126909637485
18,19,3.0,F1044I2,0.10010861709
19,20,3.16666666667,F1044I2,0.0200145656078
20,21,3.33333333333,F1044I2,0.0109991938245
21,22,3.5,F1044I2,0.00136559892177
22,23,3.66666666667,F1044I2,0.30648335011
23,24,3.83333333333,F1044I2,0.0847121877062
24,25,4.0,F1044I2,0.0195012773484
25,26,4.16666666667,F1044I2,0.0437794856762
26,27,4.33333333333,F1044I2,0.0571017003185
27,28,4.5,F1044I2,0.00296294053652
28,29,4.66666666667,F1044I2,0.001492102875
29,30,4.83333333333,F1044I2,0.0334861256375
