,Interval,Time_min,video,SSI_mo_pa,SSI_mo_pa_th,SSI_mo_th,SSI_pa_th
0,1,0.0,F1073B2,0.00625906225052,0.0140760033278,0.0069122515056,0.0212933935033
1,2,0.166666666667,F1073B2,0.0319330687109,0.0155550498911,0.00340096407441,0.00214024033562
2,3,0.333333333333,F1073B2,0.00828806563645,0.0232186121904,0.0181491208318,0.0309246317595
3,4,0.5,F1073B2,0.0117178904058,0.00516358802457,0.000390702611747,0.000200186739181
4,5,0.666666666667,F1073B2,0.0457730283672,0.0295131175988,0.000829767288389,0.0219315907686
5,6,0.833333333333,F1073B2,0.0647125061749,0.034870733835,0.000636628349283,0.0180269776437
6,7,1.0,F1073B2,0.00101746995838,0.0249241064426,0.0137355628801,0.0432424955547
7,8,1.16666666667,F1073B2,0.00389300129877,0.0054506438497,0.00899030813183,2.42697972976e-05
8,9,1.33333333333,F1073B2,0.00528083551499,0.00275403745247,0.00124248275189,1.1091094253e-05
9,10,1.5,F1073B2,0.0433492798321,0.0559604118191,0.0847631952841,0.000819056028958
10,11,1.66666666667,F1073B2,0.0157415839385,0.0101557356552,0.00689750014369,0.00104200609669
11,12,1.83333333333,F1073B2,2.93157499558e-05,0.0130287264828,0.0238722378226,0.00707790079971
12,13,2.0,F1073B2,0.00205707284436,0.00318511746961,0.00550017781496,3.24967117938e-05
13,14,2.16666666667,F1073B2,0.00630021528207,0.0762911735725,0.089592346276,0.0731115031687
14,15,2.33333333333,F1073B2,0.033054891119,0.0186891975489,0.00567997385985,0.00685340195637
15,16,2.5,F1073B2,0.0225210956624,0.0111575008101,0.00378487868608,8.0366854801e-05
16,17,2.66666666667,F1073B2,0.00317597853661,0.0015933639769,0.00032356997674,0.000268088466966
17,18,2.83333333333,F1073B2,0.170978399237,0.0817108984313,0.0214576231428,0.00516974689786
18,19,3.0,F1073B2,0.00877052467174,0.00622008583485,0.00384649793112,0.00184778866885
19,20,3.16666666667,F1073B2,0.0813339700858,0.0408599370999,0.012388518451,0.00564082861743
20,21,3.33333333333,F1073B2,0.017291327056,0.0199665628161,0.0130818040765,0.0192364312368
21,22,3.5,F1073B2,0.00895131445444,0.00442324465636,5.66092394531e-05,0.00153446060711
22,23,3.66666666667,F1073B2,0.0949108437471,0.0586516275722,0.0273155202146,0.00911915578969
23,24,3.83333333333,F1073B2,0.00388397111265,0.0146329756916,0.0101039757633,0.021749180693
24,25,4.0,F1073B2,0.00188086872925,0.0414265132122,0.0786772567829,0.0192036971952
25,26,4.16666666667,F1073B2,0.00544675819863,0.0122023739894,0.0233773051043,0.000387141271624
26,27,4.33333333333,F1073B2,0.0024903678742,0.00570194270391,0.00780427656141,0.00295384973272
27,28,4.5,F1073B2,0.129386029612,0.0970721893495,0.0267817805322,0.0892073051506
28,29,4.66666666667,F1073B2,0.0919981423355,0.0465394047842,0.0184050046164,0.000936975790995
29,30,4.83333333333,F1073B2,0.0157276006689,0.0591831739176,0.101065301497,0.0157648701106
30,31,5.0,F1073B2,0.172276726038,0.0945979909496,0.027294315766,0.0367147946543
31,32,5.16666666667,F1073B2,0.0674025614209,0.0303438480588,0.000501251462013,0.00366774821847
32,33,5.33333333333,F1073B2,0.258808636104,0.148773965437,0.0794273670544,0.0370393882368
33,34,5.5,F1073B2,0.0293099529924,0.0340169156183,0.0299973208912,0.0263248813108
34,35,5.66666666667,F1073B2,0.0182367929921,0.0122987118099,0.00623925440766,0.00387061284718
35,36,5.83333333333,F1073B2,0.21435992423,0.0909528874684,0.000155149207276,0.00182639301004
36,37,6.0,F1073B2,0.0739352748811,0.0496201383978,0.00135691138341,0.0386888838278
37,38,6.16666666667,F1073B2,0.0266348979582,0.0474369038007,0.0834884818067,0.00574183807071
38,39,6.33333333333,F1073B2,0.0077564565594,0.00685093934383,0.00479787165437,0.00328145792193
39,40,6.5,F1073B2,0.0434976210194,0.0522298247393,0.0107360190194,0.0751905234044
40,41,6.66666666667,F1073B2,0.00253631682016,0.0296888752641,0.0677761846027,0.000545662615444
41,42,6.83333333333,F1073B2,0.0025799220372,0.00498999049618,0.00917892355063,0.000167249712127
42,43,7.0,F1073B2,0.0199344359008,0.0172042279454,0.00340597342588,0.0186811885516
43,44,7.16666666667,F1073B2,0.0279421923604,0.024198843514,0.00437595844888,0.0269489522023
44,45,7.33333333333,F1073B2,0.000580164355524,0.0062577673767,0.00397339919579,0.0104852306063
45,46,7.5,F1073B2,0.0291838269895,0.0133336570907,0.000546077039503,0.0017386107341
46,47,7.66666666667,F1073B2,0.00116607467791,0.0471311492288,0.000663146365143,0.10975552134
