,Interval,Time_min,video,SSI_fa_mo,SSI_fa_mo_th,SSI_fa_th,SSI_mo_th
0,1,0.0,F1002A2,0.0189784940759,0.0187511385695,0.0182704982442,0.00915806931281
1,2,0.166666666667,F1002A2,0.0043940578944,0.00224886536368,0.000224549332484,0.000758165959821
2,3,0.333333333333,F1002A2,0.000865098471911,0.00996637637637,0.0129188078465,0.0102430785561
3,4,0.5,F1002A2,0.00439655608946,0.0342587692997,0.0207564253216,0.0528904882542
4,5,0.666666666667,F1002A2,0.0308520327135,0.0536988887967,0.0910363856514,0.00158900453307
5,6,0.833333333333,F1002A2,0.0269782111129,0.0209176055091,0.00516519775965,0.0192101506494
6,7,1.0,F1002A2,0.0948507282233,0.0759414719788,0.00134280709269,0.0843904152534
7,8,1.16666666667,F1002A2,0.0247119461651,0.0172521871549,0.0154616962986,0.000269397000698
8,9,1.33333333333,F1002A2,0.0183587033395,0.0898098278741,0.140739981825,0.0649969049759
9,10,1.5,F1002A2,0.13973841728,0.0641422031591,0.00732474102114,0.00801197938808
10,11,1.66666666667,F1002A2,0.014247297783,0.0776517853097,0.137509940507,0.0403885712614
11,12,1.83333333333,F1002A2,0.0612406623702,0.0287255271352,0.00635192355337,0.000181550627129
12,13,2.0,F1002A2,0.0749196571365,0.0544988577565,0.0397124499952,0.0225876870132
13,14,2.16666666667,F1002A2,0.0271955417694,0.0264526985479,0.028800156573,0.00419176005367
14,15,2.33333333333,F1002A2,9.00792656677e-06,0.0100457335058,0.021917226752,0.00196017565932
15,16,2.5,F1002A2,0.0335606571357,0.0539124661267,0.0611670364553,0.0226739600501
16,17,2.66666666667,F1002A2,0.00504101764187,0.011535424531,0.02228951305,0.000231472619288
17,18,2.83333333333,F1002A2,0.00458946858738,0.138746999239,0.26313403747,0.0439869742124
18,19,3.0,F1002A2,0.0135015660888,0.0234837702953,0.0150684002212,0.0297515269608
19,20,3.16666666667,F1002A2,0.00185783604469,0.0197061495856,3.69863012226e-05,0.0448478110744
20,21,3.33333333333,F1002A2,0.138323438908,0.187333640487,0.279184939875,0.0669382913278
21,22,3.5,F1002A2,0.00608163940384,0.00403416613119,0.00286483694344,0.000770396517285
22,23,3.66666666667,F1002A2,0.000522089705847,0.00566629216403,0.0095169114486,0.00357134706385
23,24,3.83333333333,F1002A2,0.010395574803,0.0095228835982,0.0063232925771,0.00662594597108
24,25,4.0,F1002A2,0.0530883077609,0.0832924076459,0.00378116428361,0.1439066275
25,26,4.16666666667,F1002A2,0.0690894535797,0.0632347814976,0.0771497084894,0.0101115312611
26,27,4.33333333333,F1002A2,0.05835116163,0.0644667128198,0.00605258346928,0.0930420158877
27,28,4.5,F1002A2,0.0485083040805,0.0554643079716,0.0431600005393,0.0498839136886
28,29,4.66666666667,F1002A2,0.0372467865745,0.0436626844795,0.0333925694793,0.0399998223595
29,30,4.83333333333,F1002A2,0.0246282640059,0.0131659597096,0.000668876057156,0.00630782467247
30,31,5.0,F1002A2,0.369930621722,0.313706102622,0.193662399902,0.28876197738
31,32,5.16666666667,F1002A2,0.0299536710981,0.0571898885512,0.0206582830109,0.0923569993085
32,33,5.33333333333,F1002A2,0.00943697356788,0.0449621306518,0.0395342192875,0.0622851817302
33,34,5.5,F1002A2,0.0498804810128,0.103062860697,0.000979711988293,0.193030657274
34,35,5.66666666667,F1002A2,0.00600634058955,0.00587487369983,0.00199188834425,0.00626500386922
35,36,5.83333333333,F1002A2,0.00681354200701,0.0338320555076,0.069394031165,0.0025471046023
36,37,6.0,F1002A2,0.00664482539073,0.0216674901462,0.0359300936968,0.00710042842246
37,38,6.16666666667,F1002A2,0.00943593060504,0.037176719307,0.0242947806472,0.0581166948299
38,39,6.33333333333,F1002A2,0.00491733485753,0.0210855498369,0.00852650555027,0.0379525382553
39,40,6.5,F1002A2,0.0367651639539,0.0578169377626,0.00276443604684,0.0921274828292
40,41,6.66666666667,F1002A2,0.00253410618539,0.0473266092079,0.0730450093373,0.0325365242431
41,42,6.83333333333,F1002A2,0.126426398178,0.0641928875024,0.0257268196411,0.00176814391935
42,43,7.0,F1002A2,0.255277470443,0.264253881842,0.209442845747,0.254170068843
43,44,7.16666666667,F1002A2,0.0985336007212,0.0485492455159,0.0115218584844,0.00252778227155
44,45,7.33333333333,F1002A2,0.0804562381153,0.113842154484,0.0269283969579,0.179009846513
45,46,7.5,F1002A2,0.053667339567,0.0503191017931,0.0166229586777,0.0399517226458
46,47,7.66666666667,F1002A2,0.0108080032911,0.00821442509958,0.0016923028745,0.00656930260169
47,48,7.83333333333,F1002A2,0.0047160806646,0.0491571959505,0.00345458699985,0.109934009949
48,49,8.0,F1002A2,0.00109758398236,0.0220671966133,0.00911720405411,0.0412626058941
49,50,8.16666666667,F1002A2,0.000779663766081,0.00466554354611,0.0103056987238,1.65445035037e-05
50,51,8.33333333333,F1002A2,0.0140608865405,0.012974938144,0.00514178994478,0.0126423297824
51,52,8.5,F1002A2,0.107478772585,0.0566913093298,0.011150523632,0.020675405054
52,53,8.66666666667,F1002A2,0.0208630598266,0.043306702518,0.0816648195573,9.75841997519e-05
53,54,8.83333333333,F1002A2,0.0515954150937,0.0484622378371,0.0290656900051,0.0421578168439
54,55,9.0,F1002A2,0.0890594007086,0.0768986001879,0.0326648915375,0.0742679624998
55,56,9.16666666667,F1002A2,0.014790765426,0.0158921684048,0.0136497888801,0.00764831719052
56,57,9.33333333333,F1002A2,0.00270649520535,0.013793251217,0.0294589352684,0.000376124028227
57,58,9.5,F1002A2,0.00503179456209,0.0062062023329,0.000185246537037,0.00962649780461
58,59,9.66666666667,F1002A2,0.0864674680112,0.0492040867454,0.0299041346706,0.00018443022675
59,60,9.83333333333,F1002A2,0.00194507938318,0.107410118114,0.235006912001,0.0130741024181
60,61,10.0,F1002A2,0.000433124106579,0.00122845326857,0.00246599498059,1.60589612239e-05
61,62,10.1666666667,F1002A2,0.0347288787081,0.032116721302,0.0216049114447,0.0242528913489
62,63,10.3333333333,F1002A2,0.0131547539345,0.0184747113137,0.024144556967,0.00488195469914
63,64,10.5,F1002A2,0.257135848702,0.138709881123,0.0702924833823,0.00701299257703
64,65,10.6666666667,F1002A2,0.132056689439,0.078504828522,0.0461250526639,0.00136038811182
65,66,10.8333333333,F1002A2,0.00541236130549,0.038193641502,0.0385655905814,0.049657530101
66,67,11.0,F1002A2,0.0372945070982,0.0373862699146,0.00548066585273,0.048912909349
67,68,11.1666666667,F1002A2,0.0406704342208,0.017728224565,0.00116809214643,0.000173719655664
68,69,11.3333333333,F1002A2,0.0203540862854,0.0130888900876,0.0101827089417,0.000222837234334
69,70,11.5,F1002A2,0.0188320735933,0.012782395027,0.000483227226335,0.0106012270644
70,71,11.6666666667,F1002A2,0.17716793901,0.125426225427,0.104089317337,0.000833152445057
71,72,11.8333333333,F1002A2,0.00907155538322,0.0557345173638,0.0229417449617,0.104660088448
72,73,12.0,F1002A2,0.413218261446,0.225757363122,0.109385178853,0.0447428901695
73,74,12.1666666667,F1002A2,0.0539240255251,0.0472697730631,0.0552770870569,0.00712121717339
74,75,12.3333333333,F1002A2,0.000240417193902,0.0414533313865,0.086742647626,0.0116769015419
75,76,12.5,F1002A2,0.0171112628831,0.0243680219287,0.0401493892689,7.16950585973e-05
76,77,12.6666666667,F1002A2,0.00431305211799,0.0190891193437,0.038689514477,0.00163623163944
77,78,12.8333333333,F1002A2,0.0120875541581,0.0124611288677,0.000220668182746,0.0169631210253
78,79,13.0,F1002A2,0.0111763896468,0.0222660337687,0.0405635283622,0.00043185656969
79,80,13.1666666667,F1002A2,0.0924615493461,0.152124161382,0.0322038490543,0.257659747602
80,81,13.3333333333,F1002A2,0.011699707367,0.0710833552323,0.0070356970341,0.144326052716
81,82,13.5,F1002A2,0.0624446934896,0.035285516035,0.01901755048,0.00454431418118
82,83,13.6666666667,F1002A2,0.0530377473381,0.0360893747092,0.0325497947801,0.000483089542023
83,84,13.8333333333,F1002A2,2.87812990182e-05,0.0668817866465,0.0127188562888,0.145015182469
84,85,14.0,F1002A2,0.000371416392438,0.00982215926313,0.0203649767143,0.00242642104201
85,86,14.1666666667,F1002A2,0.0447842215126,0.0710755681676,0.00483869385019,0.110062461405
