"","video","frame_index","slidedPatient","slidedTherapist"
"128","F1044H2",128,0.0089829836,0.00679240815
"129","F1044H2",129,0.0110421336,0.00661213015
"130","F1044H2",130,0.0123274576,0.00584595015
"131","F1044H2",131,0.0131537316,0.00500765815
"132","F1044H2",132,0.0131187716,0.00570172615
"133","F1044H2",133,0.0121438356,0.00602622615
"134","F1044H2",134,0.0110333816,0.00618847615
"135","F1044H2",135,0.0100934356,0.00662114215
"136","F1044H2",136,0.0088955516,0.00740535015
"137","F1044H2",137,0.0077544876,0.00678339215
"138","F1044H2",138,0.0069325756,0.00598115815
"139","F1044H2",139,0.0064778996,0.00519695015
"140","F1044H2",140,0.0066003116,0.00552145015
"141","F1044H2",141,0.0071161936,0.00484541015
"142","F1044H2",142,0.0076320756,0.00449387015
"143","F1044H2",143,0.0080561476,0.00475527215
"144","F1044H2",144,0.0076583076,0.00524202215
"145","F1044H2",145,0.0068407676,0.00477330015
"146","F1044H2",146,0.0058614676,0.00501667415
"147","F1044H2",147,0.0044755836,0.00540427015
"148","F1044H2",148,0.0035268876,0.00541328415
"149","F1044H2",149,0.0039465876,0.00510681215
"150","F1044H2",150,0.0047466416,0.00531413215
"151","F1044H2",151,0.0049827236,0.00489949415
"152","F1044H2",152,0.0058702136,0.00520596615
"153","F1044H2",153,0.0067708176,0.00518793815
"154","F1044H2",154,0.0071161956,0.00535920015
"155","F1044H2",155,0.0071293096,0.00521497815
"156","F1044H2",156,0.0074965456,0.00555750415
"157","F1044H2",157,0.0075839836,0.00489949215
"158","F1044H2",158,0.0070156416,0.00546736615
"159","F1044H2",159,0.0061937296,0.00580088015
"160","F1044H2",160,0.0063205156,0.00571975415
"161","F1044H2",161,0.0069107196,0.00559356015
"162","F1044H2",162,0.0074309716,0.00594510015
"163","F1044H2",163,0.0092977616,0.00523300415
"164","F1044H2",164,0.0122094256,0.00509779615
"165","F1044H2",165,0.0154314856,0.00523300415
"166","F1044H2",166,0.0192044056,0.00477329615
"167","F1044H2",167,0.0230647716,0.00490850415
"168","F1044H2",168,0.0256004516,0.00527807215
"169","F1044H2",169,0.0272836316,0.00502568415
"170","F1044H2",170,0.0256223316,0.00543131015
"171","F1044H2",171,0.0219805716,0.00564764415
"172","F1044H2",172,0.0175300036,0.00540427015
"173","F1044H2",173,0.0127690396,0.00554849215
"174","F1044H2",174,0.0076976616,0.00562060215
"175","F1044H2",175,0.0051313696,0.00490850415
"176","F1044H2",176,0.0044712116,0.00491751815
"177","F1044H2",177,0.0049870916,0.00501667015
"178","F1044H2",178,0.0068495156,0.00439471415
"179","F1044H2",179,0.0097568136,0.00423246415
"180","F1044H2",180,0.0130051056,0.00460203415
"181","F1044H2",181,0.0149156236,0.00439471415
"182","F1044H2",182,0.0157681316,0.00454795015
"183","F1044H2",183,0.0161659716,0.00485442215
"184","F1044H2",184,0.0159386316,0.00462006215
"185","F1044H2",185,0.0135953176,0.00431359015
"186","F1044H2",186,0.0127646576,0.00442175615
"187","F1044H2",187,0.0142642176,0.00422345215
"188","F1044H2",188,0.0157418976,0.00455696415
"189","F1044H2",189,0.0159473776,0.00475527015
"190","F1044H2",190,0.0179496916,0.00481836615
"191","F1044H2",191,0.0189683316,0.00507977015
"192","F1044H2",192,0.0182163716,0.00499864415
"193","F1044H2",193,0.0166337516,0.00464710415
"194","F1044H2",194,0.0150642476,0.00553947815
"195","F1044H2",195,0.0143122876,0.00599918615
"196","F1044H2",196,0.0129701276,0.00599918615
"197","F1044H2",197,0.0117678676,0.00626960215
"198","F1044H2",198,0.0111951676,0.00631467015
"199","F1044H2",199,0.0104300896,0.00547637815
"200","F1044H2",200,0.0083709396,0.00579186415
"201","F1044H2",201,0.0071861596,0.00539525215
"202","F1044H2",202,0.0066134376,0.00498061415
"203","F1044H2",203,0.0059183036,0.00491751815
"204","F1044H2",204,0.0057784036,0.00491751815
"205","F1044H2",205,0.0054680016,0.00411528415
"206","F1044H2",206,0.0049870956,0.00487245015
"207","F1044H2",207,0.0040252836,0.00544032415
"208","F1044H2",208,0.0034481956,0.00557553215
"209","F1044H2",209,0.0031771396,0.00584595015
"210","F1044H2",210,0.0033957316,0.00604425415
"211","F1044H2",211,0.0040864876,0.00514286615
"212","F1044H2",212,0.0052450336,0.00484540815
"213","F1044H2",213,0.0063642336,0.00501667215
"214","F1044H2",214,0.0075052916,0.00517892015
"215","F1044H2",215,0.0082179076,0.00505272615
"216","F1044H2",216,0.0082091636,0.00580989215
"217","F1044H2",217,0.0075315236,0.00591806015
