,Interval,Time_min,video,SSI_fa_ch
0,1,0.0,FOMA057,0.0392673214257
1,2,0.166666666667,FOMA057,0.0610174956961
2,3,0.333333333333,FOMA057,0.0363080538519
3,4,0.5,FOMA057,0.000795336741483
4,5,0.666666666667,FOMA057,0.0524334220229
5,6,0.833333333333,FOMA057,0.236592104246
6,7,1.0,FOMA057,0.107511601758
7,8,1.16666666667,FOMA057,0.0363231531853
8,9,1.33333333333,FOMA057,0.0828567507307
9,10,1.5,FOMA057,0.000280118447008
10,11,1.66666666667,FOMA057,0.00309495767242
11,12,1.83333333333,FOMA057,0.014997668349
12,13,2.0,FOMA057,0.510287232131
13,14,2.16666666667,FOMA057,0.00158401829975
14,15,2.33333333333,FOMA057,0.143873567058
15,16,2.5,FOMA057,0.0257073852745
16,17,2.66666666667,FOMA057,0.0351007580527
17,18,2.83333333333,FOMA057,0.000717717642001
18,19,3.0,FOMA057,0.0289046555167
19,20,3.16666666667,FOMA057,0.0602714773524
20,21,3.33333333333,FOMA057,0.051580693366
21,22,3.5,FOMA057,0.00277619144522
22,23,3.66666666667,FOMA057,0.404492000757
23,24,3.83333333333,FOMA057,0.107811964914
24,25,4.0,FOMA057,0.0517919555493
25,26,4.16666666667,FOMA057,0.0403609279578
26,27,4.33333333333,FOMA057,0.00499465209582
27,28,4.5,FOMA057,0.0268210074972
28,29,4.66666666667,FOMA057,0.0811480160971
29,30,4.83333333333,FOMA057,0.011183720595
30,31,5.0,FOMA057,0.0472462751405
31,32,5.16666666667,FOMA057,0.0734269007054
32,33,5.33333333333,FOMA057,0.24928776467
33,34,5.5,FOMA057,0.0167236314491
34,35,5.66666666667,FOMA057,0.0728718805984
35,36,5.83333333333,FOMA057,0.102805507795
36,37,6.0,FOMA057,0.0517022983641
37,38,6.16666666667,FOMA057,0.177333866965
38,39,6.33333333333,FOMA057,0.488391725743
39,40,6.5,FOMA057,0.0107218616155
40,41,6.66666666667,FOMA057,0.116630603585
41,42,6.83333333333,FOMA057,0.101790043484
42,43,7.0,FOMA057,0.120617752999
43,44,7.16666666667,FOMA057,0.00702972980813
44,45,7.33333333333,FOMA057,0.0311185259767
45,46,7.5,FOMA057,0.151533966742
46,47,7.66666666667,FOMA057,0.0137594567175
47,48,7.83333333333,FOMA057,0.244368843446
48,49,8.0,FOMA057,0.0750382149192
49,50,8.16666666667,FOMA057,0.0529751765013
50,51,8.33333333333,FOMA057,0.111942096603
51,52,8.5,FOMA057,0.0277743090799
52,53,8.66666666667,FOMA057,0.467710670325
53,54,8.83333333333,FOMA057,0.199475945163
54,55,9.0,FOMA057,0.0406654014077
55,56,9.16666666667,FOMA057,0.0257295862999
56,57,9.33333333333,FOMA057,0.281881976241
57,58,9.5,FOMA057,0.199999340163
58,59,9.66666666667,FOMA057,0.00489978275783
59,60,9.83333333333,FOMA057,3.18367197082e-05
60,61,10.0,FOMA057,0.0707929767429
61,62,10.1666666667,FOMA057,9.63068414508e-05
62,63,10.3333333333,FOMA057,0.0865147292794
63,64,10.5,FOMA057,0.0842017770733
64,65,10.6666666667,FOMA057,0.11828227912
65,66,10.8333333333,FOMA057,0.132473249363
66,67,11.0,FOMA057,0.0650797567159
67,68,11.1666666667,FOMA057,0.0507635238683
68,69,11.3333333333,FOMA057,0.0457469538746
69,70,11.5,FOMA057,0.148477051615
70,71,11.6666666667,FOMA057,0.262371391861
71,72,11.8333333333,FOMA057,0.00185651602275
72,73,12.0,FOMA057,0.00781041523384
73,74,12.1666666667,FOMA057,0.066410974796
74,75,12.3333333333,FOMA057,0.0041169266112
75,76,12.5,FOMA057,0.00378628926226
76,77,12.6666666667,FOMA057,0.0174643876865
77,78,12.8333333333,FOMA057,0.0257713463928
78,79,13.0,FOMA057,0.000733099665575
79,80,13.1666666667,FOMA057,0.264589807706
80,81,13.3333333333,FOMA057,0.0376975771154
81,82,13.5,FOMA057,0.111831693923
82,83,13.6666666667,FOMA057,0.0298788499567
83,84,13.8333333333,FOMA057,0.0197331100985
84,85,14.0,FOMA057,0.192152721542
85,86,14.1666666667,FOMA057,0.0138645408381
86,87,14.3333333333,FOMA057,0.0496788535708
87,88,14.5,FOMA057,0.00555237645703
88,89,14.6666666667,FOMA057,0.0526458351183
89,90,14.8333333333,FOMA057,0.671246614303
90,91,15.0,FOMA057,0.159229784293
91,92,15.1666666667,FOMA057,0.0453638082511
92,93,15.3333333333,FOMA057,0.00794315340983
93,94,15.5,FOMA057,0.11404410074
