,Interval,Time_min,video,SSI_pa_th
0,1,0.0,F1044I.VOB,0.0108951988505
1,2,0.166666666667,F1044I.VOB,0.00672899199551
2,3,0.333333333333,F1044I.VOB,0.0380552312358
3,4,0.5,F1044I.VOB,0.00860533652261
4,5,0.666666666667,F1044I.VOB,0.00931146119999
5,6,0.833333333333,F1044I.VOB,0.0157441579247
6,7,1.0,F1044I.VOB,0.0147009821995
7,8,1.16666666667,F1044I.VOB,0.00901967471205
8,9,1.33333333333,F1044I.VOB,0.0443527493688
9,10,1.5,F1044I.VOB,0.00190528724183
10,11,1.66666666667,F1044I.VOB,0.0134456273878
11,12,1.83333333333,F1044I.VOB,0.00676392534873
12,13,2.0,F1044I.VOB,0.000276855191083
13,14,2.16666666667,F1044I.VOB,0.0342800209238
14,15,2.33333333333,F1044I.VOB,0.0347810726699
15,16,2.5,F1044I.VOB,6.37434519695e-05
16,17,2.66666666667,F1044I.VOB,0.0651223701464
17,18,2.83333333333,F1044I.VOB,0.0186215365655
18,19,3.0,F1044I.VOB,0.000588739523147
19,20,3.16666666667,F1044I.VOB,0.0692863377345
20,21,3.33333333333,F1044I.VOB,0.0342605926872
21,22,3.5,F1044I.VOB,0.00820251111552
22,23,3.66666666667,F1044I.VOB,0.00121611290815
23,24,3.83333333333,F1044I.VOB,0.00613601356514
24,25,4.0,F1044I.VOB,0.0445108024052
25,26,4.16666666667,F1044I.VOB,0.0111358728027
26,27,4.33333333333,F1044I.VOB,0.00761226721425
27,28,4.5,F1044I.VOB,0.0439230324739
28,29,4.66666666667,F1044I.VOB,0.0680276464601
29,30,4.83333333333,F1044I.VOB,0.0303966079368
30,31,5.0,F1044I.VOB,0.385429859681
31,32,5.16666666667,F1044I.VOB,0.00998279295639
32,33,5.33333333333,F1044I.VOB,0.0513199443667
33,34,5.5,F1044I.VOB,0.0225652138002
34,35,5.66666666667,F1044I.VOB,0.00631861531328
35,36,5.83333333333,F1044I.VOB,0.0238812836635
36,37,6.0,F1044I.VOB,0.191049742425
37,38,6.16666666667,F1044I.VOB,0.021026112875
38,39,6.33333333333,F1044I.VOB,0.00661275592783
39,40,6.5,F1044I.VOB,0.000301341175664
40,41,6.66666666667,F1044I.VOB,0.0200261388311
41,42,6.83333333333,F1044I.VOB,0.0106344596679
42,43,7.0,F1044I.VOB,0.00754461858669
43,44,7.16666666667,F1044I.VOB,1.4613085098e-05
44,45,7.33333333333,F1044I.VOB,0.000132169438756
45,46,7.5,F1044I.VOB,0.00349990898576
46,47,7.66666666667,F1044I.VOB,0.0035044510057
47,48,7.83333333333,F1044I.VOB,0.00321276973626
48,49,8.0,F1044I.VOB,0.0030061604203
49,50,8.16666666667,F1044I.VOB,0.150874215455
50,51,8.33333333333,F1044I.VOB,0.00359180105789
51,52,8.5,F1044I.VOB,0.00032149294812
52,53,8.66666666667,F1044I.VOB,0.011026401948
53,54,8.83333333333,F1044I.VOB,0.0201029593878
54,55,9.0,F1044I.VOB,2.49462976973e-05
55,56,9.16666666667,F1044I.VOB,0.00835297550532
56,57,9.33333333333,F1044I.VOB,0.00739345729116
57,58,9.5,F1044I.VOB,0.0305085499199
58,59,9.66666666667,F1044I.VOB,0.0289153019792
59,60,9.83333333333,F1044I.VOB,5.68589760307e-05
60,61,10.0,F1044I.VOB,0.0137601979358
61,62,10.1666666667,F1044I.VOB,0.101873037682
62,63,10.3333333333,F1044I.VOB,0.00199397940793
63,64,10.5,F1044I.VOB,0.00588364918279
64,65,10.6666666667,F1044I.VOB,0.027313756833
65,66,10.8333333333,F1044I.VOB,0.00326240042547
66,67,11.0,F1044I.VOB,0.00703932818664
67,68,11.1666666667,F1044I.VOB,0.00456028350211
68,69,11.3333333333,F1044I.VOB,0.000766775372524
69,70,11.5,F1044I.VOB,0.00339465268397
70,71,11.6666666667,F1044I.VOB,0.00942949532932
71,72,11.8333333333,F1044I.VOB,0.00525013794741
72,73,12.0,F1044I.VOB,0.0213939676787
73,74,12.1666666667,F1044I.VOB,0.00752774301883
74,75,12.3333333333,F1044I.VOB,0.0117927258249
75,76,12.5,F1044I.VOB,0.00630719934217
76,77,12.6666666667,F1044I.VOB,0.0385840584255
77,78,12.8333333333,F1044I.VOB,1.03280088282e-06
78,79,13.0,F1044I.VOB,0.0336876183603
79,80,13.1666666667,F1044I.VOB,0.00850266105348
80,81,13.3333333333,F1044I.VOB,0.00755071133952
81,82,13.5,F1044I.VOB,0.113004965345
82,83,13.6666666667,F1044I.VOB,0.0220047676539
83,84,13.8333333333,F1044I.VOB,0.000178755489322
84,85,14.0,F1044I.VOB,0.0271737002418
85,86,14.1666666667,F1044I.VOB,0.00397292929841
86,87,14.3333333333,F1044I.VOB,0.0639573992566
87,88,14.5,F1044I.VOB,0.0089804959841
88,89,14.6666666667,F1044I.VOB,0.00339614147366
89,90,14.8333333333,F1044I.VOB,0.000654944719671
90,91,15.0,F1044I.VOB,1.51288606659e-05
91,92,15.1666666667,F1044I.VOB,0.00980750664526
92,93,15.3333333333,F1044I.VOB,0.000584711853223
93,94,15.5,F1044I.VOB,0.00593802759578
94,95,15.6666666667,F1044I.VOB,0.00755105219793
95,96,15.8333333333,F1044I.VOB,0.0209985010869
96,97,16.0,F1044I.VOB,0.00965655962305
97,98,16.1666666667,F1044I.VOB,0.00159658583602
98,99,16.3333333333,F1044I.VOB,0.00307261585281
99,100,16.5,F1044I.VOB,0.00405546815136
100,101,16.6666666667,F1044I.VOB,0.000607986599294
101,102,16.8333333333,F1044I.VOB,0.0146510134883
102,103,17.0,F1044I.VOB,0.0125187587009
103,104,17.1666666667,F1044I.VOB,0.0144805965063
